# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/dublin-core
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Dublin Core maximal alignment. DCMI Terms properties and DCMI Type classes mapped to GMEOW canonical terms. dc: element alignments are derived via the dumb-down principle (dcterms:X rdfs:subPropertyOf dc:X), not hand-authored here."
# curie_map:
#   dcmitype: http://purl.org/dc/dcmitype/
#   dcterms: http://purl.org/dc/terms/
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:Collection	skos:closeMatch	dcmitype:Collection	semapv:ManualMappingCuration	0.85	A GMEOW Collection is a DCMI Collection
gmeow:Dataset	skos:closeMatch	dcmitype:Dataset	semapv:ManualMappingCuration	0.9	A GMEOW Dataset is a DCMI Dataset
gmeow:Document	skos:closeMatch	dcmitype:Text	semapv:ManualMappingCuration	0.85	A GMEOW Document (abstract intellectual work of textual content) is a DCMI Text
gmeow:Event	skos:closeMatch	dcmitype:Event	semapv:ManualMappingCuration	0.85	A GMEOW Event is a DCMI Event
gmeow:MediaObject	skos:relatedMatch	dcmitype:Image	semapv:ManualMappingCuration	0.6	GMEOW MediaObject covers image, audio, and video; DCMI Image is one possible specialization
gmeow:MediaObject	skos:relatedMatch	dcmitype:MovingImage	semapv:ManualMappingCuration	0.6	GMEOW MediaObject covers image, audio, and video; DCMI MovingImage is one possible specialization
gmeow:MediaObject	skos:relatedMatch	dcmitype:Sound	semapv:ManualMappingCuration	0.6	GMEOW MediaObject covers image, audio, and video; DCMI Sound is one possible specialization
gmeow:PhysicalObject	skos:closeMatch	dcmitype:PhysicalObject	semapv:ManualMappingCuration	0.85	A GMEOW PhysicalObject is a DCMI PhysicalObject
gmeow:Service	skos:closeMatch	dcmitype:Service	semapv:ManualMappingCuration	0.8	A GMEOW Service is a DCMI Service
gmeow:SoftwareProject	skos:closeMatch	dcmitype:Software	semapv:ManualMappingCuration	0.85	A GMEOW SoftwareProject is a DCMI Software
gmeow:WebPage	skos:closeMatch	dcmitype:InteractiveResource	semapv:ManualMappingCuration	0.8	A GMEOW WebPage is a DCMI InteractiveResource
gmeow:abstract	skos:closeMatch	dcterms:abstract	semapv:ManualMappingCuration	0.9	DCTerms abstract — a summary of the content of a creative work
gmeow:audience	skos:closeMatch	dcterms:audience	semapv:ManualMappingCuration	0.75	DCTerms audience — the intended audience of a creative work
gmeow:bibliographicCitation	skos:closeMatch	dcterms:bibliographicCitation	semapv:ManualMappingCuration	0.9	DCTerms bibliographicCitation — a bibliographic reference for a creative work
gmeow:conditionsOfAccess	skos:closeMatch	dcterms:accessRights	semapv:ManualMappingCuration	0.85	
gmeow:conformsTo	skos:closeMatch	dcterms:conformsTo	semapv:ManualMappingCuration	0.85	DCTerms conformsTo — an established standard to which the described resource conforms
gmeow:dateAccepted	skos:closeMatch	dcterms:dateAccepted	semapv:ManualMappingCuration	0.9	DCTerms dateAccepted — the date a creative work was accepted
gmeow:dateAvailable	skos:closeMatch	dcterms:available	semapv:ManualMappingCuration	0.9	DCTerms available — the date a creative work became or will become available
gmeow:dateCreated	skos:closeMatch	dcterms:created	semapv:ManualMappingCuration	0.9	DCTerms created — the creation date of a creative work
gmeow:dateModified	skos:closeMatch	dcterms:modified	semapv:ManualMappingCuration	0.9	DCTerms modified — the last modification date of a creative work (distinct from sourceModifiedAt which is source-specific)
gmeow:dateSubmitted	skos:closeMatch	dcterms:dateSubmitted	semapv:ManualMappingCuration	0.9	DCTerms dateSubmitted — the date a creative work was submitted
gmeow:description	skos:closeMatch	dcterms:description	semapv:ManualMappingCuration	0.9	
gmeow:extent	skos:closeMatch	dcterms:extent	semapv:ManualMappingCuration	0.8	DCTerms extent — the size or duration of a creative work
gmeow:hasManifestationFormat	skos:closeMatch	dcterms:format	semapv:ManualMappingCuration	0.75	DCTerms format — the file format, physical medium, or dimensions of the resource. GMEOW hasManifestationFormat covers the physical/digital carrier aspect; extent covers the size/duration aspect.
gmeow:hasPart	skos:closeMatch	dcterms:hasPart	semapv:ManualMappingCuration	0.75	
gmeow:hasTitle	skos:closeMatch	dcterms:title	semapv:ManualMappingCuration	0.85	DCTerms title — GMEOW's reified CreativeWorkTitle downcasts to dcterms:title by projection
gmeow:hasVersion	skos:closeMatch	dcterms:hasVersion	semapv:ManualMappingCuration	0.85	DCTerms hasVersion — a related resource that is a version of the described resource
gmeow:isAbout	skos:closeMatch	dcterms:subject	semapv:ManualMappingCuration	0.9	
gmeow:isReferencedBy	skos:closeMatch	dcterms:isReferencedBy	semapv:ManualMappingCuration	0.85	DCTerms isReferencedBy — a related resource that references the described resource
gmeow:isRequiredBy	skos:closeMatch	dcterms:isRequiredBy	semapv:ManualMappingCuration	0.8	DCTerms isRequiredBy — a related resource that requires the described resource
gmeow:medium	skos:closeMatch	dcterms:medium	semapv:ManualMappingCuration	0.75	DCTerms medium — the material or physical carrier of a creative work
gmeow:nameLanguage	skos:closeMatch	dcterms:language	semapv:ManualMappingCuration	0.8	
gmeow:partOf	skos:closeMatch	dcterms:isPartOf	semapv:ManualMappingCuration	0.75	
gmeow:provenance	skos:closeMatch	dcterms:provenance	semapv:ManualMappingCuration	0.75	DCTerms provenance — a statement of changes in ownership and custody
gmeow:references	skos:closeMatch	dcterms:references	semapv:ManualMappingCuration	0.85	DCTerms references — a related resource that is referenced by the described resource. GMEOW references is general (formerly message-scoped, now Entity-scoped).
gmeow:requires	skos:closeMatch	dcterms:requires	semapv:ManualMappingCuration	0.8	DCTerms requires — a related resource that is required by the described resource
gmeow:sourceLocation	skos:closeMatch	dcterms:source	semapv:ManualMappingCuration	0.6	
