# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/provenance
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Provenance + import-provenance alignments. The core PROV-O anchors (Activity, wasDerivedFrom, wasGeneratedBy, wasAttributedTo) and the carrier/ingestion terms align to PROV-O and Dublin Core Terms. recordedNoLaterThan and contentDigest are canonical \u2014 no faithful external term models a derived terminus-ante-quem or a content-addressed carrier digest."
# curie_map:
#   dcterms: http://purl.org/dc/terms/
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   prov: http://www.w3.org/ns/prov#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:Activity	skos:exactMatch	prov:Activity	semapv:ManualMappingCuration	0.95	the general provenance-activity class, co-extensive with prov:Activity; the narrower activity kinds (Event, ObservationalActivity, ImportActivity, ...) map in by closeMatch/relatedMatch
gmeow:CreativeWork	skos:closeMatch	prov:Entity	semapv:ManualMappingCuration	0.6	Source-hood is anti-rigid; the described thing is a CreativeWork (WEMI).
gmeow:ImportActivity	skos:closeMatch	prov:Activity	semapv:ManualMappingCuration	0.8	
gmeow:assertedAt	skos:closeMatch	prov:generatedAtTime	semapv:ManualMappingCuration	0.85	
gmeow:generatedObservation	skos:closeMatch	prov:generated	semapv:ManualMappingCuration	0.9	prov:generated links an activity to the entity it generated; gmeow:generatedObservation specialises the range to Observation. The ObservationalActivity→prov:Activity alignment is canonical in mapping-dsl/equivalences/events.ttl (eqEvents132).
gmeow:ingestedAt	skos:closeMatch	prov:endedAtTime	semapv:ManualMappingCuration	0.85	
gmeow:sourceLocation	skos:closeMatch	dcterms:source	semapv:ManualMappingCuration	0.6	
gmeow:sourceModifiedAt	skos:closeMatch	dcterms:modified	semapv:ManualMappingCuration	0.9	
gmeow:wasAssociatedWith	skos:closeMatch	prov:wasAssociatedWith	semapv:ManualMappingCuration	0.9	
gmeow:wasAttributedTo	skos:exactMatch	prov:wasAttributedTo	semapv:ManualMappingCuration	0.95	
gmeow:wasDerivedFrom	skos:exactMatch	prov:wasDerivedFrom	semapv:ManualMappingCuration	0.95	the same derivation relation — an exact 1:1 term correspondence that round-trips; skos:exactMatch (not owl:equivalentProperty) keeps gmeow's deliberately domain-free property from importing prov's domain/range
gmeow:wasGeneratedBy	skos:exactMatch	prov:wasGeneratedBy	semapv:ManualMappingCuration	0.95	
