# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/images
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Image super-ontology alignments \u2014 schema.org ImageObject, W3C Web Annotation, W3C EXIF Ontology, IIIF, CIDOC-CRM/CRMdig, and Wikidata. GMEOW models the structure natively and bridges by reference (Principle 5)."
# curie_map:
#   crm: http://www.cidoc-crm.org/cidoc-crm/
#   exif: http://www.w3.org/2003/12/exif/ns#
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   iiif: http://iiif.io/api/presentation/3#
#   oa: http://www.w3.org/ns/oa#
#   schema: https://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   wd: http://www.wikidata.org/entity/
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:ImageRegion	skos:closeMatch	iiif:Annotation	semapv:ManualMappingCuration	0.8	ImageRegion projects to iiif:Annotation. Lossy: regionLabel and scene-graph edges dropped.
gmeow:ImageRegion	skos:closeMatch	oa:SpecificResource	semapv:ManualMappingCuration	0.85	An ImageRegion with a selector projects to an oa:SpecificResource. Lossy: regionLabel and scene-graph edges are dropped.
gmeow:ImageRegion	skos:closeMatch	wd:Q10884	semapv:ManualMappingCuration	0.75	Wikidata 'region' (Q10884) is broader than GMEOW ImageRegion; directional lossy projection.
gmeow:MediaObject	skos:closeMatch	iiif:Canvas	semapv:ManualMappingCuration	0.8	GMEOW MediaObject projects to iiif:Canvas. Lossy: depicts, regions, rights, and capture metadata dropped.
gmeow:MediaObject	skos:closeMatch	schema:ImageObject	semapv:ManualMappingCuration	0.9	GMEOW MediaObject is broader than schema:ImageObject (it also covers audio and video); directional lossy projection.
gmeow:RegionSelector	skos:closeMatch	oa:Selector	semapv:ManualMappingCuration	0.85	RegionSelector projects to oa:Selector. The selectorType determines the concrete selector subclass (FragmentSelector, SvgSelector, etc.).
gmeow:SceneGraphEdge	skos:closeMatch	wd:Q215032	semapv:ManualMappingCuration	0.7	Wikidata 'spatial relation' (Q215032) is the closest peer to SceneGraphEdge. Directional lossy projection.
gmeow:captureTime	skos:closeMatch	exif:dateTime	semapv:ManualMappingCuration	0.9	captureTime projects to exif:dateTime. Lossy: provenance and confidence dropped.
gmeow:captureTime	skos:closeMatch	schema:dateCreated	semapv:ManualMappingCuration	0.9	captureTime projects to schema:dateCreated. Lossy: provenance and confidence dropped.
gmeow:depicts	skos:closeMatch	schema:about	semapv:ManualMappingCuration	0.85	gmeow:depicts (⊑ gmeow:isAbout, domain MediaObject) projects to schema:about on schema:ImageObject. Lossy: context, audience, period dropped.
gmeow:eventTypeImageCapture	skos:closeMatch	crm:E12_Production	semapv:ManualMappingCuration	0.8	Image capture is a production event in CIDOC-CRM terms.
gmeow:eventTypeImageProcessing	skos:closeMatch	crm:E11_Modification	semapv:ManualMappingCuration	0.7	Image processing aligns to CIDOC-CRM modification activity. Directional lossy projection.
gmeow:imageOrientation	skos:closeMatch	exif:orientation	semapv:ManualMappingCuration	0.9	Image orientation projects to exif:orientation.
gmeow:pixelHeight	skos:closeMatch	exif:height	semapv:ManualMappingCuration	0.9	Pixel height projects to exif:height.
gmeow:pixelHeight	skos:closeMatch	iiif:height	semapv:ManualMappingCuration	0.9	Pixel height projects to iiif:height.
gmeow:pixelHeight	skos:closeMatch	schema:height	semapv:ManualMappingCuration	0.9	Pixel height projects to schema:height (as QuantitativeValue or integer).
gmeow:pixelWidth	skos:closeMatch	exif:width	semapv:ManualMappingCuration	0.9	Pixel width projects to exif:width.
gmeow:pixelWidth	skos:closeMatch	iiif:width	semapv:ManualMappingCuration	0.9	Pixel width projects to iiif:width.
gmeow:pixelWidth	skos:closeMatch	schema:width	semapv:ManualMappingCuration	0.9	Pixel width projects to schema:width (as QuantitativeValue or integer).
gmeow:selectorTypePixelRectangle	skos:exactMatch	oa:FragmentSelector	semapv:ManualMappingCuration	0.9	Pixel rectangle projects to oa:FragmentSelector with xywh media fragment.
gmeow:selectorTypeSvgPath	skos:exactMatch	oa:SvgSelector	semapv:ManualMappingCuration	0.95	SVG path projects to oa:SvgSelector.
