# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/notation
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow regenerate (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Notation and symbolic system alignments \u2014 SKOS, schema.org, Wikidata. gmeow:SymbolicSystem and gmeow:NotationSystem are registry-independent, first-class information objects. No maintained external vocabulary covers them faithfully; the mappings here are broad-brush discovery links. Domain-specific notations (mathematical, musical, cryptographic) are aligned to Wikidata items by reference. The reified gmeow:NotationSystemUsage relator is canonical \u2014 no 1:1 SSSOM claim exists for it."
# curie_map:
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   lang: https://blackcatinformatics.ca/lang/
#   logic: https://blackcatinformatics.ca/logic/
#   schema: https://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   wd: http://www.wikidata.org/entity/
subject_id	predicate_id	object_id	object_label	mapping_justification	confidence	comment
gmeow:NotationProjectionProfile	skos:relatedMatch	lang:Rendering	Rendering	semapv:ManualMappingCuration	0.5	RETENTION (negative supersession — NOT a Section-Retraction): gmeow:NotationProjectionProfile is RETAINED, not superseded by lang:Rendering. A profile is the reusable per-notation-system rendering convention — the parameter/loss ledger (gmeow:representableParameter, gmeow:declaredLoss, gmeow:accountsForParameter) plus the FnO gmeow:projectionFunction binding — and lang:Rendering, a reified single-crossing record, holds none of that. The rendering role is re-expressed by reuse: a concrete render is a lang:Rendering of lang:renderingKind lang:renderingNotation whose lang:renderingConvention names this profile and whose lang:renderingPreservation carries a logic:PreservationKind. relatedMatch: profile is the convention a Rendering points at, so lang:Rendering cannot retract onto it — retention is the decision.
gmeow:NotationSystem	skos:broadMatch	lang:SignSystem	Sign System	semapv:ManualMappingCuration	0.95	DEEPEN / EMBEDDING (isomorphism rung): gmeow:NotationSystem is grafted as a specialization of lang:SignSystem, the structured-notation subkind whose lang:signSystemKind is the individual lang:notationalKind. The former language-vs-notation boundary survives as a kind-individual distinction (lang:notationalKind vs lang:naturalLanguageKind / lang:formalLanguageKind), not a subclass overlap. broadMatch: lang:SignSystem is the broader grounding class.
gmeow:NotationSystem	skos:relatedMatch	wd:Q2001982		semapv:ManualMappingCuration	0.6	Wikidata 'notation' (Q2001982) — a system of symbols to represent facts or quantities; a close related match.
gmeow:NotationSystemUsage	skos:relatedMatch	lang:Rendering	Rendering	semapv:ManualMappingCuration	0.3	RETENTION (negative supersession — NOT a Section-Retraction): gmeow:NotationSystemUsage is RETAINED. It is the reified observation-spine relator binding {entity} × {notation system} × {role} × {period} — WHO uses a notation, WHEN, in what role — an axis orthogonal to lang:Rendering's content→form crossing. A rendering realizes content as a form; a usage records a standpoint-scoped fact of use, and neither supersedes the other. relatedMatch: both concern notation but along disjoint axes; the usage relator is not a crossing.
gmeow:NotationUsageRole	skos:relatedMatch	lang:RenderingKind	Rendering Kind	semapv:ManualMappingCuration	0.3	RETENTION (negative supersession — NOT a Section-Retraction): gmeow:NotationUsageRole is RETAINED. Its values name the FUNCTION a notation serves in a usage (transcription, encoding, representation, cipher, …); lang:RenderingKind names the KIND of a rendering crossing (serialization, prose, transliteration, notation, docs-page). These are different axes — a notation used for transcription may still render under lang:renderingNotation — so the rendering-kind vocabulary cannot retract onto the usage-role vocabulary. relatedMatch: both are open value vocabularies over notation, on disjoint axes.
gmeow:ProjectionFunction	skos:relatedMatch	lang:Rendering	Rendering	semapv:ManualMappingCuration	0.4	RETENTION (negative supersession — NOT a Section-Retraction): gmeow:ProjectionFunction (rdfs:subClassOf fno:Function) is RETAINED — it carries FnO executable-transform semantics (a solver-layer render function, P12) that lang:Rendering, a declarative reified crossing, has no term for. The function is the executable hook a lang:Rendering's convention invokes; lang:Rendering names the crossing, never the transform. relatedMatch: related as the render machinery behind a rendering, not superseded.
gmeow:ProjectionLoss	skos:relatedMatch	logic:PreservationKind	Preservation Kind	semapv:ManualMappingCuration	0.5	RETENTION (negative supersession — NOT a Section-Retraction): gmeow:ProjectionLoss is RETAINED. lang:renderingPreservation carries a single coarse logic:PreservationKind grade for a crossing; a ProjectionLoss is the FINE-grained, per-parameter loss individual (each gmeow:accountsForParameter a specific canonical parameter) that the completeness gate reconciles. The per-parameter account is not recoverable from the coarse kind, so the kind cannot retract onto the loss ledger. relatedMatch: ProjectionLoss enumerates the drops that a lossy logic:PreservationKind rolls up.
gmeow:SymbolicSystem	skos:broadMatch	lang:SignSystem	Sign System	semapv:ManualMappingCuration	0.95	DEEPEN / EMBEDDING (isomorphism rung): gmeow:SymbolicSystem is grafted as a specialization of lang:SignSystem (rdfs:subClassOf lang:SignSystem in module.ttl), embedding every convention-bearing symbol system into the sign-system reference layer with no loss — a symbolic system IS a sign system, distinguished by lang:signSystemKind and lang:modality rather than a local class ladder. broadMatch: lang:SignSystem is the broader grounding class.
gmeow:SymbolicSystem	skos:relatedMatch	schema:DefinedTermSet		semapv:ManualMappingCuration	0.5	schema.org DefinedTermSet is a set of defined terms — broader and flatter than SymbolicSystem, but the closest surface concept.
gmeow:SymbolicSystem	skos:relatedMatch	wd:Q80071		semapv:ManualMappingCuration	0.5	Wikidata 'symbol' (Q80071) — the general concept of a symbol, not a specific system; related match only.
