# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/gender
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Gender alignments \u2014 gender-identity values to GSSO and Homosaurus v4 (the authoritative sex-gender / LGBTQ+ vocabularies) and the gender-carrying property to schema.org, FOAF and Wikidata P21 (P21 is Wikidata's accepted sex-or-gender field). EVERY external identifier was verified against the local authoritative copies (Homosaurus v4 + GSSO from /opt/foundation; Wikidata via API) \u2014 scraped IDs proved unreliable. Note Wikidata has NO gender-identity item for 'woman'/'man' distinct from the SEX values female/male (Q6581072/Q6581097), which are mapped to sexAssignedAtBirth instead \u2014 itself evidence of the sex/gender conflation GMEOW refuses; GSSO does carry distinct woman/man gender identities. The value vocab is OPEN (demigirl/demiboy/questioning are canonical until verified IDs exist). The reified, self-asserted, co-equal gmeow:IdentityFacet machinery (hasGenderIdentity/genderValue, selfAsserted, displayable suppression) is CANONICAL. sexAssignedAtBirth is a recorded administrative datum; documentary sex on records uses external gedcom:sex directly."
# curie_map:
#   fhir: http://hl7.org/fhir/
#   foaf: http://xmlns.com/foaf/0.1/
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   gsso: http://purl.obolibrary.org/obo/GSSO_
#   homosaurus: https://homosaurus.org/v4/
#   schema: https://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   wd: http://www.wikidata.org/entity/
#   wdt: http://www.wikidata.org/prop/direct/
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:GenderIdentity	skos:closeMatch	homosaurus:homoit0000571	semapv:ManualMappingCuration	0.8	Homosaurus v4 'Gender identity'
gmeow:genderAgender	skos:closeMatch	homosaurus:homoit0000021	semapv:ManualMappingCuration	0.9	Homosaurus v4 'Agender people'
gmeow:genderAgender	skos:closeMatch	wd:Q505371	semapv:ManualMappingCuration	0.9	Wikidata 'agender'
gmeow:genderBigender	skos:closeMatch	wd:Q859614	semapv:ManualMappingCuration	0.85	Wikidata 'bigender'
gmeow:genderGenderfluid	skos:closeMatch	homosaurus:homoit0000570	semapv:ManualMappingCuration	0.9	Homosaurus v4 'Genderfluid people'
gmeow:genderGenderfluid	skos:closeMatch	wd:Q18116794	semapv:ManualMappingCuration	0.9	Wikidata 'genderfluid'
gmeow:genderGenderqueer	skos:closeMatch	gsso:000131	semapv:ManualMappingCuration	0.85	GSSO 'genderqueer'
gmeow:genderGenderqueer	skos:closeMatch	homosaurus:homoit0001921	semapv:ManualMappingCuration	0.85	Homosaurus v4 'Genderqueer identity'
gmeow:genderGenderqueer	skos:closeMatch	wd:Q12964198	semapv:ManualMappingCuration	0.85	Wikidata 'genderqueer'
gmeow:genderMan	skos:closeMatch	gsso:000370	semapv:ManualMappingCuration	0.85	GSSO 'man'
gmeow:genderMan	skos:closeMatch	homosaurus:homoit0001008	semapv:ManualMappingCuration	0.8	Homosaurus v4 'Men'
gmeow:genderNonBinary	skos:closeMatch	gsso:000395	semapv:ManualMappingCuration	0.9	GSSO 'nonbinary person'
gmeow:genderNonBinary	skos:closeMatch	homosaurus:homoit0001048	semapv:ManualMappingCuration	0.9	Homosaurus v4 'Non-binary people'
gmeow:genderNonBinary	skos:closeMatch	wd:Q48270	semapv:ManualMappingCuration	0.9	Wikidata 'non-binary'
gmeow:genderTwoSpirit	skos:closeMatch	gsso:007398	semapv:ManualMappingCuration	0.9	GSSO 'Two-Spirit gender identity'
gmeow:genderTwoSpirit	skos:closeMatch	homosaurus:homoit0001480	semapv:ManualMappingCuration	0.9	Homosaurus v4 'Two-Spirit people'
gmeow:genderTwoSpirit	skos:closeMatch	wd:Q301702	semapv:ManualMappingCuration	0.85	Wikidata 'two-spirit'
gmeow:genderValue	skos:closeMatch	foaf:gender	semapv:ManualMappingCuration	0.6	lossy legacy binary-leaning property
gmeow:genderValue	skos:closeMatch	schema:gender	semapv:ManualMappingCuration	0.7	lossy — schema:gender conflates sex/gender
gmeow:genderValue	skos:closeMatch	wdt:P21	semapv:ManualMappingCuration	0.85	Wikidata's accepted gender field (P21 'sex or gender')
gmeow:genderWoman	skos:closeMatch	gsso:000369	semapv:ManualMappingCuration	0.85	GSSO 'woman' (a gender identity, not a sex)
gmeow:genderWoman	skos:closeMatch	homosaurus:homoit0001509	semapv:ManualMappingCuration	0.8	Homosaurus v4 'Women'
gmeow:saabFemale	skos:closeMatch	wd:Q6581072	semapv:ManualMappingCuration	0.8	Wikidata 'female' (the sex value behind P21; NOT a gender identity)
gmeow:saabIntersex	skos:closeMatch	homosaurus:homoit0000618	semapv:ManualMappingCuration	0.8	Homosaurus v4 'Intersex people'
gmeow:saabIntersex	skos:closeMatch	wd:Q1097630	semapv:ManualMappingCuration	0.85	Wikidata 'intersex'
gmeow:saabMale	skos:closeMatch	wd:Q6581097	semapv:ManualMappingCuration	0.8	Wikidata 'male'
gmeow:sexAssignedAtBirth	skos:closeMatch	fhir:administrative-gender	semapv:ManualMappingCuration	0.5	FHIR administrative gender — loose neighbour, not birth-sex proper
gmeow:sexAssignedAtBirth	skos:closeMatch	wdt:P21	semapv:ManualMappingCuration	0.6	Wikidata 'sex or gender' property — narrower here; loose
