# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/sexuality
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Sexuality alignments \u2014 sexual-orientation values to Wikidata P91 value items, Homosaurus v4 and GSSO; the property to P91. EVERY external identifier was verified against the local authoritative copies (Homosaurus v4 + GSSO from /opt/foundation; Wikidata via API) \u2014 scraped IDs proved unreliable (e.g. the v3 numbers did not match). GMEOW applies the SPLIT-ATTRACTION model (sexual orientation and romantic orientation are separate axes); most external vocabularies do NOT distinguish them, so romantic orientation maps only where a distinct term is verified (Homosaurus 'Aromanticism') and is otherwise canonical. schema.org and FOAF have no orientation term \u2014 orientation is a documented lossy drop at the projection layer. The value vocab is OPEN; the reified, self-asserted, co-equal gmeow:IdentityFacet machinery is CANONICAL."
# curie_map:
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   gsso: http://purl.obolibrary.org/obo/GSSO_
#   homosaurus: https://homosaurus.org/v4/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   wd: http://www.wikidata.org/entity/
#   wdt: http://www.wikidata.org/prop/direct/
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:orientAsexual	skos:closeMatch	homosaurus:homoit0000004	semapv:ManualMappingCuration	0.9	Homosaurus v4 'Asexuality'
gmeow:orientAsexual	skos:closeMatch	wd:Q724351	semapv:ManualMappingCuration	0.9	Wikidata 'asexuality'
gmeow:orientBisexual	skos:closeMatch	gsso:001590	semapv:ManualMappingCuration	0.85	GSSO 'bisexual'
gmeow:orientBisexual	skos:closeMatch	homosaurus:homoit0000170	semapv:ManualMappingCuration	0.85	Homosaurus v4 'Bisexual people'
gmeow:orientBisexual	skos:closeMatch	wd:Q43200	semapv:ManualMappingCuration	0.9	Wikidata 'bisexuality'
gmeow:orientDemisexual	skos:closeMatch	homosaurus:homoit0000343	semapv:ManualMappingCuration	0.9	Homosaurus v4 'Demisexuality'
gmeow:orientDemisexual	skos:closeMatch	wd:Q23912283	semapv:ManualMappingCuration	0.9	Wikidata 'demisexuality'
gmeow:orientHeterosexual	skos:closeMatch	gsso:001592	semapv:ManualMappingCuration	0.85	GSSO 'heterosexual'
gmeow:orientHeterosexual	skos:closeMatch	homosaurus:homoit0000631	semapv:ManualMappingCuration	0.85	Homosaurus v4 'Heterosexuality'
gmeow:orientHeterosexual	skos:closeMatch	wd:Q1035954	semapv:ManualMappingCuration	0.85	Wikidata 'heterosexuality'
gmeow:orientHomosexual	skos:closeMatch	homosaurus:homoit0000647	semapv:ManualMappingCuration	0.85	Homosaurus v4 'Homosexuality'
gmeow:orientHomosexual	skos:closeMatch	wd:Q6636	semapv:ManualMappingCuration	0.85	Wikidata 'homosexuality'
gmeow:orientPansexual	skos:closeMatch	gsso:001593	semapv:ManualMappingCuration	0.85	GSSO 'pansexual'
gmeow:orientPansexual	skos:closeMatch	homosaurus:homoit0001073	semapv:ManualMappingCuration	0.85	Homosaurus v4 'Pansexual people'
gmeow:orientPansexual	skos:closeMatch	wd:Q271534	semapv:ManualMappingCuration	0.9	Wikidata 'pansexuality'
gmeow:orientQueer	skos:closeMatch	homosaurus:homoit0001195	semapv:ManualMappingCuration	0.8	Homosaurus v4 'Queer people'
gmeow:orientQueer	skos:closeMatch	wd:Q51415	semapv:ManualMappingCuration	0.85	Wikidata 'queer'
gmeow:romanticAromantic	skos:closeMatch	homosaurus:homoit0001644	semapv:ManualMappingCuration	0.9	Homosaurus v4 'Aromanticism'
gmeow:sexualOrientationValue	skos:closeMatch	wdt:P91	semapv:ManualMappingCuration	0.8	Wikidata 'sexual orientation' property
