# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/properties
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Canonical GMEOW property alignments. equivalentProperty for same-typed synonyms; skos:closeMatch for cross-type/fuzzy links."
# curie_map:
#   bfo: http://purl.obolibrary.org/obo/
#   bibframe: http://id.loc.gov/ontologies/bibframe/
#   bibo: http://purl.org/ontology/bibo/
#   ceterms: https://purl.org/ctdl/terms/
#   crm: http://www.cidoc-crm.org/cidoc-crm/
#   dcterms: http://purl.org/dc/terms/
#   doap: http://usefulinc.com/ns/doap#
#   dpv: https://w3id.org/dpv#
#   foaf: http://xmlns.com/foaf/0.1/
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   gufo: http://purl.org/nemo/gufo#
#   org: http://www.w3.org/ns/org#
#   owl: http://www.w3.org/2002/07/owl#
#   prov: http://www.w3.org/ns/prov#
#   rel: http://purl.org/vocab/relationship/
#   schema: https://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   vcard: http://www.w3.org/2006/vcard/ns#
subject_id	predicate_id	object_id	object_label	mapping_justification	confidence	comment
gmeow:CreativeWorkTitle	owl:equivalentClass	bibframe:Title		semapv:ManualMappingCuration	0.9	both reify a work's title as a first-class node carrying its text and metadata
gmeow:accountName	owl:equivalentProperty	foaf:accountName		semapv:ManualMappingCuration	1.0	
gmeow:accountServiceHomepage	skos:closeMatch	foaf:accountServiceHomepage		semapv:ManualMappingCuration	0.95	FOAF's OnlineAccount service-homepage idiom
gmeow:areaServed	skos:closeMatch	schema:areaServed		semapv:ManualMappingCuration	0.9	offerings
gmeow:closesAt	skos:closeMatch	schema:closes		semapv:ManualMappingCuration	0.9	offerings
gmeow:coarsenTo	skos:closeMatch	dpv:Generalisation		semapv:ManualMappingCuration	0.8	DPV Generalisation (reduce granularity/precision by grouping or rounding) — the privacy-technique counterpart of the gmeow:coarsenTo projection-time directive; the seam to PRIV-GEN
gmeow:coarserThan	skos:closeMatch	skos:broader		semapv:ManualMappingCuration	0.8	SKOS broader — the generic hierarchical-order counterpart of the granularity-level ordering gmeow:coarserThan
gmeow:containedInPlace	owl:equivalentProperty	schema:containedInPlace		semapv:ManualMappingCuration	1.0	
gmeow:corpusMember	skos:closeMatch	schema:distribution		semapv:ManualMappingCuration	0.8	a dataset's corpus members are its schema:distribution DataDownloads
gmeow:credentialFor	skos:closeMatch	schema:competencyRequired		semapv:ManualMappingCuration	0.8	schema.org competencyRequired — the credential-to-skill/occupation link downcasts lossily
gmeow:credentialIssuer	skos:closeMatch	ceterms:ownedBy		semapv:ManualMappingCuration	0.8	CTDL ownedBy — the organization that owns/issued the credential
gmeow:credentialIssuer	skos:closeMatch	schema:recognizedBy		semapv:ManualMappingCuration	0.8	schema.org recognizedBy — the credential issuer
gmeow:credentialIssuer	skos:closeMatch	schema:sourceOrganization		semapv:ManualMappingCuration	0.8	schema.org sourceOrganization — the organization that issued the credential
gmeow:datePublished	owl:equivalentProperty	schema:datePublished		semapv:ManualMappingCuration	1.0	
gmeow:datePublished	skos:closeMatch	dcterms:issued		semapv:ManualMappingCuration	0.9	DCTerms issued — the publication date is the issue/release date in DCMI Terms
gmeow:depictedIn	skos:closeMatch	schema:image		semapv:ManualMappingCuration	0.8	the inverse of depicts: an entity's image is the MediaObject depicting it → schema:image
gmeow:description	owl:equivalentProperty	schema:description		semapv:ManualMappingCuration	1.0	
gmeow:description	skos:closeMatch	dcterms:description		semapv:ManualMappingCuration	0.9	
gmeow:description	skos:closeMatch	vcard:note		semapv:ManualMappingCuration	0.8	
gmeow:email	owl:equivalentProperty	schema:email		semapv:ManualMappingCuration	1.0	
gmeow:email	skos:closeMatch	foaf:mbox		semapv:ManualMappingCuration	0.9	foaf:mbox is an IRI; close not equivalent
gmeow:email	skos:closeMatch	vcard:hasEmail		semapv:ManualMappingCuration	0.9	
gmeow:fillsPost	skos:closeMatch	org:holds		semapv:ManualMappingCuration	0.8	fillsPost links Membership→Post; org:holds links Agent→Post (different domain, close not equivalent)
gmeow:hasAuthor	owl:equivalentProperty	schema:author		semapv:ManualMappingCuration	1.0	
gmeow:hasAuthor	skos:closeMatch	dcterms:creator		semapv:ManualMappingCuration	0.9	DCTerms creator — GMEOW's flat hasAuthor (chief creator) downcasts to dcterms:creator by projection
gmeow:hasAuthor	skos:closeMatch	foaf:maker		semapv:ManualMappingCuration	0.9	
gmeow:hasChild	owl:equivalentProperty	rel:parentOf		semapv:ManualMappingCuration	0.95	
gmeow:hasChild	owl:equivalentProperty	schema:children		semapv:ManualMappingCuration	1.0	
gmeow:hasContactPoint	owl:equivalentProperty	schema:contactPoint		semapv:ManualMappingCuration	0.9	
gmeow:hasContributor	skos:closeMatch	dcterms:contributor		semapv:ManualMappingCuration	0.85	DCTerms contributor — GMEOW's flat hasContributor shortcut downcasts to dcterms:contributor by projection
gmeow:hasContributor	skos:closeMatch	doap:developer		semapv:ManualMappingCuration	0.7	
gmeow:hasExifTag	skos:closeMatch	schema:exifData		semapv:ManualMappingCuration	0.9	reified EXIF tags → schema:exifData PropertyValues (lossless)
gmeow:hasLogo	skos:closeMatch	foaf:logo		semapv:ManualMappingCuration	0.95	an entity's emblematic media object → foaf:logo (follow-through)
gmeow:hasLogo	skos:closeMatch	schema:logo		semapv:ManualMappingCuration	0.95	an entity's emblematic media object → schema:logo (follow-through)
gmeow:hasMember	skos:closeMatch	org:member		semapv:ManualMappingCuration	0.8	
gmeow:hasOccupation	owl:equivalentProperty	schema:hasOccupation		semapv:ManualMappingCuration	1.0	
gmeow:hasOpeningHours	skos:closeMatch	schema:openingHoursSpecification		semapv:ManualMappingCuration	0.9	offerings
gmeow:hasParent	owl:equivalentProperty	rel:childOf		semapv:ManualMappingCuration	0.95	childOf points child->parent = hasParent
gmeow:hasParent	owl:equivalentProperty	schema:parent		semapv:ManualMappingCuration	1.0	
gmeow:hasPart	skos:closeMatch	bfo:BFO_0000051	has part	semapv:ManualMappingCuration	0.85	BFO has-part is the OBO hub; GMEOW hasPart is broader and keeps specialized subproperties for precise semantics
gmeow:hasPart	skos:closeMatch	crm:P46_is_composed_of		semapv:ManualMappingCuration	0.75	CIDOC CRM P46 is composed of — narrower than GMEOW universal hasPart
gmeow:hasPart	skos:closeMatch	dcterms:hasPart		semapv:ManualMappingCuration	0.75	
gmeow:hasPart	skos:closeMatch	schema:hasPart		semapv:ManualMappingCuration	0.8	
gmeow:hasRepository	skos:closeMatch	doap:repository		semapv:ManualMappingCuration	0.9	
gmeow:hasRole	skos:exactMatch	org:role		semapv:ManualMappingCuration	0.85	the membership relator's role leg; gmeow's hasRole is broader (any role-bearing relator) — exactMatch on the shared membership use
gmeow:hasSibling	owl:equivalentProperty	rel:siblingOf		semapv:ManualMappingCuration	1.0	
gmeow:hasSibling	owl:equivalentProperty	schema:sibling		semapv:ManualMappingCuration	1.0	
gmeow:hasSite	skos:closeMatch	org:hasSite		semapv:ManualMappingCuration	0.9	gmeow:hasSite has range gmeow:Location, while org:hasSite has range org:Site; no alignment of gmeow:Location to org:Site exists, so owl:equivalentProperty is too strong.
gmeow:hasSkill	skos:closeMatch	schema:skills		semapv:ManualMappingCuration	0.8	schema.org skills — the leveled SkillProficiency relator collapses to a flat skill link
gmeow:hasSpouse	owl:equivalentProperty	rel:spouseOf		semapv:ManualMappingCuration	1.0	
gmeow:hasSpouse	owl:equivalentProperty	schema:spouse		semapv:ManualMappingCuration	1.0	
gmeow:hasWebPage	skos:closeMatch	foaf:homepage		semapv:ManualMappingCuration	0.8	
gmeow:hasWebPage	skos:closeMatch	schema:url		semapv:ManualMappingCuration	0.8	
gmeow:holdsAccount	owl:equivalentProperty	foaf:account		semapv:ManualMappingCuration	1.0	
gmeow:holdsCredential	owl:equivalentProperty	schema:hasCredential		semapv:ManualMappingCuration	1.0	
gmeow:identifier	skos:closeMatch	bibo:doi		semapv:ManualMappingCuration	0.8	
gmeow:identifier	skos:closeMatch	dcterms:identifier		semapv:ManualMappingCuration	0.9	DCTerms identifier — a formal identifier such as a DOI or patent number
gmeow:identifierScheme	skos:closeMatch	schema:propertyID		semapv:ManualMappingCuration	0.85	the identifier's scheme code IS schema:PropertyValue's propertyID
gmeow:industryClassification	skos:closeMatch	org:classification		semapv:ManualMappingCuration	0.8	industryClassification carries open codes (NAICS/ISIC); org:classification is broader
gmeow:itemOffered	skos:closeMatch	schema:itemOffered		semapv:ManualMappingCuration	0.9	offerings
gmeow:latitude	owl:equivalentProperty	schema:latitude		semapv:ManualMappingCuration	1.0	
gmeow:longitude	owl:equivalentProperty	schema:longitude		semapv:ManualMappingCuration	1.0	
gmeow:makesOffer	skos:closeMatch	schema:makesOffer		semapv:ManualMappingCuration	0.9	offerings
gmeow:memberOf	owl:equivalentProperty	schema:memberOf		semapv:ManualMappingCuration	1.0	
gmeow:memberOf	skos:closeMatch	org:memberOf		semapv:ManualMappingCuration	0.9	
gmeow:membershipOrganization	owl:equivalentProperty	org:organization		semapv:ManualMappingCuration	0.95	the membership relator's organization leg
gmeow:name	owl:equivalentProperty	foaf:name		semapv:ManualMappingCuration	1.0	
gmeow:name	owl:equivalentProperty	schema:name		semapv:ManualMappingCuration	1.0	
gmeow:name	skos:closeMatch	vcard:fn		semapv:ManualMappingCuration	0.9	
gmeow:offeringProvider	skos:closeMatch	schema:provider		semapv:ManualMappingCuration	0.9	offerings
gmeow:openingDay	skos:closeMatch	schema:dayOfWeek		semapv:ManualMappingCuration	0.9	offerings
gmeow:opensAt	skos:closeMatch	schema:opens		semapv:ManualMappingCuration	0.9	offerings
gmeow:organizationPurpose	owl:equivalentProperty	org:purpose		semapv:ManualMappingCuration	0.9	
gmeow:pagePrincipalSubject	skos:closeMatch	schema:mainEntity		semapv:ManualMappingCuration	0.85	a page's principal subject IS schema:mainEntity; its inverse on the subject is schema:mainEntityOfPage
gmeow:partOf	skos:closeMatch	bfo:BFO_0000050	part of	semapv:ManualMappingCuration	0.85	BFO continuant/occurrent parthood is the OBO hub; GMEOW partOf is a broader universal spine across modules
gmeow:partOf	skos:closeMatch	crm:P46i_forms_part_of		semapv:ManualMappingCuration	0.75	CIDOC CRM P46 inverse forms part of — physical/conceptual object parthood; narrower than GMEOW universal partOf
gmeow:partOf	skos:closeMatch	dcterms:isPartOf		semapv:ManualMappingCuration	0.75	
gmeow:partOf	skos:closeMatch	gufo:TemporaryParthoodSituation		semapv:ManualMappingCuration	0.5	Intentional cross-category closeMatch: gUFO's TemporaryParthoodSituation class is the reified reference pattern for mutable endurant parthood; GMEOW partOf remains the flat property shortcut, not an OWL property equivalence
gmeow:partOf	skos:closeMatch	gufo:isCollectionMemberOf		semapv:ManualMappingCuration	0.55	gUFO collection membership is intransitive member-to-collection parthood; a narrower case of the GMEOW universal spine
gmeow:partOf	skos:closeMatch	gufo:isComponentOf		semapv:ManualMappingCuration	0.65	gUFO component parthood is endurant/component-specific and not generally transitive; GMEOW partOf is broader
gmeow:partOf	skos:closeMatch	gufo:isSubCollectionOf		semapv:ManualMappingCuration	0.6	gUFO subcollection parthood is collection-specific; GMEOW partOf is the broader cross-module spine
gmeow:partOf	skos:closeMatch	schema:isPartOf		semapv:ManualMappingCuration	0.8	
gmeow:postIn	owl:equivalentProperty	org:postIn		semapv:ManualMappingCuration	0.9	
gmeow:predecessorOrganization	skos:closeMatch	org:originalOrganization		semapv:ManualMappingCuration	0.9	predecessorOrganization on Event ≈ originalOrganization on ChangeEvent
gmeow:serviceType	skos:closeMatch	schema:serviceType		semapv:ManualMappingCuration	0.9	offerings
gmeow:sourceLocation	skos:closeMatch	schema:contentUrl		semapv:ManualMappingCuration	0.85	a source/distribution's resolvable location IS schema:contentUrl on the DataDownload
gmeow:subOrganizationOf	owl:equivalentProperty	org:subOrganizationOf		semapv:ManualMappingCuration	0.9	
gmeow:subOrganizationOf	owl:equivalentProperty	schema:parentOrganization		semapv:ManualMappingCuration	0.9	
gmeow:successorOrganization	skos:closeMatch	org:resultingOrganization		semapv:ManualMappingCuration	0.9	successorOrganization on Event ≈ resultingOrganization on ChangeEvent
gmeow:telephone	owl:equivalentProperty	schema:telephone		semapv:ManualMappingCuration	1.0	
gmeow:telephone	skos:closeMatch	vcard:hasTelephone		semapv:ManualMappingCuration	0.9	
gmeow:title	skos:closeMatch	dcterms:title		semapv:ManualMappingCuration	0.9	
gmeow:wasAttributedTo	skos:exactMatch	prov:wasAttributedTo		semapv:ManualMappingCuration	0.95	the same attribution relation — an exact 1:1 term correspondence that round-trips; skos:exactMatch (not owl:equivalentProperty) keeps gmeow's deliberately domain-free property from importing prov's domain/range
gmeow:wasGeneratedBy	skos:exactMatch	prov:wasGeneratedBy		semapv:ManualMappingCuration	0.95	the same generation relation — an exact 1:1 term correspondence that round-trips; skos:exactMatch (not owl:equivalentProperty) keeps gmeow's deliberately domain-free property from importing prov's domain/range
