# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/observations
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow regenerate (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Observation stack alignments: SOSA/SSN, PROV-O, CIDOC-CRM E13. The gmeow:vantage property has no direct SOSA counterpart (sosa:madeBySensor is device-centric, not standpoint-centric); the alignment is closeMatch with a note. math:Quantity and math:quantityValue are the sole quantity/value authorities; their SOSA, OM, IVOA, LOINC, and QUDT grounding correspondences are authored by the math slice in mappings/quantity-bridges.ttl, while this catalog owns observation qualifiers and domain roles. Added: StandpointClaim \u2192 sosa:Observation; Agent \u2192 sosa:Sensor (the observer/sensor/perceiver is a standpoint). Added (observation-spine bridge): IdentityFacet, NameUsage, RightsStatement, and KinRelationship \u2192 sosa:Observation (universal claim construct); facetSubject / facetVantage \u2192 sosa:hasFeatureOfInterest / sosa:madeBySensor. Added (stream-to-trajectory design): Stream \u2192 sosa:ObservationCollection; streamSample \u2192 sosa:hasMember; Agent \u2192 sosa:Platform; streamSensor \u2192 sosa:madeBySensor; streamInterval \u2192 sosa:phenomenonTime; Observation \u2192 sosa:Sampling. Added (spatial-measurement design): SpatialMeasurement and CoordinateObservation \u2192 sosa:Observation, iso19156:OM_Observation / OM_GeometryObservation, crmarc:S4_Observation; coordinateResult / geometryResult \u2192 sosa:hasResult. Added (sensory slice): Sensor \u2192 sosa:Sensor (precise alignment, superseding Agent broadMatch); SensorPlatform \u2192 sosa:Platform (precise alignment, superseding Agent relatedMatch); ObservableProperty \u2192 sosa:ObservableProperty; SensoryQuantity \u2192 sosa:Result; sensoryProperty \u2192 sosa:observedProperty; platformLocation \u2192 geo:location; Sensor \u2192 obi:device; observationMethod \u2192 oboe:Protocol / obi:assay; ObservableProperty \u2192 oboe:Characteristic / pato:quality; SensoryObservation \u2192 qb:Observation; unit \u2192 om:hasUnit."
# curie_map:
#   bbc: http://www.bbc.co.uk/ontologies/news/
#   crm: http://www.cidoc-crm.org/cidoc-crm/
#   crmarc: http://www.cidoc-crm.org/crmarchaeo/
#   geo: http://www.opengis.net/ont/geosparql#
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   iptc: http://iptc.org/std/NewsML-G2/
#   iso19156: http://www.isotc211.org/iso19156/
#   loinc: http://loinc.org/rdf/
#   math: https://blackcatinformatics.ca/math/
#   oa: http://www.w3.org/ns/oa#
#   obi: http://purl.obolibrary.org/obo/OBI_
#   oboe: http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#
#   obscore: http://www.ivoa.net/rdf/ObsCore#
#   om: http://www.wurvoc.org/vocabularies/om-1.8/
#   pato: http://purl.obolibrary.org/obo/PATO_
#   prov: http://www.w3.org/ns/prov#
#   qb: http://purl.org/linked-data/cube#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   snomed: http://snomed.info/id/
#   sosa: http://www.w3.org/ns/sosa/
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:Agent	skos:broadMatch	sosa:Sensor	semapv:ManualMappingCuration	0.75	An agent acting as vantage/observer/perceiver IS a standpoint (Principle 9). sosa:Sensor is device-centric and narrower; the alignment bridges the SOSA sensor concept to the broader GMEOW agent-as-standpoint doctrine.
gmeow:Agent	skos:relatedMatch	sosa:Platform	semapv:ManualMappingCuration	0.75	An agent hosting sensors can act as a platform (broader than the sosa:Sensor alignment in eqObs018).
gmeow:CoordinateObservation	skos:closeMatch	crmarc:S4_Observation	semapv:ManualMappingCuration	0.75	CRMarchaeo S4 Observation covers stratigraphic and spatial observations in archaeological context.
gmeow:CoordinateObservation	skos:closeMatch	iso19156:OM_GeometryObservation	semapv:ManualMappingCuration	0.85	ISO 19156 O&M GeometryObservation is the closest O&M class for coordinate/geometry assignment.
gmeow:CoordinateObservation	skos:closeMatch	sosa:Observation	semapv:ManualMappingCuration	0.9	SOSA does not distinguish coordinate observation types; CoordinateObservation is a kind of Observation.
gmeow:IdentityFacet	skos:closeMatch	sosa:Observation	semapv:ManualMappingCuration	0.85	SOSA does not distinguish observation types; an identity claim (gender, expression, orientation) is a kind of observation in the universal stack.
gmeow:KinRelationship	skos:closeMatch	sosa:Observation	semapv:ManualMappingCuration	0.8	SOSA does not distinguish observation types; a kinship claim is a kind of observation in the universal stack.
gmeow:Measurement	skos:closeMatch	sosa:Observation	semapv:ManualMappingCuration	0.9	A Measurement is a kind of Observation; SOSA does not distinguish them.
gmeow:NameUsage	skos:closeMatch	sosa:Observation	semapv:ManualMappingCuration	0.85	SOSA does not distinguish observation types; a naming claim is a kind of observation in the universal stack.
gmeow:ObservableProperty	skos:closeMatch	oboe:Characteristic	semapv:ManualMappingCuration	0.8	OBOE Characteristic is the property being measured; GMEOW ObservableProperty is a value vocabulary (individuals).
gmeow:ObservableProperty	skos:closeMatch	pato:0000001	semapv:ManualMappingCuration	0.75	PATO quality (PATO:0000001) is the broadest quality class; GMEOW ObservableProperty is a value vocabulary of specific observable properties.
gmeow:ObservableProperty	skos:closeMatch	sosa:ObservableProperty	semapv:ManualMappingCuration	0.9	A property that can be observed or measured by a sensor. GMEOW models it as a gufo:QualityValue vocabulary (individuals); SOSA as a class.
gmeow:ObservableProperty	skos:relatedMatch	loinc:Component	semapv:ManualMappingCuration	0.75	LOINC Component identifies what is being measured (glucose, WBC, etc.).
gmeow:Observation	skos:broadMatch	sosa:Sampling	semapv:ManualMappingCuration	0.8	A sampling act is a kind of observation; GMEOW models it through observationTypeSampling.
gmeow:Observation	skos:closeMatch	crm:E13_Attribute_Assignment	semapv:ManualMappingCuration	0.9	CIDOC-CRM E13 Attribute Assignment is the closest CRM class for an observation: it is both the activity of assigning an attribute and, in GMEOW terms, the observation that results from such an activity. The event perspective is aligned to gmeow:ObservationalActivity in the events mapping set.
gmeow:Observation	skos:closeMatch	crmarc:S4_Observation	semapv:ManualMappingCuration	0.85	CRMarchaeo S4 Observation is the closest CRM class for a stratigraphic or physical-layer observation.
