# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/citations
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Citation and credit alignments to CiTO, Web Annotation, and PROV-O. GMEOW rebuilds the constructs natively and bridges by reference (Principle 5)."
# curie_map:
#   cito: http://purl.org/spar/cito/
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   oa: http://www.w3.org/ns/oa#
#   owl: http://www.w3.org/2002/07/owl#
#   prov: http://www.w3.org/ns/prov#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:Contribution	skos:closeMatch	prov:Attribution	semapv:ManualMappingCuration	0.85	PROV-O Attribution is an influence/association; GMEOW Contribution is a relator. Lossy but close.
gmeow:Selector	skos:closeMatch	oa:Selector	semapv:ManualMappingCuration	0.95	Web Annotation oa:Selector is the closest peer to GMEOW Selector.
gmeow:cites	owl:equivalentProperty	cito:cites	semapv:ManualMappingCuration	1.0	CiTO cites — the core citation property.
gmeow:contributor	skos:closeMatch	prov:agent	semapv:ManualMappingCuration	0.8	PROV-O agent within an Attribution; GMEOW contributor is the relator player. Lossy.
gmeow:intentCitesAsDataSource	skos:closeMatch	cito:citesAsDataSource	semapv:ManualMappingCuration	0.95	CiTO citesAsDataSource is a sub-property of cito:cites; GMEOW encodes the intent as a CitationIntent value.
gmeow:intentConformsTo	skos:closeMatch	cito:obtainsSupportFrom	semapv:ManualMappingCuration	0.85	CiTO obtainsSupportFrom approximates conforming to a standard; not an exact match.
gmeow:intentDerivedFrom	skos:closeMatch	cito:isDerivedFrom	semapv:ManualMappingCuration	0.95	CiTO isDerivedFrom intent.
gmeow:intentDisagreesWith	skos:closeMatch	cito:disagreesWith	semapv:ManualMappingCuration	0.95	CiTO disagreesWith intent.
gmeow:intentDocuments	skos:closeMatch	cito:documents	semapv:ManualMappingCuration	0.95	CiTO documents intent.
gmeow:intentExtends	skos:closeMatch	cito:extends	semapv:ManualMappingCuration	0.95	CiTO extends intent.
gmeow:intentIsInspiredBy	skos:closeMatch	cito:isInspiredBy	semapv:ManualMappingCuration	0.95	CiTO isInspiredBy intent.
gmeow:intentSupports	skos:closeMatch	cito:providesSupportFor	semapv:ManualMappingCuration	0.9	CiTO providesSupportFor approximates support intent.
gmeow:intentUsesMethodIn	skos:closeMatch	cito:usesMethodIn	semapv:ManualMappingCuration	0.95	CiTO usesMethodIn intent.
