# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/archaeological-evidence
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Archaeological evidence alignments: CIDOC-CRM E34 Inscription, E19 Physical Object, CRMsci S4 Observation, CRMinf I1 Argumentation / I2 Belief, PROV-O Activity, and Web Annotation. The gmeow:InscriptionReading, InscriptionTransliteration, InscriptionTranslation, ScriptLanguageAttribution, and ArchaeologicalFindContext are all Observation subclasses; they align to CRM E13 Attribute Assignment and CRMsci S4 Observation at the superclass level (see equivalences/observations.ttl). This file adds the domain-specific term alignments."
# curie_map:
#   crm: http://www.cidoc-crm.org/cidoc-crm/
#   crmarc: http://www.cidoc-crm.org/crmarchaeo/
#   crminf: http://www.ics.forth.gr/isl/CRMinf/
#   crmsci: http://www.cidoc-crm.org/extensions/crmsci/
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   oa: http://www.w3.org/ns/oa#
#   prov: http://www.w3.org/ns/prov#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:ArchaeologicalFindContext	skos:closeMatch	crmarc:A2_Stratigraphic_Volume_Unit	semapv:ManualMappingCuration	0.7	CRMarchaeo A2 is the stratigraphic volume unit; GMEOW ArchaeologicalFindContext is an Observation relator that binds carrier, place, stratigraphy, dating, and event. The match is loose because A2 is a spatial-stratigraphic entity, while ArchaeologicalFindContext is a claim/observation about that entity.
gmeow:Inscription	skos:closeMatch	crm:E34_Inscription	semapv:ManualMappingCuration	0.95	CIDOC-CRM E34 is the closest term for a sign-bearing information object. GMEOW Inscription is broader than E34 (covers marks, symbols, and non-linguistic signs) and is explicitly an InformationObject, not a Man-Made Thing.
gmeow:InscriptionReading	skos:closeMatch	crmsci:S4_Observation	semapv:ManualMappingCuration	0.85	CRMsci S4 Observation covers scientific observations including archaeological readings. The alignment is at the superclass level: InscriptionReading is a domain-specific Observation.
gmeow:InscriptionReading	skos:closeMatch	oa:Annotation	semapv:ManualMappingCuration	0.75	A scholarly reading can be modeled as a Web Annotation: the inscription is the target, the LexicalForm is the body, and the scholar is the creator. This is a lossy projection (standpoint, confidence, and determinacy are dropped).
gmeow:InscriptionReading	skos:closeMatch	prov:Activity	semapv:ManualMappingCuration	0.85	A scholarly reading is an Activity in PROV-O terms: an agent performs it, it has a start/end, and it generates a result (the LexicalForm).
gmeow:InscriptionTranslation	skos:closeMatch	crmsci:S4_Observation	semapv:ManualMappingCuration	0.85	
gmeow:InscriptionTranslation	skos:closeMatch	oa:Annotation	semapv:ManualMappingCuration	0.75	
gmeow:InscriptionTransliteration	skos:closeMatch	crmsci:S4_Observation	semapv:ManualMappingCuration	0.85	
gmeow:InscriptionTransliteration	skos:closeMatch	oa:Annotation	semapv:ManualMappingCuration	0.75	
gmeow:PhysicalObject	skos:closeMatch	crm:E19_Physical_Object	semapv:ManualMappingCuration	0.9	GMEOW PhysicalObject is the material carrier; E19 is the closest CRM class. E24 Physical Human-Made Thing is a narrower match when the object is known to be human-made.
gmeow:ScriptLanguageAttribution	skos:closeMatch	crminf:I1_Argumentation	semapv:ManualMappingCuration	0.9	CRMinf I1 Argumentation is the closest term for a scholarly claim assigning language/script to an inscription. The ScriptLanguageAttribution also aligns to I5 Inference Making when the classification is inferred from palaeographic evidence.
gmeow:ScriptLanguageAttribution	skos:closeMatch	crminf:I5_Inference_Making	semapv:ManualMappingCuration	0.8	When the language/script attribution is inferred from evidence (palaeography, stratigraphy, etc.), it is an instance of I5 Inference Making.
gmeow:carrierInscription	skos:closeMatch	crm:P128_carries	semapv:ManualMappingCuration	0.9	crm:P128 carries (information): the physical object carries the inscription.
gmeow:findContextStratigraphy	skos:closeMatch	crmarc:A2_Stratigraphic_Volume_Unit	semapv:ManualMappingCuration	0.75	The stratigraphic unit referenced by findContextStratigraphy aligns to CRMarchaeo A2 when the unit is modeled in CRMarchaeo.
gmeow:inscriptionCarrier	skos:closeMatch	crm:P128i_is_carried_by	semapv:ManualMappingCuration	0.9	crm:P128i is carried by (information): the inscription is carried by the physical object.
gmeow:readingResult	skos:closeMatch	prov:generated	semapv:ManualMappingCuration	0.8	The lexical form produced by a reading is generated by the reading activity.
