edge_id:string,:START_ID(PurRDF),:END_ID(PurRDF),:TYPE,rdf_json:string
edge_0d7fbf2415c83ac859fb4606a89f321e937ab14eef128678c579e723bf0881f4,node_7b46620c98ffe749e0d44479496a062a1fa0597aade32e4060f9b74e2e256d4c,node_72357ba0fc973cbed5ad6049c459a8ae7ead28241143daf0dfdc1301278008de,RdfEdge_9855d63b908abbaed704b923d6885b33fd037f912078570b5fd6dc24f52f2ad0,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-distortion-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/eventType"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/eventTypeDistortion""},""graph"":{""kind"":""default""}}"
edge_1ca424034ba126ce8e168b89b17349ec682e3478d860873bc9ecb91d6e3dcc3d,node_30aaaa4f97ec205909a48461308bcec5ff0f75b0fdd24074f86fc58c595f6fdf,node_1848f2c6384ed5478186f319f24c2da298ec79938924e4b20018f4e6e6236a7b,RdfEdge_9855d63b908abbaed704b923d6885b33fd037f912078570b5fd6dc24f52f2ad0,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-lie-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/eventType"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/eventTypeLie""},""graph"":{""kind"":""default""}}"
edge_556134dc1a727c937bc123ccbdff1cab6c6c800ae032d8724d718349c576783d,node_c6f2a865be4dbc13290ea139b70a16ebafb9f542f16211e07429ff614ca1442c,node_d86c25548e25a0f9036f6a17d23269338502906da664e7243a7b4f53db55e40f,RdfEdge_9855d63b908abbaed704b923d6885b33fd037f912078570b5fd6dc24f52f2ad0,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-disinformation-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/eventType"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/eventTypeDisinformation""},""graph"":{""kind"":""default""}}"
edge_630755264042bcfa6b9c139ade08202a74042e4fc4d3efa076fc9c21be0d049a,node_5d630954975622558b56f63dc946784d2546aefcfea9e60e612e1123070b8e89,node_66fdc002941394b53b0204dfb48be08dbeb5f030b704adb6963b762d0507a4bd,RdfEdge_9855d63b908abbaed704b923d6885b33fd037f912078570b5fd6dc24f52f2ad0,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-forgery-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/eventType"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/eventTypeForgery""},""graph"":{""kind"":""default""}}"
edge_67b9e626e5584d8a1ae80e435368539428427ac4267e2cf2bba7be1c51b77043,node_2418de956458a7db208bcec96621ed6ddae07a45d5041b4d5efc36377d65f434,node_cdf1ef486eb166e281659b52f26d0287c22431483ff16d0ae6a982197695dc37,RdfEdge_9855d63b908abbaed704b923d6885b33fd037f912078570b5fd6dc24f52f2ad0,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-impersonation-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/eventType"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/eventTypeImpersonation""},""graph"":{""kind"":""default""}}"
edge_7b75773d30a7610ef5355068eab872ffb4b76a2168cbb20dc10d53afda4d6094,node_da5bc5be91e2a70713af306ebd48db80ab5b8182801e6bb732f206bf0141efb6,node_522cfda32d2d7eab008178597c790469e2f5230a7880e28937aa3f5e55ad9369,RdfEdge_9855d63b908abbaed704b923d6885b33fd037f912078570b5fd6dc24f52f2ad0,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-downstream-reshare-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/eventType"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/eventTypeDeception""},""graph"":{""kind"":""default""}}"
edge_ba2c3ca236c2aadab448ed502a70550cc528659398465d15f5e39d1f9a6c117c,node_51d0726b9e9cdbef9d67eee8f74bb4ad6c0cc283ddd917b10b589f6fb3d82d93,node_522cfda32d2d7eab008178597c790469e2f5230a7880e28937aa3f5e55ad9369,RdfEdge_9855d63b908abbaed704b923d6885b33fd037f912078570b5fd6dc24f52f2ad0,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-deception-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/eventType"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/eventTypeDeception""},""graph"":{""kind"":""default""}}"
edge_bad5189b7993d3b46a0a1a018880cc780eb766277ce494bc22f047a77e20bd83,node_1c0a0e0d1302621356f2391e5ccbe36512ce18236008f4dc2d0a41dc2bc80dfa,node_3070827417489fb6d2367cf73f56b6c5600dd42f9d2caf9920c8a16d37d78aad,RdfEdge_9855d63b908abbaed704b923d6885b33fd037f912078570b5fd6dc24f52f2ad0,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-omission-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/eventType"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/eventTypeOmission""},""graph"":{""kind"":""default""}}"
edge_be6cdaa57b1b5f452c8f3560965e480ae2b945015580d83c18f551432163690c,node_91ea8dd7cf7b609a7d9a9ded0acc0b5f0dce166a3d41d586eaee4daca140c155,node_16e3ebec05e37d0bc154b65c4c14bf102b5829f7464d7009435e22612ae53033,RdfEdge_9855d63b908abbaed704b923d6885b33fd037f912078570b5fd6dc24f52f2ad0,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-self-deception-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/eventType"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/eventTypeSelfDeception""},""graph"":{""kind"":""default""}}"
edge_c0b99489238889cce98e0fa2380a6ad1ab4402100be2a194000849fa1150aa92,node_3c15898454e3c34ebbce265bfb815d9e89884322625c217e1b0dedccb24e2baa,node_57e8dae2a161b4590efd33cf2324e069908ae076441258a2f5bda93444d4c703,RdfEdge_9855d63b908abbaed704b923d6885b33fd037f912078570b5fd6dc24f52f2ad0,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-paltering-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/eventType"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/eventTypePaltering""},""graph"":{""kind"":""default""}}"
