# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/schema-org-finance
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "schema.org financial extension alignments for the GMEOW finance slice. schema.org BankAccount/DepositAccount/MonetaryAmount/Invoice/Order/Payment/LoanOrCredit are the clean projection targets."
# curie_map:
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   schema: https://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:CryptoWallet	skos:closeMatch	schema:BankAccount	semapv:ManualMappingCuration	0.6	schema.org has no crypto-specific account term; BankAccount is the closest match. Projection loses crypto-specific semantics: wallet address, blockchain/network scheme, custody/private-key properties, and transaction provenance.
gmeow:FinancialAccount	skos:closeMatch	schema:BankAccount	semapv:ManualMappingCuration	0.8	a bank account; GMEOW FinancialAccount is broader (also credit, investment, wallet)
gmeow:FinancialAccount	skos:relatedMatch	schema:DepositAccount	semapv:ManualMappingCuration	0.7	a deposit account is a kind of bank account
gmeow:FinancialTransaction	skos:closeMatch	schema:MoneyTransfer	semapv:ManualMappingCuration	0.75	a money transfer; GMEOW FinancialTransaction is broader (also fees, interest, refunds)
gmeow:Invoice	skos:closeMatch	schema:Invoice	semapv:ManualMappingCuration	0.9	a billing document
gmeow:MonetaryAmount	skos:closeMatch	schema:MonetaryAmount	semapv:ManualMappingCuration	0.85	a quantity of money; GMEOW makes the currency frame explicit via ReferenceFrame
gmeow:Order	skos:closeMatch	schema:Order	semapv:ManualMappingCuration	0.85	a purchase or sales order; GMEOW Order is a subclass of Agreement
gmeow:Payment	skos:closeMatch	schema:Payment	semapv:ManualMappingCuration	0.85	a payment action; GMEOW Payment is a thin subclass of FinancialTransaction
gmeow:accountBalance	skos:closeMatch	schema:accountBalance	semapv:ManualMappingCuration	0.85	the balance of a bank account
gmeow:currency	skos:closeMatch	schema:currency	semapv:ManualMappingCuration	0.8	the currency of a monetary amount; GMEOW uses a ReferenceFrame individual, schema.org uses a string code
gmeow:iban	skos:exactMatch	schema:iban	semapv:ManualMappingCuration	0.95	International Bank Account Number
gmeow:monetaryValue	skos:closeMatch	schema:value	semapv:ManualMappingCuration	0.8	the numeric value of a monetary amount
