# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/places
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Location alignments for comprehensive geo interop \u2014 schema.org, GeoSPARQL, GeoNames, Getty (gvp), Wikidata, WGS84, vCard, BOT, ifcOWL, IVOA, UAT, SWEET, IEEE 1872-2015 CORA, KnowRob, SOMA, FALDO, Sequence Ontology. placeType/storageMedium/celestialObjectType/sequenceFeatureType are value individuals aligned (closeMatch) to external classes/feature-codes; address components align to schema.org + vCard for lossless round-trip; containedInPlace aligns to the topological \"within\"/parent relations of every geo vocab. StorageLocation/Location/storage* and authorityLink are canonical (no faithful external term). Coreference of place INSTANCES to gazetteer records is done in data with skos:exactMatch + gmeow:authorityLink (Wikidata as hub), not here. Added (stream-to-trajectory design): Stream \u2192 sta:Datastream; LocationState \u2192 sta:HistoricalLocation + sosa:Sample; Trajectory \u2192 sta:Datastream. Added: indoor realm bridging to BOT (Zone/Site/Building/Storey/Space, containsZone, adjacentZone) and ifcOWL (IfcBuilding/IfcBuildingStorey/IfcSpace/IfcSite) by reference. Added (celestial-frame design): CelestialLocation / CelestialCoordinates bridging to IVOA refframe/refposition/object-type, UAT, and SWEET. IVOA timescale alignments live in temporal.ttl. Added (robotic-frame design): Robotic realm bridging to IEEE 1872-2015 CORA (Robot, RoboticSystem), KnowRob (SemanticEnvironmentMap, RobotBaseTrajectory, Joint, FrameOfReference), and SOMA (ArtificialAgent). Added (biological-sequence design): Biological-sequence realm bridging to FALDO (Region, begin, end, ForwardStrandPosition, ReverseStrandPosition, reference), Sequence Ontology (sequence_feature, gene, exon, intron, CDS, SNP, chromosome), and Wikidata (GRCh38, genomic location, sense/antisense strand). Added (geocoding design): Geocode and geocoding ReferenceFrames (Plus Code, what3words, geohash, MGRS, UN/LOCODE, mile-marker) aligned to Wikidata QIDs. Added (spatial-measurement design): SpatialMeasurement / CoordinateObservation bridging to GeoSPARQL geo:Feature and schema.org GeoCoordinates. Added (cadastral design): Cadastral / land-administration realm bridging to ISO 19152 LADM (LA_SpatialUnit, LA_RRR, LA_Party, LA_BoundaryFace) and INSPIRE Cadastral Parcels (CadastralParcel, CadastralBoundary, CadastralZoning, BasicPropertyUnit, nationalCadastralReference) by reference. Added (vertical/maritime/aviation-zone design): Maritime / aviation zones aligned to MRGID ontology (direct), AIXM / UNCLOS / IHO S-100 via Wikidata hub; vertical-dimension reference frames (altitude MSL, flight level, AGL, depth MSL, chart datum)."
# curie_map:
#   bfo: http://purl.obolibrary.org/obo/
#   bot: https://w3id.org/bot#
#   brick: https://brickschema.org/schema/Brick#
#   cora: http://purl.org/ieee1872-owl/cora#
#   cp: http://inspire.ec.europa.eu/ont/cp#
#   crm: http://www.cidoc-crm.org/cidoc-crm/
#   crmgeo: http://www.ics.forth.gr/isl/CRMgeo/
#   dcterms: http://purl.org/dc/terms/
#   faldo: http://biohackathon.org/resource/faldo#
#   geo: http://www.opengis.net/ont/geosparql#
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   gn: http://www.geonames.org/ontology#
#   gvp: http://vocab.getty.edu/ontology#
#   ifc: http://www.buildingsmart-tech.org/ifcOWL/IFC4#
#   ivoa: http://www.ivoa.net/rdf/
#   knowrob: http://knowrob.org/kb/knowrob.owl#
#   ladm: http://www.opengis.net/ont/ladm#
#   lgdo: http://linkedgeodata.org/ontology/
#   mf: http://www.opengis.net/ont/movingfeatures#
#   mls: http://www.w3.org/ns/mls#
#   mrg: http://marineregions.org/ns/ontology#
#   owl: http://www.w3.org/2002/07/owl#
#   pleiades: http://pleiades.stoa.org/places/vocab#
#   pos: http://purl.org/ieee1872-owl/pos#
#   schema: https://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   sf: http://www.opengis.net/ont/sf#
#   skos: http://www.w3.org/2004/02/skos/core#
#   so: http://purl.obolibrary.org/obo/SO_
#   soma: http://www.ease-crc.org/ont/SOMA.owl#
#   sosa: http://www.w3.org/ns/sosa/
#   sta: http://www.opengis.net/def/ont/sensorthings/1.1/
#   time: http://www.w3.org/2006/time#
#   vcard: http://www.w3.org/2006/vcard/ns#
#   wd: http://www.wikidata.org/entity/
#   wdt: http://www.wikidata.org/prop/direct/
#   wgs84: http://www.w3.org/2003/01/geo/wgs84_pos#
#   whg: https://whgazetteer.org/
subject_id	predicate_id	object_id	object_label	mapping_justification	confidence	comment
gmeow:Agent	skos:closeMatch	ladm:LA_Party		semapv:ManualMappingCuration	0.85	GMEOW Agent is broader (any entity capable of action), but within the land-administration context it aligns to LADM LA_Party (a person or organisation with rights).
gmeow:BiologicalSequenceLocation	skos:closeMatch	wd:Q106227	genomic location	semapv:ManualMappingCuration	0.85	
gmeow:CadastralReference	skos:closeMatch	cp:nationalCadastralReference		semapv:ManualMappingCuration	0.85	GMEOW CadastralReference is the reified structured identifier; INSPIRE nationalCadastralReference is the property carrying the identifier. Close structural match.
gmeow:Capacity	skos:closeMatch	brick:Capacity		semapv:ManualMappingCuration	0.8	Brick Capacity is a class for the max number of entities a space can hold; GMEOW Capacity is a reified Measurement with location, scalar result, and provenance.
gmeow:CelestialLocation	skos:closeMatch	ivoa:uat#astronomical-objects	astronomical objects	semapv:ManualMappingCuration	0.8	
gmeow:ContainmentTenure	skos:closeMatch	wdt:P131	located in the administrative territorial entity	semapv:ManualMappingCuration	0.7	Wikidata P131 is the flat administrative-hierarchy property; GMEOW ContainmentTenure reifies it with temporal scope and standpoint indexing.
gmeow:CoordinateMatrix	skos:closeMatch	mls:Feature	Feature	semapv:ManualMappingCuration	0.8	
gmeow:CoordinateObservation	skos:relatedMatch	geo:Feature		semapv:ManualMappingCuration	0.65	GeoSPARQL Feature is a spatial thing with a geometry; GMEOW CoordinateObservation is the act of assigning that geometry. Related match only.
gmeow:Geocode	skos:closeMatch	wd:Q283821	geocode	semapv:ManualMappingCuration	0.8	Wikidata Q283821 is the general concept of a geocode; GMEOW Geocode is the upper-ontology-grounded class with frame-relativity (P11).
gmeow:Geometry	skos:closeMatch	geo:Geometry		semapv:ManualMappingCuration	0.9	
gmeow:Geometry	skos:relatedMatch	cp:CadastralBoundary		semapv:ManualMappingCuration	0.8	GMEOW Geometry is the general geometric construct; INSPIRE CadastralBoundary is a specific geometry type representing a parcel boundary.
gmeow:Geometry	skos:relatedMatch	ladm:LA_BoundaryFace		semapv:ManualMappingCuration	0.8	GMEOW Geometry is the general geometric construct; LADM LA_BoundaryFace is a specific 2D boundary face element.
gmeow:JurisdictionTenure	skos:closeMatch	crm:E4_Period	Period	semapv:ManualMappingCuration	0.75	CIDOC-CRM E4_Period captures the time-spanned governance period; GMEOW JurisdictionTenure adds the place×polity relator structure and standpoint indexing.
gmeow:JurisdictionTenure	skos:closeMatch	wd:Q19517	sovereignty	semapv:ManualMappingCuration	0.75	
gmeow:LandTenure	skos:closeMatch	cp:BasicPropertyUnit		semapv:ManualMappingCuration	0.8	INSPIRE BasicPropertyUnit represents a unit of property with homogeneous rights; GMEOW LandTenure is the time-scoped rights relationship itself. Related but not identical scope.
gmeow:LandTenure	skos:closeMatch	ladm:LA_RRR		semapv:ManualMappingCuration	0.85	GMEOW LandTenure bridges Place × Agent × RightsStatement, while LADM LA_RRR covers rights, restrictions, and responsibilities over a spatial unit. Close semantic match but different structural decomposition.
gmeow:Location	skos:closeMatch	bfo:BFO_0000006	spatial region	semapv:ManualMappingCuration	0.8	
gmeow:Location	skos:closeMatch	bfo:BFO_0000029	site	semapv:ManualMappingCuration	0.8	
gmeow:Location	skos:closeMatch	crm:E53_Place	Place	semapv:ManualMappingCuration	0.85	
gmeow:LocationState	skos:closeMatch	crm:E92_Spacetime_Volume	Spacetime Volume	semapv:ManualMappingCuration	0.75	CIDOC-CRM E92 Spacetime Volume — a 4D point set; GMEOW LocationState is a discrete slice (location + time + pose) of it
gmeow:LocationState	skos:closeMatch	crmgeo:SP1_Spacetime_Volume	Spacetime Volume	semapv:ManualMappingCuration	0.75	CRMgeo SP1 Spacetime Volume — the geospatial extension of CIDOC E92
gmeow:LocationState	skos:closeMatch	mf:TemporalGeometry	temporal geometry	semapv:ManualMappingCuration	0.7	
gmeow:LocationState	skos:closeMatch	sosa:Sample		semapv:ManualMappingCuration	0.75	A LocationState in a stream is a sample of the entity's trajectory.
gmeow:LocationState	skos:closeMatch	sta:HistoricalLocation		semapv:ManualMappingCuration	0.8	HistoricalLocation is time-indexed location of a Thing; LocationState is the state of a moving entity at a time.
gmeow:NetworkAddress	skos:broadMatch	wd:Q11135	IP address	semapv:ManualMappingCuration	0.8	Wikidata Q11135 is the general IP address concept; GMEOW NetworkAddress is the frame-relative coordinate abstraction that covers IPv4, IPv6, MAC, DNS, URL, port, and BGP-AS.
gmeow:Occupancy	skos:closeMatch	brick:Occupancy		semapv:ManualMappingCuration	0.8	Brick Occupancy is a class for the current number of entities in a space; GMEOW Occupancy is a reified Measurement with location, scalar result, and provenance.
