id:ID,:LABEL,eventTime,spdxLicenseId
gmeow:attestationTypeFactCheck,Resource,,
gmeow:bullshit,Resource,,
gmeow:conceivable,Resource,,
gmeow:eventTypeDeception,Resource,,
gmeow:examples/agent-corpus-classifier,Resource,,
gmeow:examples/alice,Resource,,
gmeow:examples/attestation-factcheck-001,Resource,,
gmeow:examples/birth-alice,Resource,1990-05-01T00:00:00Z,
gmeow:examples/claim-hogwarts-exists,Resource,,
gmeow:examples/crimea,Resource,,
gmeow:examples/event-deception-001,Resource,,
gmeow:examples/event-reformation-date,Resource,"[""1582-10-05T00:00:00Z"", ""1582-10-15T00:00:00Z""]",
gmeow:examples/gi-alice,Resource,,
gmeow:examples/lang-toki-pona,Resource,,
gmeow:examples/polity-y,Resource,,
gmeow:examples/referenceFrameRobotEndEffector,Resource,,
gmeow:examples/rights/acme,Resource,,
gmeow:examples/rights/agent-license-scanner,Resource,,
gmeow:examples/rights/cc-by-4,Resource,,
gmeow:examples/rights/contested-trademark,Resource,,
gmeow:examples/rights/jane,Resource,,
gmeow:examples/rights/omega,Resource,,
gmeow:examples/rights/photo,Resource,,
gmeow:examples/rights/photo-copyright,Resource,,
gmeow:examples/rights/repo-license,Resource,,Apache-2.0
gmeow:examples/rights/src-license-deed,Resource,,
gmeow:examples/rights/src-rights-register,Resource,,
gmeow:examples/rights/standpoint-acme,Resource,,
gmeow:examples/rights/standpoint-omega,Resource,,
gmeow:examples/robot-sensor-standpoint,Resource,,
gmeow:examples/russia,Resource,,
gmeow:examples/slam-cell-42,Resource,,
gmeow:examples/src-civil-register,Resource,,
gmeow:examples/src-ru-decree,Resource,,
gmeow:examples/standpoint-2025-historiography,Resource,,
gmeow:examples/standpoint-analyst,Resource,,
gmeow:examples/standpoint-factchecker,Resource,,
gmeow:examples/standpoint-gregorian-historiography,Resource,,
gmeow:examples/standpoint-investigator,Resource,,
gmeow:examples/standpoint-julian-historiography,Resource,,
gmeow:examples/standpoint-publisher,Resource,,
gmeow:examples/standpoint-ru,Resource,,
gmeow:examples/standpoint-un,Resource,,
gmeow:examples/standpointclaim-bullshit-001,Resource,,
gmeow:examples/standpointclaim-held-001,Resource,,
gmeow:examples/standpointclaim-projected-001,Resource,,
gmeow:examples/territory-x,Resource,,
gmeow:examples/ukraine,Resource,,
gmeow:genderWoman,Resource,,
gmeow:referenceFrameRobotBase,Resource,,
gmeow:referenceFrameRobotSLAM,Resource,,
gmeow:veridicalityLicensedFalsehood,Resource,,
