# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/qudt
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "QUDT alignments for measurement reference frames and quantity values. Contextual: gmeow:ReferenceFrame aligns to qudt:Unit only when the frame's realm is gmeow:frameRealmMeasurement. math:Quantity aligns to qudt:QuantityValue as the value+unit bundle. QUDT uses OWL punning (not strict DL); GMEOW keeps the alignment in the mapping layer only, never importing QUDT into the OWL 2 DL core."
# curie_map:
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   math: https://blackcatinformatics.ca/math/
#   qudt: http://qudt.org/schema/qudt/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
subject_id	predicate_id	object_id	object_label	mapping_justification	confidence	comment
gmeow:Axis	skos:closeMatch	qudt:QuantityKind		semapv:ManualMappingCuration	0.75	an axis defines the kind of quantity being measured (length, time, temperature, etc.)
gmeow:ReferenceFrame	skos:closeMatch	qudt:Unit		semapv:ManualMappingCuration	0.85	contextual — holds when the ReferenceFrame's frameRealm is gmeow:frameRealmMeasurement
gmeow:hasReferenceFrame	skos:closeMatch	qudt:unit		semapv:ManualMappingCuration	0.8	contextual — links a quantity value to its unit-of-measure frame
gmeow:quantityUncertainty	skos:closeMatch	qudt:standardUncertainty		semapv:ManualMappingCuration	0.8	QUDT's standard uncertainty is the estimated standard deviation of the mean; GMEOW's quantityUncertainty is the same concept, in the same unit as the quantity value.
math:Dimension	skos:closeMatch	qudt:QuantityKindDimensionVector	qudt:QuantityKindDimensionVector	semapv:ManualMappingCuration	0.85	math:Dimension is an element of the ℚ-vector space over the SI base dimensions; qudt:QuantityKindDimensionVector is QUDT's dimension-vector concept — data, not a reasoned gate (GMEOW's differentiator). closeMatch, full IRI by reference.
math:Quantity	skos:closeMatch	qudt:Quantity	qudt:Quantity	semapv:ManualMappingCuration	0.85	math:Quantity aligns to qudt:Quantity, QUDT's dimensioned quantity. closeMatch (QUDT is a units spine to align to, not to subsume — Principle 17). Full IRI by reference.
math:Quantity	skos:closeMatch	qudt:QuantityValue		semapv:ManualMappingCuration	0.85	QUDT QuantityValue is the close value-and-unit carrier; math:Quantity additionally requires an explicit dimension, while observation provenance, determinacy, and uncertainty remain qualifiers supplied by their owning slices.
math:amountOfSubstanceDimension	skos:closeMatch	http://qudt.org/vocab/quantitykind/AmountOfSubstance	quantitykind:AmountOfSubstance	semapv:ManualMappingCuration	0.85	math:amountOfSubstanceDimension (N) aligns to the QUDT quantity kind AmountOfSubstance. closeMatch. Full IRI by reference.
math:electricCurrentDimension	skos:closeMatch	http://qudt.org/vocab/quantitykind/ElectricCurrent	quantitykind:ElectricCurrent	semapv:ManualMappingCuration	0.85	math:electricCurrentDimension (I) aligns to the QUDT quantity kind ElectricCurrent. closeMatch. Full IRI by reference.
math:lengthDimension	skos:closeMatch	http://qudt.org/vocab/quantitykind/Length	quantitykind:Length	semapv:ManualMappingCuration	0.85	math:lengthDimension (L) aligns to the QUDT quantity kind Length. closeMatch: a base dimension and the base quantity kind are close counterparts. Full IRI by reference.
math:luminousIntensityDimension	skos:closeMatch	http://qudt.org/vocab/quantitykind/LuminousIntensity	quantitykind:LuminousIntensity	semapv:ManualMappingCuration	0.85	math:luminousIntensityDimension (J) aligns to the QUDT quantity kind LuminousIntensity. closeMatch. Full IRI by reference.
math:massDimension	skos:closeMatch	http://qudt.org/vocab/quantitykind/Mass	quantitykind:Mass	semapv:ManualMappingCuration	0.85	math:massDimension (M) aligns to the QUDT quantity kind Mass. closeMatch. Full IRI by reference.
math:quantityValue	skos:closeMatch	qudt:quantityValue		semapv:ManualMappingCuration	0.9	Both properties carry the concrete numeric magnitude of their quantity object; closeMatch remains validation-only because the surrounding GMEOW quantity contract also requires dimension and keeps observation qualifiers in their owning slices.
math:temperatureDimension	skos:closeMatch	http://qudt.org/vocab/quantitykind/ThermodynamicTemperature	quantitykind:ThermodynamicTemperature	semapv:ManualMappingCuration	0.85	math:temperatureDimension (Θ) aligns to the QUDT quantity kind ThermodynamicTemperature. closeMatch. Full IRI by reference.
math:timeDimension	skos:closeMatch	http://qudt.org/vocab/quantitykind/Time	quantitykind:Time	semapv:ManualMappingCuration	0.85	math:timeDimension (T) aligns to the QUDT quantity kind Time. closeMatch. Full IRI by reference.
