# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/quality
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Data-quality layer alignments \u2014 ISO 19157 dimensions + lineage, bridged to W3C DQV and GeoDCAT-AP by reference. FORMAL GROUNDING: gmeow:QualityAssessment is a gufo:SubKind of gmeow:Observation, reusing the universal claim construct. gmeow:QualityDimension is a gufo:AbstractIndividualType / QualityValue \u2014 an open value vocabulary of individuals (never subclasses). There is no 'primary' or 'preferred' dimension (Principle 9). DQV FLATTENING: DQV introduces dqv:Metric between QualityMeasurement and Dimension. GMEOW flattens this (qualityDimension points directly to QualityDimension) because metric-specific metadata (thresholds, algorithms) are solver-layer concerns (Principle 12). The projection layer can expand to the full DQV chain when needed. ISO 19157 STATUS: ISO 19157:2013 defines completeness, logical consistency, positional accuracy, temporal accuracy, and thematic accuracy. No canonical RDF namespace exists for these dimensions; the mapping set documents their correspondence to GMEOW value individuals in the comment below. GeoDCAT-AP (http://data.europa.eu/r5r/) provides dcat:qualityAnnotation as the RDF-aligned pathway to ISO 19115/19157 quality and lineage concepts."
# curie_map:
#   dqv: http://www.w3.org/ns/dqv#
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   oa: http://www.w3.org/ns/oa#
#   prov: http://www.w3.org/ns/prov#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   wd: http://www.wikidata.org/entity/
# # ISO 19157 dimension value correspondences (no canonical RDF IRIs; documented as comments):
# #   gmeow:qualityDimensionPositionalAccuracy     → ISO 19157 positional accuracy
# #   gmeow:qualityDimensionTemporalAccuracy       → ISO 19157 temporal accuracy
# #   gmeow:qualityDimensionThematicAccuracy       → ISO 19157 thematic accuracy
# #   gmeow:qualityDimensionCompleteness           → ISO 19157 completeness
# #   gmeow:qualityDimensionLogicalConsistency     → ISO 19157 logical consistency
# #   gmeow:qualityDimensionTopologicalConsistency → ISO 19157 topological consistency
# #   gmeow:qualityDimensionLineage                → ISO 19115 lineage (LI_Lineage)
# #
# # REFUSED (Principle 5 — no faithful external term): gmeow:assessedEntity has no direct DQV counterpart. DQV's dqv:computedOn expects dcat:Dataset/Distribution; GMEOW's range is gmeow:Entity (universal). The closeMatch to dqv:computedOn is annotated with a scope note.
# # REFUSED (Principle 5): gmeow:qualityDimension has no exact DQV property. dqv:isMeasurementOf points to dqv:Metric, not directly to dqv:Dimension; the closeMatch carries a note about the flattening.
subject_id	predicate_id	object_id	object_label	mapping_justification	confidence	comment
gmeow:QualityAssessment	skos:closeMatch	dqv:QualityMeasurement		semapv:ManualMappingCuration	0.9	Both are reified quality assessments carrying a numeric or categorical result. GMEOW's result is a ScalarQuantity bundle (unit+frame+determinacy+provenance); DQV uses dqv:value with an expectedDataType on the Metric.
gmeow:QualityAssessment	skos:relatedMatch	dqv:QualityAnnotation		semapv:ManualMappingCuration	0.75	DQV QualityAnnotation (a subclass of oa:Annotation) is broader — it covers ratings, certificates, and feedback, not only structured measurements. A GMEOW QualityAssessment MAY be projected to a DQV QualityAnnotation when the result is categorical or subjective.
gmeow:QualityAssessment	skos:relatedMatch	oa:Annotation		semapv:ManualMappingCuration	0.7	GeoDCAT-AP represents quality statements as dcat:qualityAnnotation pointing to oa:Annotation. GMEOW's structured QualityAssessment can be projected to an OA Annotation when targeting GeoDCAT-AP consumers.
gmeow:QualityDimension	skos:closeMatch	dqv:Dimension		semapv:ManualMappingCuration	0.9	Both are quality dimensions — criteria for assessing data quality. GMEOW models dimensions as value individuals (gufo:QualityValue), not as OWL classes.
gmeow:assessedEntity	skos:closeMatch	dqv:computedOn		semapv:ManualMappingCuration	0.85	The entity whose quality is assessed. DQV's dqv:computedOn is generally scoped to dcat:Dataset/Distribution; GMEOW's assessedEntity is universal (any gmeow:Entity).
gmeow:qualityDimension	skos:closeMatch	dqv:isMeasurementOf		semapv:ManualMappingCuration	0.8	GMEOW flattens the DQV chain: qualityDimension points directly to QualityDimension, bypassing the intermediate dqv:Metric node. The metric is solver-computed and lives outside the OWL core (Principle 12).
gmeow:qualityDimensionCompleteness	skos:closeMatch	wd:Q194041	completeness	semapv:ManualMappingCuration	0.85	
gmeow:qualityDimensionLineage	skos:closeMatch	wd:Q13411553	provenance	semapv:ManualMappingCuration	0.8	Wikidata 'provenance' is the closest structured term for lineage; lineage is a quality-lens view of provenance.
gmeow:qualityDimensionLineage	skos:relatedMatch	prov:wasDerivedFrom		semapv:ManualMappingCuration	0.8	Lineage is provenance viewed through a quality lens. GMEOW records structural lineage via wasDerivedFrom / wasGeneratedBy / ImportActivity (provenance module); the qualityDimensionLineage value marks an assessment that evaluates lineage completeness or correctness.
gmeow:qualityDimensionPositionalAccuracy	skos:closeMatch	wd:Q2401740	spatial resolution	semapv:ManualMappingCuration	0.85	Wikidata 'spatial resolution' is the closest structured term for positional accuracy; it is broader (includes granularity) but captures the same spatial-quality axis.
