# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/events
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Universal-event alignments (event/temporal design) \u2014 gmeow:Event + the gmeow:Participation relator + the open gmeow:eventType / gmeow:ParticipantRole / gmeow:TemporalPrecision value vocabularies + the Allen temporal-relation algebra + Duration / RecurrenceRule, supersetting schema.org Event, CIDOC-CRM E5/E7, OWL-Time, the Time Event Ontology (TEO), ISO-TimeML (TLINK/TIMEX3/EVENT), PROV-O, iCalendar, LODE, SEM, BIO / GEDCOM X (the life-event types) and Wikidata BY REFERENCE. VALUE VOCABULARIES: eventType / participationRole individuals are gufo:QualityValue values, aligned to external classes, fact-types and role-properties with skos:closeMatch (a value-to-class/property correspondence), mirroring placeType. An unforeseen type/role is a fresh individual, never a new class or subproperty (Principle 9 \u2014 no overtyping, no role-subproperty proliferation). REIFIED PARTICIPATION: gmeow:Participation is the NameUsage relator idiom; it carries role / period / confidence / provenance / standpoint that schema.org's flat attendee/performer/organizer and OWL-Time's participation-free interval algebra cannot. The flat gmeow:hasParticipant covers the 80% case and projects to the flat targets. TEMPORAL RELATIONS: the 13 Allen interval relations relate gmeow:Event occurrences directly (the ISO-TimeML TLINK / TEO event-event idiom), aligned to OWL-Time interval* (relatedMatch \u2014 OWL-Time relates the intervals) and TEO (closeMatch \u2014 TEO is BFO-grounded like GMEOW). ISO-TimeML is an XML scheme with no canonical RDF namespace, so its TLINK/TIMEX3/EVENT relType/type/tense/aspect STRING enums are documented as value correspondences (see the inline table), not IRI-aligned; its OWL realization IS OWL-Time, aligned here. CONTESTED FACTS: a disputed type, role, date or location is several coexisting gmeow:accordingTo-indexed claims (standpoint module, standpoint facility), never one slot to win; there is no preferredRank / primaryClaim. CANONICAL (no faithful external term): gmeow:temporalPrecision and gmeow:earliestStart / latestEnd fuzzy bounds (related only to CRM E52 P82a/P82b begin/end-of bounds and TEO hasApproximation)."
# curie_map:
#   bio: http://purl.org/vocab/bio/0.1/
#   crm: http://www.cidoc-crm.org/cidoc-crm/
#   crmgeo: http://www.ics.forth.gr/isl/CRMgeo/
#   gedcom: http://www.w3.org/2000/10/swap/pim/gedcom#
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   gx: http://gedcomx.org/
#   ical: http://www.w3.org/2002/12/cal/icaltzd#
#   lode: http://linkedevents.org/ontology/
#   prov: http://www.w3.org/ns/prov#
#   schema: https://schema.org/
#   sem: http://semanticweb.cs.vu.nl/2009/11/sem/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   teo: https://sbmi.uth.edu/bsdi/TEO_1.0.0.owl#
#   time: http://www.w3.org/2006/time#
#   wd: http://www.wikidata.org/entity/
#   wdt: http://www.wikidata.org/prop/direct/
subject_id	predicate_id	object_id	object_label	mapping_justification	confidence	comment
gmeow:Duration	skos:closeMatch	schema:Duration		semapv:ManualMappingCuration	0.85	schema:Duration (Quantity of time)
gmeow:Duration	skos:closeMatch	teo:Duration		semapv:ManualMappingCuration	0.85	Time Event Ontology Duration
gmeow:Duration	skos:closeMatch	time:Duration		semapv:ManualMappingCuration	0.85	OWL-Time Duration (a length of time)
gmeow:Event	skos:closeMatch	crm:E5_Event		semapv:ManualMappingCuration	0.9	CIDOC-CRM E5 Event — the time-span/place/event separation is adopted; the PC property-class verbosity is not
gmeow:Event	skos:closeMatch	lode:Event		semapv:ManualMappingCuration	0.85	LODE (Linking Open Descriptions of Events)
gmeow:Event	skos:closeMatch	schema:Event		semapv:ManualMappingCuration	0.9	schema:Event flattens participation to attendee/performer/organizer; GMEOW reifies it
gmeow:Event	skos:closeMatch	sem:Event		semapv:ManualMappingCuration	0.85	Simple Event Model (SEM)
gmeow:Event	skos:relatedMatch	ical:Vevent		semapv:ManualMappingCuration	0.5	iCalendar VEVENT is projection-grade (single time/place/agent); a lossy FnO target, not a peer model
gmeow:Event	skos:relatedMatch	prov:Activity		semapv:ManualMappingCuration	0.5	prov:Activity is provenance-shaped (used/generated), not a general occurrence; gmeow:Activity (the GMEOW provenance class) is the closeMatch, gmeow:Event the broader generalization
gmeow:Event	skos:relatedMatch	wd:Q1656682		semapv:ManualMappingCuration	0.6	Wikidata event (Q1656682)
gmeow:EventSeries	skos:closeMatch	schema:EventSeries		semapv:ManualMappingCuration	0.85	a recurrence that issues concrete occurrences
gmeow:ObservationalActivity	skos:closeMatch	crm:E13_Attribute_Assignment		semapv:ManualMappingCuration	0.85	CIDOC-CRM E13 is the closest event-centric analogue: an act of assigning an attribute to an item. GMEOW ObservationalActivity generalises this to any structured act of observing or asserting.
gmeow:ObservationalActivity	skos:closeMatch	prov:Activity		semapv:ManualMappingCuration	0.9	An observational activity is a provenance activity that generates observations as outputs.
gmeow:ObservationalActivity	skos:closeMatch	schema:Action		semapv:ManualMappingCuration	0.75	schema:Action is the closest schema.org class; the observation-specific semantics are lost in the flat projection.
gmeow:ParticipantRole	skos:relatedMatch	sem:RoleType		semapv:ManualMappingCuration	0.55	the open role value vocabulary ≈ SEM role-type space
gmeow:Participation	skos:closeMatch	prov:Association		semapv:ManualMappingCuration	0.6	a reified role-in-an-event is a prov:Association (qualifiedAssociation); GMEOW adds period/confidence/standpoint
gmeow:Participation	skos:relatedMatch	sem:Role		semapv:ManualMappingCuration	0.5	SEM reifies a role-binding (sem:Role); GMEOW's Participation is the same idiom with full provenance
gmeow:RecurrenceRule	skos:closeMatch	schema:Schedule		semapv:ManualMappingCuration	0.8	schema:Schedule — a recurrence rule (≈ ISO-TimeML TIMEX3 type=SET, iCalendar RRULE)
gmeow:after	skos:closeMatch	teo:after		semapv:ManualMappingCuration	0.85	Time Event Ontology (TEO) event-event Allen relation
gmeow:after	skos:relatedMatch	time:intervalAfter		semapv:ManualMappingCuration	0.6	OWL-Time interval relation (over the events' temporal extents)
gmeow:before	skos:closeMatch	teo:before		semapv:ManualMappingCuration	0.85	Time Event Ontology (TEO) event-event Allen relation
gmeow:before	skos:relatedMatch	time:intervalBefore		semapv:ManualMappingCuration	0.6	OWL-Time interval relation (over the events' temporal extents)
gmeow:coincidesWith	skos:closeMatch	teo:equal		semapv:ManualMappingCuration	0.85	Time Event Ontology (TEO) event-event Allen relation
gmeow:coincidesWith	skos:relatedMatch	time:intervalEquals		semapv:ManualMappingCuration	0.6	OWL-Time interval relation (over the events' temporal extents)
gmeow:contains	skos:closeMatch	teo:contains		semapv:ManualMappingCuration	0.85	Time Event Ontology (TEO) event-event Allen relation
gmeow:contains	skos:relatedMatch	time:intervalContains		semapv:ManualMappingCuration	0.6	OWL-Time interval relation (over the events' temporal extents)
gmeow:during	skos:closeMatch	teo:during		semapv:ManualMappingCuration	0.85	Time Event Ontology (TEO) event-event Allen relation
gmeow:during	skos:relatedMatch	time:intervalDuring		semapv:ManualMappingCuration	0.6	OWL-Time interval relation (over the events' temporal extents)
gmeow:earliestStart	skos:relatedMatch	crm:P82a_begin_of_the_begin		semapv:ManualMappingCuration	0.6	fuzzy lower bound ≈ CIDOC E52 begin-of-the-begin
gmeow:earliestStart	skos:relatedMatch	ical:dtstart		semapv:ManualMappingCuration	0.5	the fuzzy lower bound becomes the VEVENT DTSTART
gmeow:eventFromLocation	skos:closeMatch	schema:fromLocation		semapv:ManualMappingCuration	0.85	schema scopes fromLocation to MoveAction/TransferAction; gmeow scopes to any movement-shaped Event — closeMatch, with the MoveAction typing handled by the projection cell (MoveAction projection)
gmeow:eventInterval	skos:relatedMatch	crm:P4_has_time-span		semapv:ManualMappingCuration	0.55	the crisp interval of an event ≈ CIDOC P4 has time-span (E52)
gmeow:eventInterval	skos:relatedMatch	ical:dtend		semapv:ManualMappingCuration	0.55	the crisp interval's end becomes the VEVENT DTEND
gmeow:eventInterval	skos:relatedMatch	ical:dtstart		semapv:ManualMappingCuration	0.55	the crisp interval's endpoints become DTSTART/DTEND (a reshape, not a rename)
gmeow:eventInterval	skos:relatedMatch	time:hasTime		semapv:ManualMappingCuration	0.55	OWL-Time hasTime — grounds the interval; GMEOW keeps base datatypes DL-clean (xsd:dateTime)
gmeow:eventLocation	skos:closeMatch	bio:place		semapv:ManualMappingCuration	0.8	BIO life-event place — replaces the former gmeow:eventPlace
gmeow:eventLocation	skos:closeMatch	crm:P7_took_place_at		semapv:ManualMappingCuration	0.85	CIDOC P7 took place at (E53 Place)
gmeow:eventLocation	skos:closeMatch	gedcom:place		semapv:ManualMappingCuration	0.7	legacy W3C gedcom place
gmeow:eventLocation	skos:closeMatch	ical:location		semapv:ManualMappingCuration	0.75	iCalendar LOCATION (GMEOW keeps a first-class place; iCal flattens to a label)
gmeow:eventLocation	skos:closeMatch	lode:atPlace		semapv:ManualMappingCuration	0.85	
