# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/coreference
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow regenerate (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Universal identity/coreference alignments. GMEOW links entities to authority records by reference (authorityLink + SKOS match strength) and avoids owl:sameAs merge semantics for contested or standpoint-indexed claims."
# curie_map:
#   dcterms: http://purl.org/dc/terms/
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   lang: https://blackcatinformatics.ca/lang/
#   mads: http://www.loc.gov/mads/rdf/v1#
#   prov: http://www.w3.org/ns/prov#
#   schema: https://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
subject_id	predicate_id	object_id	object_label	mapping_justification	confidence	comment
gmeow:authorityLink	skos:closeMatch	schema:sameAs		semapv:ManualMappingCuration	0.7	schema:sameAs is a projection target for exact authority links; GMEOW's canonical data keeps authorityLink plus explicit skos:exactMatch/closeMatch strength.
gmeow:authorityLink	skos:exactMatch	mads:hasCloseExternalAuthority		semapv:ManualMappingCuration	0.9	both relate a local description to a close external authority record, by reference (PROV activity alignment phase 2). mads:authoritativeLabel is REFUSED: GMEOW has no authority-control labeling model — skos:prefLabel serves that role.
gmeow:authorityLink	skos:relatedMatch	lang:Denotation	Denotation	semapv:ManualMappingCuration	0.2	RETENTION (negative supersession — NOT a Section-Retraction): gmeow:authorityLink is RETAINED. It is a see-also pointer from a GMEOW entity to an EXTERNAL authority record (Wikidata/VIAF/GeoNames), whose match strength is asserted separately with skos:exactMatch/closeMatch — an entity→record cross-reference, not a form→referent meaning. lang:Denotation resolves a FORM to a referent; it carries no term for pointing an entity at an external catalogue row, so it cannot supersede authorityLink. relatedMatch: both concern reference but on the entity→record vs form→referent axes.
gmeow:corefDenotation	skos:relatedMatch	lang:Denotation	Denotation	semapv:ManualMappingCuration	0.9	GRAFT SEAM (new consumer, not a supersession): gmeow:corefDenotation is the reference-resolution seam grounded in lang: (Principle 19). It relates a gmeow:Entity to a reified lang:Denotation that resolves a form to it as referent (lang:denotationKind lang:denotesEntity, lang:denotationTarget the entity, lang:denotedForm the resolved form). Coreference is DECIDED by two forms whose denotations share a lang:denotationTarget — a structural shared-reference fact, never owl:sameAs and never a same-string guess. relatedMatch: the property points AT a lang:Denotation, it is not equivalent to one.
gmeow:counterpartOf	skos:closeMatch	prov:alternateOf		semapv:ManualMappingCuration	0.8	PROV alternateOf captures alternate entities presenting aspects of the same thing, without owl:sameAs identity collapse.
gmeow:counterpartOf	skos:relatedMatch	lang:Denotation	Denotation	semapv:ManualMappingCuration	0.2	RETENTION (negative supersession — NOT a Section-Retraction): gmeow:counterpartOf is RETAINED. It is a symmetric, deliberately non-transitive entity↔entity link across realms/frames/datasets (a fictional city and its real namesake) that preserves cross-realm linkage without owl:sameAs collapse — an identity-lineage relation between two ENTITIES. lang:Denotation resolves a FORM to a referent and cannot express a cross-realm counterpart pairing, so it does not supersede counterpartOf. Where two forms co-refer, that is the NEW gmeow:corefDenotation shared-target seam, a different axis. relatedMatch: both bear on sameness but on the cross-realm-entity vs form-reference axes.
gmeow:editionOf	skos:closeMatch	dcterms:isVersionOf		semapv:ManualMappingCuration	0.7	An edition is a work-version relation for Dublin Core consumers; GMEOW keeps editionOf distinct from generic versionOf.
gmeow:editionOf	skos:relatedMatch	lang:Denotation	Denotation	semapv:ManualMappingCuration	0.1	RETENTION (negative supersession — NOT a Section-Retraction): gmeow:editionOf is RETAINED. It is a functional edition→stable-work containment link (a 1623 folio to the play) between two first-class creative works — an identity-lineage axis with no reference content. lang:Denotation resolves a form to a referent and has no term for edition containment, so it does not supersede editionOf. relatedMatch: unrelated axes within the identity family.
gmeow:supersedes	skos:closeMatch	dcterms:replaces		semapv:ManualMappingCuration	0.85	
gmeow:supersedes	skos:relatedMatch	lang:Denotation	Denotation	semapv:ManualMappingCuration	0.1	RETENTION (negative supersession — NOT a Section-Retraction): gmeow:supersedes is RETAINED. It is a non-functional successor→predecessor succession link (a revised policy over its draft; a merged record consolidating several) between ENTITIES, where the superseded item stays first-class. lang:Denotation is form→referent meaning and carries no succession semantics, so it does not supersede supersedes. relatedMatch: unrelated axes within the identity family. (Note: the ontology-level ‘supersession’ of the loss ledger is a DIFFERENT sense — the data property gmeow:supersedes is untouched by the graft.)
gmeow:versionOf	skos:closeMatch	dcterms:isVersionOf		semapv:ManualMappingCuration	0.85	
gmeow:versionOf	skos:relatedMatch	lang:Denotation	Denotation	semapv:ManualMappingCuration	0.1	RETENTION (negative supersession — NOT a Section-Retraction): gmeow:versionOf is RETAINED. It is a functional version→stable-lineage containment link (a software release to its project, a data release to its dataset) between two first-class ENTITIES — an identity-lineage axis with no reference content. lang:Denotation is form→referent meaning; it cannot express lineage containment, so it does not supersede versionOf. relatedMatch: unrelated axes, aligned only as neighbours in the identity family.
