# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/ai
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "AI claim-layer alignments. THE CLAIM PATTERN: the generated claim is the EXISTING gmeow:StandpointClaim (unified observation stance, P9) \u2014 its external bridges (schema:Claim, CRMinf I2 Belief, nanopublication assertion) are cellled here because the AI layer is why they matter, with the subject term owned by the standpoint slice. PROV-O: ModelInvocation/RetrievalEvent are prov:Activity by inheritance through gmeow:Activity (already aligned in the provenance set) \u2014 only the AI-specific seams are added here. ML-Schema: mls:Run is the W3C member-submission counterpart of a model invocation; mls:Model the trained-model artifact a ModelCard describes. Web Annotation: a groundedIn evidence span is near-isomorphic to an oa:Annotation (body = claim node, target = chunk with position selector); the generated projection carries it (P4). CiTO: supportPolarity's supports/refutes mirror cito:supports/cito:disputes at the citation-act level \u2014 relatedMatch (different carrier: span-to-claim stance vs work-to-work intent)."
# curie_map:
#   cito: http://purl.org/spar/cito/
#   crminf: http://www.ics.forth.gr/isl/CRMinf/
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   mls: http://www.w3.org/ns/mls#
#   np: http://www.nanopub.org/nschema#
#   oa: http://www.w3.org/ns/oa#
#   prov: http://www.w3.org/ns/prov#
#   schema: https://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   wd: http://www.wikidata.org/entity/
# # REFUSED (Principles 5/9 — verdict semantics): schema:ClaimReview. Its single reviewRating adjudicates a winner; GMEOW contradictions coexist standpoint-indexed, surfaced by gmeow:Contradiction and never resolved by rank.
# # REFUSED (Principle 5 — scope mismatch): C2PA Content Credentials sign MEDIA provenance at the container level, not statement-level claims; the attestation slice owns that seam.
# # REFUSED (Principle 5 — no RDF vocabulary): Model Cards (the Mitchell et al. practice) and FAIR4ML have no stable RDF namespace to cell against; mls:Model is the nearest stable term and is cellled. Revisit when a W3C/community namespace stabilizes.
# # REFUSED (Principle 15 — instance data, not TBox): RAGAS/ARES/AIS/RAGTruth metric vocabularies land as Criterion individuals in the published rubric, not as term alignments.
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:Chunk	skos:relatedMatch	oa:TextPositionSelector	semapv:ManualMappingCuration	0.5	a chunk IS located the way a position selector locates (start/end into a source); the selector is the locator, the chunk the located segment — relatedMatch, not equivalence
gmeow:Contradiction	skos:closeMatch	wd:Q363948	semapv:ManualMappingCuration	0.75	Wikidata 'logical contradiction' — GMEOW's individual is the SURFACED conflict artifact, attributed and kind-classified; curl-validated 2026-06-12
gmeow:ModelCard	skos:closeMatch	mls:Model	semapv:ManualMappingCuration	0.6	mls:Model is the trained artifact itself; the ModelCard is the description OF one — the nearest stable RDF term (Model Cards proper have no RDF namespace; see trailer)
gmeow:ModelInvocation	skos:closeMatch	mls:Run	semapv:ManualMappingCuration	0.75	ML-Schema's Run is the executed model task; GMEOW's invocation adds prompt + sampling provenance
gmeow:Prompt	skos:relatedMatch	prov:Entity	semapv:ManualMappingCuration	0.6	a prompt is a prov:Entity used by the invocation activity; PROV-O has nothing finer
gmeow:Prompt	skos:relatedMatch	wd:Q108941486	semapv:ManualMappingCuration	0.55	Wikidata 'prompt engineering' — the practice around the artifact (no artifact-level QID exists); curl-validated 2026-06-12
gmeow:StandpointClaim	skos:closeMatch	crminf:I2_Belief	semapv:ManualMappingCuration	0.7	CRMinf's belief (a proposition held by an agent) is the heritage-argumentation cousin of the standpoint-indexed claim; CRMinf adds inference-making machinery GMEOW keeps in the solver layer
gmeow:StandpointClaim	skos:closeMatch	schema:Claim	semapv:ManualMappingCuration	0.8	schema:Claim is the fact-check-markup claim; a StandpointClaim carries vantage/modality/confidence the schema.org term lacks — the projection emits text + appearance and NO reviewRating
gmeow:StandpointClaim	skos:closeMatch	wd:Q2684591	semapv:ManualMappingCuration	0.7	Wikidata 'statement' — that which a true-or-false sentence asserts; curl-validated 2026-06-12
gmeow:StandpointClaim	skos:relatedMatch	np:Assertion	semapv:ManualMappingCuration	0.6	a nanopublication's assertion graph plays the claim-content role; nanopubs package assertion+provenance+pubinfo as named graphs where GMEOW uses RDF 1.2 statement annotations
gmeow:groundedIn	skos:relatedMatch	oa:hasTarget	semapv:ManualMappingCuration	0.6	in the Web Annotation projection the claim is the annotation body and the evidence span its target; directions differ, hence relatedMatch
gmeow:groundedIn	skos:relatedMatch	schema:appearance	semapv:ManualMappingCuration	0.5	the schema-org projection composes claim→span→chunk→source into schema:appearance (the claim appears in that work); the term-level relation is loose, the composed path faithful
gmeow:modelVersionTag	skos:closeMatch	schema:softwareVersion	semapv:ManualMappingCuration	0.85	the provider's wire-level version tag, on the described agent in the projection
gmeow:polarityRefutes	skos:relatedMatch	cito:disputes	semapv:ManualMappingCuration	0.6	CiTO's disputes, at the span-to-claim level
gmeow:polaritySupports	skos:relatedMatch	cito:supports	semapv:ManualMappingCuration	0.6	CiTO's supports is a work-to-work citation intent; GMEOW's polarity is a span-to-claim stance — same epistemics, different carrier
gmeow:spanEnd	skos:closeMatch	oa:end	semapv:ManualMappingCuration	0.85	oa:TextPositionSelector's end — same exclusive-end semantics
gmeow:spanStart	skos:closeMatch	oa:start	semapv:ManualMappingCuration	0.85	oa:TextPositionSelector's start — same unicode code-point semantics
