# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/temporal
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Expanded temporal kernel alignments \u2014 TemporalFrame / Instant / NamedPeriod / TemporalMeasurement / interval-level Allen JEPD, supersetting OWL-Time, CIDOC-CRM E52/E16, CRMgeo, EDTF Ontology, PeriodO, ICS Geologic Timescale, QUDT, IVOA, and Wikidata BY REFERENCE. TEMPORAL FRAME: GMEOW's TemporalFrame is the temporal counterpart of the spatial ReferenceFrame (reference-frame profile), decomposed into TimeScale + optional CalendarSystem + optional ReferencePosition. It aligns to OWL-Time TRS, CIDOC-CRM E52 Time-Span, and CRMgeo spatiotemporal reference systems. Also includes contextual alignments from temporal-frame design: ReferenceFrame\u2194time:TRS and hasReferenceFrame\u2194time:hasTRS when frameRealm is temporal. INSTANT / EDTF: crisp instantValue is xsd:dateTime; edtfValue is a plain literal (EDTF parsing is solver-layer, P12). Aligned to OWL-Time time:Instant and EDTF Ontology by reference. NAMED PERIOD: aligned to OWL-Time time:ProperInterval, PeriodO periods, and ICS geologic timescale concepts. Geologic period seeds carry skos:exactMatch to ICS by reference. TEMPORAL MEASUREMENT: aligned to CIDOC-CRM E16 Measurement and CRMgeo; dating methods are a value vocabulary mapped to Wikidata QIDs. ALLEN JEPD: interval-level Allen relations are pairwise disjoint; event-level relations are disjoint from interval-level relations. Exhaustiveness lives in the solver layer (P12). CO-EQUAL CALENDARS: Gregorian is one peer among Julian, Hebrew, Islamic, Chinese, Persian, Ethiopian, Coptic, and ISO week (Principle 9)."
# curie_map:
#   crm: http://www.cidoc-crm.org/cidoc-crm/
#   crmgeo: http://www.ics.forth.gr/isl/CRMgeo/
#   dcterms: http://purl.org/dc/terms/
#   edtf: http://id.loc.gov/datatypes/edtf/
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   gts: http://resource.geosciml.org/ontology/timescale/gts#
#   ivoa: http://www.ivoa.net/rdf/
#   periodo: http://n2t.net/ark:/99152/
#   prov: http://www.w3.org/ns/prov#
#   qudt: http://qudt.org/schema/qudt/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   time: http://www.w3.org/2006/time#
#   wd: http://www.wikidata.org/entity/
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:CalendarSystem	skos:closeMatch	time:CalendarSystem	semapv:ManualMappingCuration	0.9	OWL-Time CalendarSystem
gmeow:DatingMethod	skos:closeMatch	crm:P33_used_specific_technique	semapv:ManualMappingCuration	0.75	CIDOC-CRM technique used — dating method as observation method
gmeow:DatingMethod	skos:closeMatch	dcterms:method	semapv:ManualMappingCuration	0.7	Dublin Core method — dating method as observation method
gmeow:Instant	skos:closeMatch	crm:E61_Time_Primitive	semapv:ManualMappingCuration	0.8	CIDOC time primitive
gmeow:Instant	skos:closeMatch	time:Instant	semapv:ManualMappingCuration	0.95	
gmeow:NamedPeriod	skos:closeMatch	crm:E4_Period	semapv:ManualMappingCuration	0.8	CIDOC E4 Period — culturally-defined temporal extent
gmeow:NamedPeriod	skos:closeMatch	time:ProperInterval	semapv:ManualMappingCuration	0.85	a named period is an interval with extra naming/authority structure
gmeow:NamedPeriod	skos:relatedMatch	periodo:Period	semapv:ManualMappingCuration	0.7	PeriodO period — a gazetteer entry rather than an ontology class
gmeow:ReferenceFrame	skos:closeMatch	time:TRS	semapv:ManualMappingCuration	0.9	contextual — holds when the ReferenceFrame's frameRealm is gmeow:frameRealmTemporal
gmeow:ReferencePosition	skos:relatedMatch	time:TimeZone	semapv:ManualMappingCuration	0.6	timezone is one kind of reference position; observatory/planet are others
gmeow:TemporalFrame	skos:closeMatch	crmgeo:SP13_Temporal_Reference_System	semapv:ManualMappingCuration	0.8	CRMgeo spatiotemporal reference system (temporal aspect)
gmeow:TemporalFrame	skos:closeMatch	time:TemporalReferenceSystem	semapv:ManualMappingCuration	0.85	OWL-Time Temporal Reference System — GMEOW decomposes it into scale+calendar+position
gmeow:TemporalFrame	skos:relatedMatch	crm:E52_Time-Span	semapv:ManualMappingCuration	0.6	CIDOC E52 Time-Span carries the frame implicitly via its time primitives
gmeow:TemporalMeasurement	skos:closeMatch	crm:E16_Measurement	semapv:ManualMappingCuration	0.8	CIDOC measurement event; now a subclass of gmeow:Measurement (and therefore gmeow:Observation) in GMEOW
gmeow:TimeScale	skos:closeMatch	time:TRS	semapv:ManualMappingCuration	0.85	OWL-Time Temporal Reference System when scale-only
gmeow:calendarChinese	skos:exactMatch	wd:Q1851	semapv:ManualMappingCuration	0.95	Chinese calendar (Q1851)
gmeow:calendarGregorian	skos:exactMatch	wd:Q12132	semapv:ManualMappingCuration	0.95	Gregorian calendar (Q12132)
gmeow:calendarHebrew	skos:exactMatch	wd:Q5776	semapv:ManualMappingCuration	0.95	Hebrew calendar (Q5776)
gmeow:calendarIslamic	skos:exactMatch	wd:Q13184	semapv:ManualMappingCuration	0.95	Islamic calendar (Q13184)
gmeow:calendarJulian	skos:exactMatch	wd:Q1986	semapv:ManualMappingCuration	0.95	Julian calendar (Q1986)
gmeow:calendarPersian	skos:exactMatch	wd:Q181229	semapv:ManualMappingCuration	0.95	Persian calendar (Q181229)
gmeow:datingMethodDendrochronology	skos:exactMatch	wd:Q180439	semapv:ManualMappingCuration	0.95	dendrochronology (Q180439)
gmeow:datingMethodPotassiumArgon	skos:exactMatch	wd:Q899981	semapv:ManualMappingCuration	0.95	potassium-argon dating (Q899981)
gmeow:datingMethodRadiocarbon	skos:exactMatch	wd:Q180454	semapv:ManualMappingCuration	0.95	radiocarbon dating (Q180454)
gmeow:datingMethodUraniumLead	skos:exactMatch	wd:Q1930710	semapv:ManualMappingCuration	0.95	uranium-lead dating (Q1930710)
gmeow:edtfValue	skos:relatedMatch	edtf:EDTF	semapv:ManualMappingCuration	0.75	GMEOW stores EDTF as plain literal; the EDTF Ontology treats it as a datatype. Alignment is by reference/convention.
gmeow:endedAtTime	skos:exactMatch	prov:endedAtTime	semapv:ManualMappingCuration	0.85	the end-boundary twin of eqTemporal053 (PROV activity alignment phase 2)
gmeow:hasReferenceFrame	skos:closeMatch	time:hasTRS	semapv:ManualMappingCuration	0.85	links a temporal position to its calendar/timescale frame
gmeow:inTemporalFrame	skos:closeMatch	time:hasTRS	semapv:ManualMappingCuration	0.8	links an instant to its temporal reference system/frame
gmeow:instantValue	skos:closeMatch	time:inXSDDateTimeStamp	semapv:ManualMappingCuration	0.85	crisp instant as xsd:dateTime
gmeow:intervalAfter	skos:closeMatch	time:intervalAfter	semapv:ManualMappingCuration	0.95	
gmeow:intervalBefore	skos:closeMatch	time:intervalBefore	semapv:ManualMappingCuration	0.95	
gmeow:intervalCoincidesWith	skos:closeMatch	time:intervalEquals	semapv:ManualMappingCuration	0.95	
gmeow:intervalContains	skos:closeMatch	time:intervalContains	semapv:ManualMappingCuration	0.95	
gmeow:intervalDuring	skos:closeMatch	time:intervalDuring	semapv:ManualMappingCuration	0.95	
gmeow:intervalFinishedBy	skos:closeMatch	time:intervalFinishedBy	semapv:ManualMappingCuration	0.95	
gmeow:intervalFinishes	skos:closeMatch	time:intervalFinishes	semapv:ManualMappingCuration	0.95	
gmeow:intervalMeets	skos:closeMatch	time:intervalMeets	semapv:ManualMappingCuration	0.95	
gmeow:intervalMetBy	skos:closeMatch	time:intervalMetBy	semapv:ManualMappingCuration	0.95	
gmeow:intervalOverlappedBy	skos:closeMatch	time:intervalOverlappedBy	semapv:ManualMappingCuration	0.95	
gmeow:intervalOverlaps	skos:closeMatch	time:intervalOverlaps	semapv:ManualMappingCuration	0.95	
gmeow:intervalStartedBy	skos:closeMatch	time:intervalStartedBy	semapv:ManualMappingCuration	0.95	
gmeow:intervalStarts	skos:closeMatch	time:intervalStarts	semapv:ManualMappingCuration	0.95	
gmeow:measuredAge	skos:closeMatch	crm:P90_has_value	semapv:ManualMappingCuration	0.7	CIDOC measured value
gmeow:measuredDate	skos:closeMatch	time:hasTime	semapv:ManualMappingCuration	0.75	measuredDate (the absolute-date result of a TemporalMeasurement) aligns to OWL-Time hasTime
gmeow:measuredDate	skos:closeMatch	time:inXSDDateTimeStamp	semapv:ManualMappingCuration	0.7	measuredDate instant carrying an instantValue aligns to OWL-Time inXSDDateTimeStamp
gmeow:measurementUncertainty	skos:relatedMatch	crm:P90i_is_value_of	semapv:ManualMappingCuration	0.5	CIDOC value, used here for uncertainty band
gmeow:periodCenozoic	skos:exactMatch	wd:Q40508	semapv:ManualMappingCuration	0.95	Wikidata Cenozoic (Q40508)
gmeow:periodEnd	skos:closeMatch	time:hasEnd	semapv:ManualMappingCuration	0.85	
gmeow:periodHolocene	skos:exactMatch	wd:Q201698	semapv:ManualMappingCuration	0.95	Wikidata Holocene (Q201698)
gmeow:periodPartOf	skos:closeMatch	gts:rank	semapv:ManualMappingCuration	0.6	ICS rank hierarchy — geologic period mereology
gmeow:periodPhanerozoic	skos:exactMatch	wd:Q101313	semapv:ManualMappingCuration	0.95	Wikidata Phanerozoic (Q101313)
