# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/inference
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Inference / Peirce's tetrad alignments. PROV-O: an occurrent gmeow:InferenceProcess is a prov:Activity; gmeow:inferredFrom realises prov:wasDerivedFrom (the conclusion is derived from its premises); a conclusion gmeow:StandpointClaim is a prov:Entity (aligned in the deception/observations sets). CRMinf: gmeow:InferenceProcess aligns to I5_Inference_Making (the inference-making event); the endurant gmeow:InferenceCommitment aligns to I1_Argumentation (the structured argument); gmeow:StandpointModality reuses I6_Belief_Value (aligned in the deception set). Wikidata: the four gmeow:InferenceMode values map to the reasoning concepts deductive (Q484284) / inductive (Q484511) / abductive (Q308495) reasoning and analogy (Q185816); gmeow:InferenceProcess relates to 'inference' (Q408386); the defeasibility machinery (gmeow:Attack) relates to 'defeasible reasoning' (Q840067). BY PROSE ONLY (no stable resolvable RDF namespace suitable for SSSOM rows): Peirce's original tetrad (CP 2.619ff); Toulmin's warrant/backing/rebuttal model (gmeow:warrant, gmeow:Attack); Gentner's Structure-Mapping Engine / systematicity principle (gmeow:Analogy, gmeow:systematicity); Pollock's rebutting/undercutting defeater distinction, now the three-way typed gmeow:AttackKind (undermine/undercut/rebut); AIF / ASPIC+ / Dung abstract argumentation (gmeow:Argument, gmeow:Attack, gmeow:Support, gmeow:ArgumentEvaluation), referenced for the solver-layer acceptability function but lacking a stable SSSOM-suitable namespace."
# curie_map:
#   crminf: http://www.ics.forth.gr/isl/CRMinf/
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   prov: http://www.w3.org/ns/prov#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   wd: http://www.wikidata.org/entity/
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:Attack	skos:relatedMatch	wd:Q840067	semapv:ManualMappingCuration	0.5	Wikidata 'defeasible reasoning' (Q840067) — reasoning that is rationally compelling but not deductively valid; gmeow:Attack is the typed structural conflict (undermine/undercut/rebut) that makes inductive/abductive/analogical inference defeasible
gmeow:InferenceCommitment	skos:closeMatch	crminf:I1_Argumentation	semapv:ManualMappingCuration	0.6	the endurant gmeow:InferenceCommitment (premises, conclusion, warrant, defeaters) is CRMinf's I1 Argumentation; acceptability is computed externally (Principle 12)
gmeow:InferenceProcess	skos:closeMatch	crminf:I5_Inference_Making	semapv:ManualMappingCuration	0.6	the occurrent gmeow:InferenceProcess is CRMinf's I5 Inference Making — the reasoning event that produces a belief
gmeow:InferenceProcess	skos:relatedMatch	prov:Activity	semapv:ManualMappingCuration	0.5	an occurrent inference episode is a provenance activity; the epistemic/Peircean semantics are GMEOW-specific and not entailed by PROV-O
gmeow:InferenceProcess	skos:relatedMatch	wd:Q408386	semapv:ManualMappingCuration	0.6	Wikidata 'inference' (Q408386) — the act or process of deriving logical conclusions from premises; related to the occurrent gmeow:InferenceProcess that carries it out
gmeow:inferredFrom	skos:closeMatch	prov:wasDerivedFrom	semapv:ManualMappingCuration	0.6	gmeow:inferredFrom (conclusion-claim to premise) is the epistemic face of prov:wasDerivedFrom; GMEOW adds the inference mode and defeasibility PROV-O does not carry
gmeow:modeAbduction	skos:closeMatch	wd:Q308495	semapv:ManualMappingCuration	0.8	Wikidata 'abductive reasoning' (Q308495) — logical inference seeking the best (most likely) explanation for an observation
gmeow:modeAnalogical	skos:closeMatch	wd:Q185816	semapv:ManualMappingCuration	0.7	Wikidata 'analogy' (Q185816) — inference or argument from one particular to another. GMEOW grounds the transfer in Gentner structure-mapping (gmeow:Analogy / gmeow:systematicity), which the bare concept does not entail
gmeow:modeDeduction	skos:closeMatch	wd:Q484284	semapv:ManualMappingCuration	0.8	Wikidata 'deductive reasoning' (Q484284) — reasoning from premises understood to be true to a necessarily-true conclusion
gmeow:modeInduction	skos:closeMatch	wd:Q484511	semapv:ManualMappingCuration	0.8	Wikidata 'inductive reasoning' (Q484511) — reasoning in which a body of observations is synthesised into a general principle
