# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/notes
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Notes & annotation alignments (annotation target span). W3C Web Annotation: GMEOW Annotation is a relator with provenance, confidence, temporal scope and suppression; oa:Annotation is a flatter body/target/motivation construct \u2014 closeMatch, not exactMatch. schema.org: GMEOW Note/Comment are information objects with full provenance; schema:NoteDigitalDocument / schema:Comment are flat document types \u2014 closeMatch. ActivityStreams: as:Note is a flat social-media note; GMEOW Note carries the full provenance stack \u2014 closeMatch. SIOC: sioc:Post / sioc:Reply are community-discussion items; GMEOW Comment is a reply note with threading \u2014 closeMatch. FOAF: foaf:maker is the flat authorship shortcut; GMEOW uses reified Participation / wasAttributedTo \u2014 closeMatch."
# curie_map:
#   as: https://www.w3.org/ns/activitystreams#
#   dcterms: http://purl.org/dc/terms/
#   foaf: http://xmlns.com/foaf/0.1/
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   oa: http://www.w3.org/ns/oa#
#   schema: https://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   sioc: http://rdfs.org/sioc/ns#
#   skos: http://www.w3.org/2004/02/skos/core#
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:Annotation	skos:closeMatch	oa:Annotation	semapv:ManualMappingCuration	0.85	GMEOW Annotation is a relator with provenance/confidence/temporal scope/suppression; oa:Annotation is a flatter body/target/motivation construct
gmeow:Comment	skos:closeMatch	schema:Comment	semapv:ManualMappingCuration	0.85	GMEOW Comment is a threaded reply note; schema:Comment is a flat comment type
gmeow:Comment	skos:closeMatch	sioc:Post	semapv:ManualMappingCuration	0.8	GMEOW Comment is a reply note with threading; sioc:Post is a generic community post
gmeow:Note	skos:closeMatch	as:Note	semapv:ManualMappingCuration	0.8	GMEOW Note carries full provenance; as:Note is a flat social-media note type
gmeow:Note	skos:closeMatch	schema:NoteDigitalDocument	semapv:ManualMappingCuration	0.85	GMEOW Note is an information object with full provenance; schema:NoteDigitalDocument is a flat document type
gmeow:annotationBody	skos:closeMatch	oa:hasBody	semapv:ManualMappingCuration	0.9	The note body of the annotation; oa:hasBody may also be a textual body or SpecificResource
gmeow:annotationMotivation	skos:closeMatch	oa:motivatedBy	semapv:ManualMappingCuration	0.95	
gmeow:annotationTarget	skos:closeMatch	oa:hasTarget	semapv:ManualMappingCuration	0.95	
gmeow:commentParent	skos:closeMatch	schema:parentItem	semapv:ManualMappingCuration	0.8	GMEOW commentParent points to the parent annotation/comment; schema:parentItem is the flat parent item reference
gmeow:commentParent	skos:closeMatch	sioc:reply_of	semapv:ManualMappingCuration	0.85	
gmeow:hasReply	skos:closeMatch	sioc:has_reply	semapv:ManualMappingCuration	0.85	hasReply is transitive; sioc:has_reply is the direct reply link
gmeow:mentions	skos:closeMatch	schema:mentions	semapv:ManualMappingCuration	0.9	
gmeow:noteAuthor	skos:closeMatch	dcterms:creator	semapv:ManualMappingCuration	0.8	Flat authorship shortcut; the heavy case uses reified Participation / wasAttributedTo
gmeow:noteAuthor	skos:closeMatch	foaf:maker	semapv:ManualMappingCuration	0.75	Flat authorship shortcut; the heavy case uses reified Participation / prov:wasAttributedTo
gmeow:noteContent	skos:closeMatch	as:content	semapv:ManualMappingCuration	0.85	GMEOW noteContent is the full note text; as:content is the flat ActivityStreams content property
gmeow:noteContent	skos:closeMatch	schema:text	semapv:ManualMappingCuration	0.85	GMEOW noteContent is the full note text; schema:text is the flat content property
