# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/places
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow compile-mappings
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: Location alignments for comprehensive geo interop — schema.org, GeoSPARQL, GeoNames, Getty (gvp), Wikidata, WGS84, vCard, BOT, ifcOWL. placeType/storageMedium are value individuals aligned (closeMatch) to external classes/feature-codes; address components align to schema.org + vCard for lossless round-trip; containedInPlace aligns to the topological "within"/parent relations of every geo vocab. StorageLocation/Location/storage* and authorityLink are canonical (no faithful external term). Coreference of place INSTANCES to gazetteer records is done in data with skos:exactMatch + gmeow:authorityLink (Wikidata as hub), not here. Added (#96): Stream → sta:Datastream; LocationState → sta:HistoricalLocation + sosa:Sample; Trajectory → sta:Datastream. Added (#83): indoor realm bridging to BOT (Zone/Site/Building/Storey/Space, containsZone, adjacentZone) and ifcOWL (IfcBuilding/IfcBuildingStorey/IfcSpace/IfcSite) by reference.
# curie_map:
#   bfo: http://purl.obolibrary.org/obo/
#   bot: https://w3id.org/bot#
#   brick: https://brickschema.org/schema/Brick#
#   crm: http://www.cidoc-crm.org/cidoc-crm/
#   crmgeo: http://www.ics.forth.gr/isl/CRMgeo/
#   dcterms: http://purl.org/dc/terms/
#   geo: http://www.opengis.net/ont/geosparql#
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   gn: http://www.geonames.org/ontology#
#   gvp: http://vocab.getty.edu/ontology#
#   ifc: http://www.buildingsmart-tech.org/ifcOWL/IFC4#
#   lgdo: http://linkedgeodata.org/ontology/
#   mf: http://www.opengis.net/ont/movingfeatures#
#   owl: http://www.w3.org/2002/07/owl#
#   pleiades: http://pleiades.stoa.org/places/vocab#
#   pos: http://purl.org/ieee1872-owl/pos#
#   schema: https://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   sf: http://www.opengis.net/ont/sf#
#   skos: http://www.w3.org/2004/02/skos/core#
#   sosa: http://www.w3.org/ns/sosa/
#   sta: http://www.opengis.net/def/ont/sensorthings/1.1/
#   time: http://www.w3.org/2006/time#
#   vcard: http://www.w3.org/2006/vcard/ns#
#   wd: http://www.wikidata.org/entity/
#   wdt: http://www.wikidata.org/prop/direct/
#   wgs84: http://www.w3.org/2003/01/geo/wgs84_pos#
#   whg: https://whgazetteer.org/
subject_id	predicate_id	object_id	object_label	mapping_justification	confidence	comment
gmeow:Capacity	skos:closeMatch	brick:Capacity		semapv:ManualMappingCuration	0.8	Brick Capacity is a class for the max number of entities a space can hold; GMEOW Capacity is a reified Measurement with location, scalar result, and provenance.
gmeow:ContainmentTenure	skos:closeMatch	wdt:P131	located in the administrative territorial entity	semapv:ManualMappingCuration	0.7	Wikidata P131 is the flat administrative-hierarchy property; GMEOW ContainmentTenure reifies it with temporal scope and standpoint indexing.
gmeow:Geometry	skos:closeMatch	geo:Geometry		semapv:ManualMappingCuration	0.9	
gmeow:JurisdictionTenure	skos:closeMatch	crm:E4_Period	Period	semapv:ManualMappingCuration	0.75	CIDOC-CRM E4_Period captures the time-spanned governance period; GMEOW JurisdictionTenure adds the place×polity relator structure and standpoint indexing.
gmeow:JurisdictionTenure	skos:closeMatch	wd:Q19517	sovereignty	semapv:ManualMappingCuration	0.75	
gmeow:Location	skos:closeMatch	bfo:BFO_0000006	spatial region	semapv:ManualMappingCuration	0.8	
gmeow:Location	skos:closeMatch	bfo:BFO_0000029	site	semapv:ManualMappingCuration	0.8	
gmeow:Location	skos:closeMatch	crm:E53_Place	Place	semapv:ManualMappingCuration	0.85	
gmeow:LocationState	skos:closeMatch	crm:E92_Spacetime_Volume	Spacetime Volume	semapv:ManualMappingCuration	0.75	CIDOC-CRM E92 Spacetime Volume — a 4D point set; GMEOW LocationState is a discrete slice (location + time + pose) of it
gmeow:LocationState	skos:closeMatch	crmgeo:SP1_Spacetime_Volume	Spacetime Volume	semapv:ManualMappingCuration	0.75	CRMgeo SP1 Spacetime Volume — the geospatial extension of CIDOC E92
gmeow:LocationState	skos:closeMatch	mf:TemporalGeometry	temporal geometry	semapv:ManualMappingCuration	0.7	
gmeow:LocationState	skos:closeMatch	sosa:Sample		semapv:ManualMappingCuration	0.75	A LocationState in a stream is a sample of the entity's trajectory.
gmeow:LocationState	skos:closeMatch	sta:HistoricalLocation		semapv:ManualMappingCuration	0.8	HistoricalLocation is time-indexed location of a Thing; LocationState is the state of a moving entity at a time.
gmeow:Occupancy	skos:closeMatch	brick:Occupancy		semapv:ManualMappingCuration	0.8	Brick Occupancy is a class for the current number of entities in a space; GMEOW Occupancy is a reified Measurement with location, scalar result, and provenance.
gmeow:Orientation	skos:closeMatch	pos:OrientationMeasure	Orientation Measure	semapv:ManualMappingCuration	0.85	
gmeow:Place	skos:closeMatch	bot:Zone		semapv:ManualMappingCuration	0.75	BOT Zone is a 3D spatial extent (physical or virtual); GMEOW Place is broader (includes outdoor, non-building geographic places), so the alignment is closeMatch rather than exact.
gmeow:Place	skos:closeMatch	crmgeo:SP5_Geometric_Place_Expression	Geometric Place Expression	semapv:ManualMappingCuration	0.7	
gmeow:Place	skos:closeMatch	lgdo:Place		semapv:ManualMappingCuration	0.8	
gmeow:Place	skos:closeMatch	pleiades:Place		semapv:ManualMappingCuration	0.85	
gmeow:Place	skos:closeMatch	whg:Place		semapv:ManualMappingCuration	0.8	
gmeow:PlaceNaming	skos:closeMatch	crm:E41_Appellation	Appellation	semapv:ManualMappingCuration	0.8	CIDOC-CRM E41_Appellation is the time-spanned name; GMEOW PlaceNaming is the reified relator (NameUsage) that binds a PlaceName to a Place over an interval.
gmeow:Pose	skos:closeMatch	pos:QuantitativePose	Quantitative Pose	semapv:ManualMappingCuration	0.85	
gmeow:Pose	skos:closeMatch	wd:Q1055020	pose	semapv:ManualMappingCuration	0.8	
gmeow:RegulatoryOverlay	skos:closeMatch	schema:AdministrativeArea		semapv:ManualMappingCuration	0.6	schema.org AdministrativeArea is a flat Place subclass for government-defined areas; GMEOW RegulatoryOverlay is a reified, time-scoped situation that binds a place, an authority, a regulation type, and optional deontic rules. Directional lossy projection.
gmeow:RegulatoryOverlay	skos:closeMatch	wd:Q1055894	administrative territorial entity	semapv:ManualMappingCuration	0.75	Wikidata Q1055894 is the general concept of an administrative territorial entity; GMEOW RegulatoryOverlay adds time-scoping, authority, regulation type, and deontic linkage.
gmeow:Stream	skos:closeMatch	sta:Datastream		semapv:ManualMappingCuration	0.85	SensorThings Datastream groups observations by sensor + observed property.
gmeow:Trajectory	skos:closeMatch	mf:TemporalTrajectory	temporal trajectory	semapv:ManualMappingCuration	0.8	
gmeow:Trajectory	skos:relatedMatch	crm:E92_Spacetime_Volume	Spacetime Volume	semapv:ManualMappingCuration	0.6	a Trajectory is a continuous spacetime volume (relatedMatch, not closeMatch — a trajectory is a path, not any arbitrary volume)
gmeow:Trajectory	skos:relatedMatch	sta:Datastream		semapv:ManualMappingCuration	0.6	Trajectory as the continuous form of a stream; weaker alignment than Stream→Datastream.
gmeow:VirtualLocation	skos:closeMatch	schema:VirtualLocation		semapv:ManualMappingCuration	0.9	
gmeow:addressLocality	owl:equivalentProperty	schema:addressLocality		semapv:ManualMappingCuration	1.0	
gmeow:addressLocality	skos:closeMatch	vcard:locality		semapv:ManualMappingCuration	0.9	
gmeow:addressPlace	skos:closeMatch	schema:address		semapv:ManualMappingCuration	0.7	
gmeow:addressRegion	owl:equivalentProperty	schema:addressRegion		semapv:ManualMappingCuration	1.0	
gmeow:addressRegion	skos:closeMatch	vcard:region		semapv:ManualMappingCuration	0.9	
gmeow:adjacentTo	skos:closeMatch	bot:adjacentZone		semapv:ManualMappingCuration	0.85	
gmeow:asGeoJSON	skos:closeMatch	geo:asGeoJSON		semapv:ManualMappingCuration	0.9	
gmeow:asWKT	skos:closeMatch	geo:asWKT		semapv:ManualMappingCuration	0.9	
gmeow:authorityLink	skos:closeMatch	whg:closeMatch		semapv:ManualMappingCuration	0.7	
gmeow:bearing	skos:closeMatch	wd:Q123429	bearing	semapv:ManualMappingCuration	0.8	
gmeow:containedInPlace	skos:closeMatch	dcterms:isPartOf		semapv:ManualMappingCuration	0.7	
gmeow:containedInPlace	skos:closeMatch	geo:sfWithin		semapv:ManualMappingCuration	0.8	
gmeow:containedInPlace	skos:closeMatch	gn:parentFeature		semapv:ManualMappingCuration	0.8	
gmeow:containedInPlace	skos:closeMatch	lgdo:parentPlace		semapv:ManualMappingCuration	0.7	
gmeow:containedInPlace	skos:closeMatch	wdt:P131		semapv:ManualMappingCuration	0.8	
gmeow:containsPlace	skos:closeMatch	bot:containsZone		semapv:ManualMappingCuration	0.85	Direct alignment: both gmeow:containsPlace and bot:containsZone represent parent→child containment.
gmeow:countryCode	skos:closeMatch	schema:addressCountry		semapv:ManualMappingCuration	0.8	
gmeow:countryCode	skos:closeMatch	vcard:country-name		semapv:ManualMappingCuration	0.7	
gmeow:elevation	skos:closeMatch	schema:elevation		semapv:ManualMappingCuration	0.9	
gmeow:elevation	skos:closeMatch	wgs84:alt		semapv:ManualMappingCuration	0.9	
