# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/privacy
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Privacy / consent / redaction alignments (PRIV-GEN). DPV: the primary external vocabulary for privacy concepts. GMEOW's sensitivity level, data-subject / data-controller roles, privacy notice, and process-personal-data action are aligned to DPV by reference (Principle 5). DPV is a W3C Community Group deliverable, not a W3C Recommendation; alignments use skos:closeMatch rather than owl:equivalentClass. ODRL: consent is modelled as a Permission / Prohibition / Duty over actionProcessPersonalData with purpose/recipient constraints \u2014 the existing deontic trio, not a parallel consent relator. Schema.org: PrivacyNotice projects to schema:PrivacyPolicy; hasPrivacyNotice projects to schema:publishingPrinciples. REDACTION = GENERALISATION: the actual redaction mechanism is the existing coarsenTo / displayable projection-time directive. Sensitivity metadata drives the trigger; the solver evaluates consent + sensitivity at emit time (P12)."
# curie_map:
#   dpv: https://w3id.org/dpv#
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   gufo: http://purl.org/nemo/gufo#
#   odrl: http://www.w3.org/ns/odrl/2/
#   schema: https://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   wd: http://www.wikidata.org/entity/
# # REFUSED (Principle 5 — no faithful external term): gmeow:hasSensitivity has no exact DPV counterpart. DPV's hasSensitivityLevel is scoped to processes/entities within DPV's data-handling model; GMEOW's hasSensitivity is a universal domain-free facet (like hasGranularity, hasDeterminacy). A closeMatch is warranted but not exact.
# # REFUSED (Principle 5): the sensitivity-to-coarsen trigger (a value with hasSensitivity sensitivePersonal SHOULD also carry coarsenTo or displayable false) is a GMEOW-specific projection-layer contract, not an external vocabulary concept.
# # REFUSED (Principle 5): no faithful external term for hasPrivacyNotice as a domain-free property. DPV has hasNotice (on Process), schema.org has publishingPrinciples (on Organization/CreativeWork); neither covers the full domain-free usage.
subject_id	predicate_id	object_id	object_label	mapping_justification	confidence	comment
gmeow:DisclosurePolicy	skos:relatedMatch	dpv:ProcessingContext		semapv:ManualMappingCuration	0.75	DPV ProcessingContext is a broad context class; GMEOW DisclosurePolicy is a claim-scoped classification
gmeow:DisclosurePolicy	skos:relatedMatch	odrl:Policy		semapv:ManualMappingCuration	0.7	ODRL Policy is a full deontic expression; GMEOW DisclosurePolicy is a lighter-weight claim-scoped classification
gmeow:PrivacyNotice	skos:closeMatch	dpv:PrivacyNotice		semapv:ManualMappingCuration	0.85	the privacy-notice concept in both vocabularies
gmeow:PrivacyNotice	skos:closeMatch	schema:PrivacyPolicy		semapv:ManualMappingCuration	0.8	schema.org privacy policy (a CreativeWork)
gmeow:ProjectionContext	skos:relatedMatch	dpv:Recipient		semapv:ManualMappingCuration	0.8	DPV Recipient is the party receiving data; GMEOW ProjectionContext is the consumer/audience of a projection
gmeow:SensitivityLevel	skos:closeMatch	dpv:SensitivityLevel		semapv:ManualMappingCuration	0.85	DPV's SensitivityLevel is scoped to its process/entity model; GMEOW's is a universal QualityValue facet
gmeow:SensitivityLevel	skos:closeMatch	gufo:QualityValue		semapv:ManualMappingCuration	1.0	gmeow:SensitivityLevel is declared rdfs:subClassOf gufo:QualityValue in the ontology
gmeow:actionProcessPersonalData	skos:closeMatch	odrl:use		semapv:ManualMappingCuration	0.8	processing personal data is the privacy-scoped form of odrl:use
gmeow:actionProcessPersonalData	skos:relatedMatch	dpv:Processing		semapv:ManualMappingCuration	0.7	DPV Processing is a class (process/activity), not an action value; relatedMatch is the best fit
gmeow:consumerWikidata	skos:closeMatch	wd:Q2013	Wikidata	semapv:ManualMappingCuration	1.0	
gmeow:consumerWikipedia	skos:closeMatch	wd:Q52	Wikipedia	semapv:ManualMappingCuration	1.0	
gmeow:eligibleForConsumer	skos:relatedMatch	schema:audience		semapv:ManualMappingCuration	0.7	schema.org audience is the intended consumer of a CreativeWork; GMEOW eligibleForConsumer is universal and claim-scoped
gmeow:hasDataController	skos:closeMatch	dpv:hasDataController		semapv:ManualMappingCuration	0.9	the data-controller property in both vocabularies
gmeow:hasDataController	skos:relatedMatch	odrl:assigner		semapv:ManualMappingCuration	0.6	the data controller is the party issuing the privacy policy (ODRL assigner analogue)
gmeow:hasDataSubject	skos:closeMatch	dpv:hasDataSubject		semapv:ManualMappingCuration	0.9	the data-subject property in both vocabularies
gmeow:hasDataSubject	skos:relatedMatch	odrl:assignee		semapv:ManualMappingCuration	0.6	the data subject is the party to whom the privacy policy applies (ODRL assignee analogue)
gmeow:hasDisclosurePolicy	skos:relatedMatch	dpv:hasProcessingContext		semapv:ManualMappingCuration	0.7	DPV hasProcessingContext links a process to its context; GMEOW hasDisclosurePolicy is domain-free
gmeow:hasPrivacyNotice	skos:closeMatch	dpv:hasNotice		semapv:ManualMappingCuration	0.75	DPV hasNotice links a process to its notice; GMEOW hasPrivacyNotice is domain-free
gmeow:hasPrivacyNotice	skos:relatedMatch	schema:publishingPrinciples		semapv:ManualMappingCuration	0.6	schema.org publishing principles (may include privacy policy)
gmeow:hasSensitivity	skos:closeMatch	dpv:hasSensitivityLevel		semapv:ManualMappingCuration	0.8	DPV hasSensitivityLevel is scoped to processes/entities; GMEOW hasSensitivity is universal and domain-free
gmeow:policyPublicOnlyWithIndependentSource	skos:relatedMatch	odrl:purpose		semapv:ManualMappingCuration	0.6	the conditional independent-source requirement is a purpose-like constraint on disclosure
gmeow:sensitivityConfidential	skos:closeMatch	wd:Q188475	confidentiality	semapv:ManualMappingCuration	0.8	
gmeow:sensitivitySensitivePersonal	skos:closeMatch	dpv:SensitivePersonalData		semapv:ManualMappingCuration	0.9	the special-category personal-data tier in both vocabularies
gmeow:sensitivitySensitivePersonal	skos:closeMatch	wd:Q2796	personal data	semapv:ManualMappingCuration	0.85	
