# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/procedures
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Plan \u27c2 execution de-conflation alignments to P-Plan, PROV-O, schema.org HowTo/Recipe, OPMW, OBI, BPMN, RO-Crate, the workflow engines Airflow / CWL / WDL / Temporal / Nextflow, and openEHR Task Planning (PROC). gmeow:Procedure is a logic:Plan; every engine surface is a lossy by-reference lowering of that canonical process model (Principle 5). openEHR Task Planning is the higher-fidelity target \u2014 it carries loops and guarded branching \u2014 and its distinctive DLM constructs are subsumed natively (currency \u2192 logic:FreshnessGuard's logic:freshnessHorizon age axis AND time_window \u2192 its logic:freshnessWindow explicit valid-time-interval axis \u2014 both orthogonal axes of one guard, manual-notification \u2192 logic:NotificationWaitSchema, ISM linkage \u2192 logic:instantiatesPlan)."
# curie_map:
#   bpmn: http://www.omg.org/spec/BPMN/20100524/MODEL#
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   logic: https://blackcatinformatics.ca/logic/
#   obi: http://purl.obolibrary.org/obo/OBI_
#   opmw: https://www.opmw.org/ontology/
#   pplan: http://purl.org/net/p-plan#
#   prov: http://www.w3.org/ns/prov#
#   ro_crate: https://w3id.org/ro/crate/#
#   schema: https://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:ControlFlow	skos:relatedMatch	bpmn:sequenceFlow	semapv:ManualMappingCuration	0.7	BPMN sequenceFlow; GMEOW ControlFlow is a reified relator with optional guard.
gmeow:ControlFlow	skos:relatedMatch	pplan:precededBy	semapv:ManualMappingCuration	0.6	P-Plan precededBy is a direct property between steps; GMEOW ControlFlow is a reified relator.
gmeow:DataFlow	skos:relatedMatch	bpmn:dataAssociation	semapv:ManualMappingCuration	0.6	BPMN dataAssociation; GMEOW DataFlow is a reified relator carrying the flowing entity.
gmeow:Execution	skos:closeMatch	obi:0000011	semapv:ManualMappingCuration	0.8	OBI planned process (OBI:0000011); GMEOW Execution is the event occurrence.
gmeow:Execution	skos:closeMatch	opmw:WorkflowExecution	semapv:ManualMappingCuration	0.8	OPMW WorkflowExecution; GMEOW Execution is the execution side of the de-conflation.
gmeow:Execution	skos:closeMatch	pplan:Activity	semapv:ManualMappingCuration	0.8	P-Plan Activity is the execution of a Step; GMEOW Execution is the event that enacts a Procedure or Step.
gmeow:Execution	skos:closeMatch	prov:Activity	semapv:ManualMappingCuration	0.85	PROV-O Activity; GMEOW Execution is the event occurrence that enacts a plan.
gmeow:Execution	skos:relatedMatch	ro_crate:CreateAction	semapv:ManualMappingCuration	0.7	RO-Crate Workflow-Run CreateAction; GMEOW Execution is the event that enacts a procedure.
gmeow:Procedure	skos:closeMatch	obi:0000272	semapv:ManualMappingCuration	0.85	OBI protocol (OBI:0000272); GMEOW Procedure generalises this to all prescriptive specs.
gmeow:Procedure	skos:closeMatch	opmw:WorkflowTemplate	semapv:ManualMappingCuration	0.8	OPMW WorkflowTemplate; GMEOW Procedure is the plan side of the de-conflation.
