# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/deception
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow compile-mappings
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: Deception / falsehood / misinformation alignments (#213). FORMAL GROUNDING: gmeow:heldStandpoint / gmeow:projectedStandpoint realise the divergence model of deception as standpoint-indexed claims; gmeow:bullshit is the Frankfurt modality integrated into the Standpoint-Logic value space. schema.org: ClaimReview is an attestation act (not a truth verdict); Rating is a lossy projection to VerificationResult. CRMinf: I6_Belief_Value aligns to gmeow:StandpointModality (including the bullshit modality); I1_Argumentation is referenced for the solver-layer argument-acceptability function. PROV-O: deception events are prov:Activity; standpoint claims are prov:Entity. Wikidata: wd:Q170028 (deception) aligns to gmeow:eventTypeDeception. AIF (Argument Interchange Format) is referenced in the solver layer (fnArgumentAcceptability) but not aligned via TermEquivalence because AIF lacks a stable, resolvable RDF namespace suitable for SSSOM rows.
# curie_map:
#   crminf: http://www.ics.forth.gr/isl/CRMinf/
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   prov: http://www.w3.org/ns/prov#
#   schema: https://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   wd: http://www.wikidata.org/entity/
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:Event	skos:relatedMatch	prov:Activity	semapv:ManualMappingCuration	0.4	a deception event is a provenance activity; the specific deception semantics are GMEOW-specific and not entailed by PROV-O
gmeow:StandpointClaim	skos:relatedMatch	prov:Entity	semapv:ManualMappingCuration	0.4	a standpoint claim (held or projected) is a provenance entity attributed to its standpoint agent
gmeow:StandpointModality	skos:closeMatch	crminf:I6_Belief_Value	semapv:ManualMappingCuration	0.6	GMEOW's StandpointModality (unequivocal/probable/conceivable/refuted/bullshit) spans and extends CRMinf's I6 Belief Value
gmeow:deceptiveIntentClaim	skos:relatedMatch	crminf:I1_Argumentation	semapv:ManualMappingCuration	0.4	an attribution of deceptive intent is an argumentation act in the CRMinf sense; acceptability is computed externally (Principle 12)
gmeow:eventTypeBullshit	skos:relatedMatch	wd:Q1760159	semapv:ManualMappingCuration	0.9	Frankfurt's essay 'On Bullshit' (Q1760159) — the philosophical source of the bullshit modality. Related rather than close match because the item is a literary work, not the concept itself.
gmeow:eventTypeBullshit	skos:relatedMatch	wd:Q2063516	semapv:ManualMappingCuration	0.5	Wikidata 'bullshit' (Q2063516) — the general vulgar term, not specifically Frankfurt's philosophical concept. Related rather than close match because the item is the broad term, not the indifference-to-truth modality.
gmeow:eventTypeDeception	skos:closeMatch	wd:Q170028	semapv:ManualMappingCuration	0.7	Wikidata 'deception' (Q170028) — the act of propagating beliefs that are not true
gmeow:eventTypeDistortion	skos:closeMatch	wd:Q12776523	semapv:ManualMappingCuration	0.6	Wikidata 'spin' (Q12776523) — a form of propaganda, achieved through providing an interpretation of an event or campaign to persuade public opinion. GMEOW generalises this to eventTypeDistortion covering all sharpening/re-framing deceptions.
gmeow:eventTypeLie	skos:closeMatch	wd:Q4925193	semapv:ManualMappingCuration	0.7	Wikidata 'lie' (Q4925193) — a false statement made with deliberate intent to deceive. GMEOW models this as eventTypeLie with held standpoint refuted and projected standpoint unequivocal.
gmeow:eventTypeSelfDeception	skos:closeMatch	wd:Q1602343	semapv:ManualMappingCuration	0.7	Wikidata 'self-deception' (Q1602343) — the process of denying or rationalising away the relevance, significance, or importance of opposing evidence and logical argument.
schema:ClaimReview	skos:relatedMatch	gmeow:Attestation	semapv:ManualMappingCuration	0.5	schema:ClaimReview is a fact-checking act; in GMEOW it is an Attestation with attestationTypeFactCheck. The single-verdict model of ClaimReview is a lossy projection — GMEOW keeps every standpoint's assessment as a coexisting claim.
schema:Rating	skos:closeMatch	gmeow:VerificationResult	semapv:ManualMappingCuration	0.6	schema:Rating (the outcome of a ClaimReview) projects to gmeow:VerificationResult — a lossy downcast dropping the standpoint axis and confidence.
