id:ID,:START_ID,:END_ID,:TYPE,accordingTo,assertedAt,confidence,importanceLevel,mappedFrom,selfAsserted,standpointModality,validFrom,validUntil
edge:20c90e4bbd5110a8,gmeow:examples/event-deception-001,gmeow:examples/standpointclaim-projected-001,projectedStandpoint,,2026-01-15T00:00:00+00:00,0.9,,,,,,
edge:4ca6c817ce4b1645,gmeow:examples/event-downstream-reshare-001,gmeow:examples/standpointclaim-downstream-belief-001,projectedStandpoint,,2026-06-11T00:00:00+00:00,0.6,,,,,,
edge:55e361292492268b,gmeow:examples/event-distortion-001,gmeow:examples/standpointclaim-distortion-projected-001,projectedStandpoint,,2026-06-04T00:00:00+00:00,0.85,,,,,,
edge:7b8504ece02dbf7b,gmeow:examples/event-disinformation-001,gmeow:examples/standpointclaim-disinformation-origin-projected-001,projectedStandpoint,,2026-06-11T00:00:00+00:00,0.9,,,,,,
edge:8e813a43fcea2bcd,gmeow:examples/event-paltering-001,gmeow:examples/standpointclaim-paltering-projected-001,projectedStandpoint,,2026-06-02T00:00:00+00:00,0.85,,,,,,
edge:a34025b5310e4859,gmeow:examples/event-impersonation-001,gmeow:examples/standpointclaim-impersonation-projected-001,projectedStandpoint,,2026-06-10T00:00:00+00:00,0.85,,,,,,
edge:b4f72dee072f46e6,gmeow:examples/event-fabrication-001,gmeow:examples/standpointclaim-fabrication-projected-001,projectedStandpoint,,2026-06-08T00:00:00+00:00,0.88,,,,,,
edge:c8e419c78b1bbc6e,gmeow:examples/event-forgery-001,gmeow:examples/standpointclaim-forgery-projected-001,projectedStandpoint,,2026-06-09T00:00:00+00:00,0.9,,,,,,
edge:d37382bffa1f26e5,gmeow:examples/event-dupe-reshare-001,gmeow:examples/standpointclaim-dupe-belief-001,projectedStandpoint,,2026-06-11T00:00:00+00:00,0.7,,,,,,
edge:d6f92c384afc4f56,gmeow:examples/event-lie-001,gmeow:examples/standpointclaim-lie-projected-001,projectedStandpoint,,2026-06-01T00:00:00+00:00,0.9,,,,,,
edge:ec33d820e53ff544,gmeow:examples/event-bullshit-001,gmeow:examples/standpointclaim-bullshit-projected-001,projectedStandpoint,,2026-06-05T00:00:00+00:00,0.8,,,,,,
edge:f43994bce335c080,gmeow:examples/event-self-deception-001,gmeow:examples/standpointclaim-self-deception-projected-001,projectedStandpoint,,2026-06-06T00:00:00+00:00,0.75,,,,,,
