# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/software
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow compile-mappings
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: Five-facet software de-conflation alignments to DOAP, schema.org, SPDX, CodeMeta, and ForgeFed. GMEOW rebuilds the distinction natively and bridges by reference (Principle 5).
# curie_map:
#   codemeta: https://codemeta.github.io/terms/#
#   doap: http://usefulinc.com/ns/doap#
#   forgefed: https://forgefed.org/ns#
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   schema: https://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   spdx: http://spdx.org/rdf/terms#
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:Commit	skos:closeMatch	forgefed:Commit	semapv:ManualMappingCuration	0.85	ForgeFed Commit is the federated representation of a VCS commit.
gmeow:Issue	skos:closeMatch	forgefed:Ticket	semapv:ManualMappingCuration	0.8	ForgeFed Ticket ≈ GMEOW Issue (both are tracked work items).
gmeow:Package	skos:closeMatch	spdx:Package	semapv:ManualMappingCuration	0.85	SPDX Package is the SBOM-level descriptor; GMEOW Package is the distributable unit.
gmeow:Release	skos:closeMatch	doap:Version	semapv:ManualMappingCuration	0.8	DOAP Version conflates release event and version string; GMEOW Release is the event facet.
gmeow:Repository	skos:closeMatch	doap:Repository	semapv:ManualMappingCuration	0.85	DOAP Repository ≈ GMEOW Repository (location facet).
gmeow:Repository	skos:closeMatch	forgefed:Repository	semapv:ManualMappingCuration	0.85	ForgeFed Repository is the ActivityPub representation of a code repository.
gmeow:Repository	skos:closeMatch	schema:codeRepository	semapv:ManualMappingCuration	0.85	schema.org codeRepository is a URL literal; GMEOW Repository is a first-class entity.
gmeow:SoftwareProduct	skos:closeMatch	codemeta:SoftwareSourceCode	semapv:ManualMappingCuration	0.8	CodeMeta SoftwareSourceCode ≈ schema.org SoftwareSourceCode; GMEOW SoftwareProduct is the abstract creative work.
gmeow:SoftwareProduct	skos:closeMatch	schema:SoftwareApplication	semapv:ManualMappingCuration	0.8	schema.org SoftwareApplication is the deployed/runtime view; GMEOW SoftwareProduct is the abstract creative work.
gmeow:SoftwareProduct	skos:closeMatch	schema:SoftwareSourceCode	semapv:ManualMappingCuration	0.8	schema.org conflates source code and application; GMEOW SoftwareProduct is the creative-work facet.
gmeow:SoftwareProject	skos:closeMatch	doap:Project	semapv:ManualMappingCuration	0.75	DOAP conflates endeavour, product, repo and history; GMEOW SoftwareProject is the endeavour facet only.
gmeow:SourceFile	skos:closeMatch	spdx:File	semapv:ManualMappingCuration	0.9	Direct correspondence: both are content-addressed files in a package.
