# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/logic-shacl
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Logic validation and rule constructs projected onto SHACL Core and SHACL-AF. The target validates but does not entail, so every row is explicitly ValidationOnly."
# curie_map:
#   logic: https://blackcatinformatics.ca/logic/
#   semapv: https://w3id.org/semapv/vocab/
#   sh: http://www.w3.org/ns/shacl#
#   skos: http://www.w3.org/2004/02/skos/core#
# # SHACL and SHACL-AF are generated validation dialects of logic:, never canonical rule or constraint sources.
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
logic:Constraint	skos:closeMatch	sh:SPARQLConstraint	semapv:ManualMappingCuration	0.9	
logic:PathShape	skos:closeMatch	sh:PropertyShape	semapv:ManualMappingCuration	0.95	
logic:Rule	skos:closeMatch	sh:SPARQLRule	semapv:ManualMappingCuration	0.9	
logic:ValidationShape	skos:closeMatch	sh:NodeShape	semapv:ManualMappingCuration	0.95	
logic:directType	skos:relatedMatch	sh:SPARQLTarget	semapv:ManualMappingCuration	0.85	A direct-type guard is realized by a subclass-excluding sh:SPARQLTarget SELECT.
logic:integrity	skos:closeMatch	sh:sparql	semapv:ManualMappingCuration	0.9	
logic:message	skos:closeMatch	sh:message	semapv:ManualMappingCuration	0.95	
logic:not	skos:closeMatch	sh:not	semapv:ManualMappingCuration	0.85	logic:not is strong formula negation; sh:not is its closed-world shape projection.
logic:onClass	skos:closeMatch	sh:targetClass	semapv:ManualMappingCuration	0.9	This is the constraint-target use of logic:onClass; the qualified-restriction use lowers to owl:onClass.
logic:or	skos:closeMatch	sh:or	semapv:ManualMappingCuration	0.85	
logic:severity	skos:closeMatch	sh:severity	semapv:ManualMappingCuration	0.95	
logic:sparqlTarget	skos:closeMatch	sh:SPARQLTarget	semapv:ManualMappingCuration	0.95	
logic:termIn	skos:closeMatch	sh:in	semapv:ManualMappingCuration	0.95	
logic:termRegex	skos:closeMatch	sh:pattern	semapv:ManualMappingCuration	0.85	The regex dialect difference remains explicit residue; this is never an exact correspondence.
logic:valueClass	skos:closeMatch	sh:class	semapv:ManualMappingCuration	0.95	
