# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/standpoint
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Standpoint / contested-claims alignments (standpoint facility). FORMAL GROUNDING: gmeow:accordingTo is the axiom-level standpoint label of Standpoint Logic (G\u00f3mez \u00c1lvarez & Rudolph \u2014 Standpoint EL, IJCAI 2023; Standpoint-OWL 2, arXiv:2305.00559; Monodic-S5 over OWL 2 DL, KR 2025); gmeow:standpointModality unequivocal/conceivable are the box/diamond operators; gmeow:sharpens is the standpoint subset/precisification relation; gmeow:universalStandpoint is the universal standpoint *. The Standpoint-OWL 2 standpointLabel encoding is GENERATED as a lossless projection (queries/projections/standpoint-owl2.rq) \u2014 Box=\u25a1 unequivocal, Diamond=\u25ca conceivable, name=* universal \u2014 so an off-the-shelf standpoint reasoner (cl-tud/standpoint-owl2 \u2192 an off-the-shelf OWL 2 DL reasoner) can run per-/cross-standpoint consistency over GMEOW's full multi-perspective graph. ORTHOGONALITY: gmeow:accordingTo (whose frame) is distinct from prov:wasAttributedTo (which source recorded it \u2014 relatedMatch only, never closeMatch) and gmeow:confidence (how sure we are). NANOPUBLICATIONS: gmeow:StatementMetadata reuses the nanopublication assertion/provenance split and adds the temporal standpoint axis. TRANSCENDENCE: GMEOW supersets the event-centric Attributions model (arXiv:2503.03563) \u2014 its stated limitations of static viewpoints (no time) and neutral-stance ambiguity are met by gmeow:StandpointTenure (standpoint-time) and the three orthogonal axes; GMEOW is View-Preserving (no forced propagation), so the aggregate/constituent representation paradox cannot arise. CRMinf PARITY: GMEOW is at least as expressive as the CIDOC-CRM Argumentation model \u2014 the reified statement is an I4 Proposition Set, a StandpointTenure is a (temporal) I2 Belief, the standpoint is the actor of an I1 Argumentation, and gmeow:standpointModality spans the J5-holds-to-be belief value (true/probable/possible/false), so a denial is first-class, not just an absence. It is GENERATED as a lossless projection (queries/projections/standpoint-crminf.rq). FACTORED MODALITY: claim modality is now the six orthogonal axes (gmeow:Polarity / ModalForce / CredenceLevel / AssertoricForce / TruthDirectedness / SupportStatus), of which the legacy five-value gmeow:standpointModality is the lossless projection \u2014 so GMEOW remains at least as expressive as CRMinf (the belief value rides gmeow:Polarity + gmeow:ModalForce + gmeow:CredenceLevel) while ALSO subsuming the Belnap four-valued support status (gmeow:SupportStatus, aligned by prose to logic:InformationState) and the Frankfurt bullshit stance (gmeow:TruthDirectedness indifferent) that CRMinf's belief value cannot express. A standpoint-indexed claim is also a PROV-O entity attributed to its standpoint agent, a W3C Web Annotation (body/target/creator), and a DOLCE+DnS Situation read from the standpoint's Description \u2014 projected, respectively, by standpoint-prov.rq and standpoint-oa.rq. It relates conceptually (no clean GMEOW-term row, or no stable RDF namespace, to align) to: CKR contexts (GMEOW factors time/place into its own modules, keeping only the perspective axis here); MVP-OWL multi-viewpoint classes; ClaiMaker source-anchored claims; the NdFluents/4dFluents family of contextualization mechanisms (GMEOW's RDF-1.2 reification is the benchmarked-best such mechanism); the Argument Interchange Format (AIF: I-nodes for the claims, CA-nodes for the conflicts between coexisting standpoints); and SPAR CiTO citation functions (cito:disputes/supports/refutes) \u2014 which GMEOW realises structurally as coexisting, modality-valued claims rather than as inter-entity edges."
# curie_map:
#   bbc: http://www.bbc.co.uk/ontologies/news/
#   crminf: http://www.ics.forth.gr/isl/CRMinf/
#   dul: http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   iao: http://purl.obolibrary.org/obo/IAO_
#   iptc: http://iptc.org/std/NewsML-G2/
#   np: http://www.nanopub.org/nschema#
#   oa: http://www.w3.org/ns/oa#
#   prov: http://www.w3.org/ns/prov#
#   schema: https://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   wd: http://www.wikidata.org/entity/
#   wikibase: http://wikiba.se/ontology#
# # REFUSED (Principle 9 — no single slot to win): standpoint-indexed claims are co-equal; GMEOW has no preferred/primary claim.
# # gmeow:accordingTo  ✗ REFUSED  wikibase:rank / wikibase:PreferredRank — a preferred rank re-creates the single winner that IS the object of the edit war. GMEOW keeps Wikidata references/qualifiers as relatedMatch targets but never adopts rank.
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:Event	skos:relatedMatch	bbc:NewsEvent	semapv:ManualMappingCuration	0.45	a standpoint-claim about an event projects to a BBC NewsEvent; the projection is conditional on the observedFeature being an Event
gmeow:Standpoint	skos:relatedMatch	dul:Description	semapv:ManualMappingCuration	0.4	a standpoint is a DnS Description — a conceptualization/perspective from which states of affairs are read
gmeow:Standpoint	skos:relatedMatch	iptc:Assertor	semapv:ManualMappingCuration	0.5	when the vantage is a news organization, it acts as an IPTC Assertor
gmeow:Standpoint	skos:relatedMatch	prov:Agent	semapv:ManualMappingCuration	0.4	a standpoint is often (not always) a prov:Agent — the bearer of an attribution; relatedMatch because a frame need not be an actor
gmeow:StandpointClaim	skos:closeMatch	crminf:I5_Inference_Making	semapv:ManualMappingCuration	0.6	a standpoint claim is an inference-making act concluding a belief (CRMinf I5)
gmeow:StandpointClaim	skos:closeMatch	iao:assertion	semapv:ManualMappingCuration	0.6	a standpoint claim is an assertion in the IAO sense — an information content entity that bears a proposition
gmeow:StandpointClaim	skos:relatedMatch	oa:Annotation	semapv:ManualMappingCuration	0.55	a StandpointClaim projects to an OA Annotation via a directional lowering (body is the claim, target is the observedFeature); not interchangeable, so relatedMatch
gmeow:StandpointTenure	skos:relatedMatch	crminf:I2_Belief	semapv:ManualMappingCuration	0.6	a standpoint holding a position over an interval is a temporal belief (CRMinf I2 Belief is a subclass of E2 Temporal Entity — the same standpoint-time)
gmeow:StatementMetadata	skos:relatedMatch	crminf:I4_Proposition_Set	semapv:ManualMappingCuration	0.5	the reified base triple is the proposition set a belief is about (CRMinf J4 that)
gmeow:StatementMetadata	skos:relatedMatch	dul:Situation	semapv:ManualMappingCuration	0.35	the standpoint-indexed claim is the DnS Situation that satisfies the standpoint's Description
gmeow:StatementMetadata	skos:relatedMatch	np:Nanopublication	semapv:ManualMappingCuration	0.5	a reified statement-with-provenance is a nanopublication minus the persistent identifier; GMEOW adds the standpoint axis and the four clocks
gmeow:StatementMetadata	skos:relatedMatch	oa:Annotation	semapv:ManualMappingCuration	0.4	a standpoint-indexed claim corresponds to an oa:Annotation (body = the quoted triple, target = its subject, creator = the standpoint)
gmeow:StatementMetadata	skos:relatedMatch	prov:Entity	semapv:ManualMappingCuration	0.4	a reified claim is a prov:Entity attributed (prov:qualifiedAttribution) to its standpoint agent
gmeow:StatementMetadata	skos:relatedMatch	schema:Claim	semapv:ManualMappingCuration	0.4	a reified, standpoint-indexed claim corresponds to schema:Claim; GMEOW refuses the single-verdict false-credibility of ClaimReview
gmeow:StatementMetadata	skos:relatedMatch	wikibase:Statement	semapv:ManualMappingCuration	0.55	GMEOW's reifier is Wikidata's statement node — but with no rank (Principle 9)
gmeow:accordingTo	skos:relatedMatch	prov:wasAttributedTo	semapv:ManualMappingCuration	0.4	standpoint (whose frame the claim holds in) is distinct from source attribution (which agent recorded it); only a loose relatedMatch
gmeow:accordingTo	skos:relatedMatch	wd:P3680	semapv:ManualMappingCuration	0.55	Wikidata 'statement supported by' (P3680) names who backs a statement — GMEOW's standpoint frame; its inverse 'statement disputed by' (P1310) is, in GMEOW, simply another coexisting standpoint-indexed claim
gmeow:bullshit	skos:relatedMatch	crminf:I6_Belief_Value	semapv:ManualMappingCuration	0.5	the bullshit modality (indifference to truth) extends CRMinf's belief value space — it is neither true nor false, but a distinct stance toward correspondence
gmeow:claimModality	skos:closeMatch	crminf:J5_holds_to_be	semapv:ManualMappingCuration	0.6	the observationResult of a StandpointClaim is the belief value (CRMinf J5)
gmeow:observedFeature	skos:relatedMatch	iao:information_content_entity	semapv:ManualMappingCuration	0.5	the proposition/fact being claimed (the observedFeature of a StandpointClaim) is the information content entity the assertion is about
gmeow:observedFeature	skos:relatedMatch	oa:hasTarget	semapv:ManualMappingCuration	0.55	the observedFeature of a StandpointClaim is the target of the OA Annotation
gmeow:standpointModalForce	skos:relatedMatch	crminf:I6_Belief_Value	semapv:ManualMappingCuration	0.5	the alethic modal-force axis (Standpoint-Logic box/diamond — necessary/actual/possible/counterfactual) refines the CRMinf belief-value space, carrying the true/possible distinction CRMinf's J5 collapses
gmeow:standpointModality	skos:relatedMatch	crminf:J5_holds_to_be	semapv:ManualMappingCuration	0.6	the standpoint's belief value over the proposition — GMEOW's modality (unequivocal/probable/conceivable/refuted) spans CRMinf's true/probable/possible/false
