# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/email
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Email alignments. EmailMessage is equivalent to schema:EmailMessage; the rest use skos:closeMatch (cross-type/loose) to schema.org, the Nepomuk Message Ontology (NMO), and SIOC. The reified MessageParticipant relator is canonical; flat from/to/cc/bcc and their schema.org/NMO counterparts are lossy projection shortcuts. Trust terms (RelayHop/AuthenticationResult/signatures) are canonical \u2014 no maintained external RDF vocabulary exists for them. MessageParticipantRole envelope/resent roles are also canonical \u2014 no external vocabulary covers them. threadSubject and subjectPrefix are canonical \u2014 no maintained external vocabulary exposes thread-level normalized subject or per-message prefix stripping. MessageKind and its individuals are canonical \u2014 no maintained external vocabulary covers DSN/ARF/MDN/auto-generated report kinds. priority, importance, precedence, autoSubmitted, readReceiptRequested, and dispositionNotificationTo are canonical \u2014 no maintained external vocabulary covers these behavioral header facets. MIME body-part metadata terms (MultipartBodyPart, InlinePart, MultipartType, ContentDisposition, ContentTransferEncoding, hasMultipartType, hasInlinePart, hasContentDisposition, hasContentTransferEncoding, partId, contentId, charset; the design) are canonical \u2014 no maintained external RDF vocabulary covers granular MIME structure, Content-ID, transfer encoding, or disposition values. Mailbox hierarchy terms (parentMailbox, childMailbox, mailboxSortOrder, mailboxPath, mailboxTotalMessages, mailboxUnreadMessages; the design) are canonical \u2014 JMAP (RFC 8621) has no maintained RDF vocabulary. parentMailbox/childMailbox specialize the universal partOf/hasPart spine; path and counts are derived projection state (Principle 12). Calendar invitation bridge terms (describesEvent, calendarAttachment, calendarUid, CalendarMethod, hasCalendarMethod, messageKindCalendarInvitation; mail-corpus invitation consumer) are canonical \u2014 no maintained external RDF vocabulary covers the email\u2192event bridge. iCalendar METHOD/UID alignments are by reference to icaltzd. Email versioning terms (EmailPatchDiff, hasPatchDiff, messageIdGenerated, messageIdCollision, canonicalFingerprint, bodyLineFingerprint, analysisScope, analysisInputBodyLine; the design) are canonical \u2014 no maintained external vocabulary covers Message-ID collision tracking, body-line fingerprinting, or email patch-diff artifacts. Canonical/variant status is represented via the cross-cutting VersionMembership relator from versions.ttl, not as email-specific subclasses. JMAP structural identifier terms (blobId, bodyStructure, BodyValue; the design) are canonical \u2014 JMAP (RFC 8620/8621) defines blobId, partId, and BodyStructure at the protocol level, but has no maintained RDF vocabulary. bodyStructure is a serialized projection; the canonical MIME tree is the existing hasBodyPart/hasPart spine (Principle 4)."
# curie_map:
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   ical: http://www.w3.org/2002/12/cal/icaltzd#
#   nmo: http://www.semanticdesktop.org/ontologies/2007/03/22/nmo#
#   owl: http://www.w3.org/2002/07/owl#
#   schema: https://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   sioc: http://rdfs.org/sioc/ns#
#   skos: http://www.w3.org/2004/02/skos/core#
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:CalendarMethod	skos:relatedMatch	ical:method	semapv:ManualMappingCuration	0.85	iCalendar METHOD property — the value vocabulary corresponds to the property's value space, not a class equivalence
gmeow:EmailMessage	owl:equivalentClass	schema:EmailMessage	semapv:ManualMappingCuration	1.0	
gmeow:EmailMessage	skos:closeMatch	nmo:Email	semapv:ManualMappingCuration	0.95	
gmeow:EmailMessage	skos:closeMatch	sioc:Post	semapv:ManualMappingCuration	0.7	
gmeow:Mailbox	skos:closeMatch	nmo:Mailbox	semapv:ManualMappingCuration	0.85	
gmeow:Message	skos:closeMatch	nmo:Message	semapv:ManualMappingCuration	0.9	
gmeow:Message	skos:closeMatch	schema:Message	semapv:ManualMappingCuration	0.9	
gmeow:Thread	skos:closeMatch	sioc:Container	semapv:ManualMappingCuration	0.8	a thread is a SIOC container of its posts; closeMatch because Container is the broader contents-holder notion (PROV activity alignment phase 3 — declares the sioc projection's Container typing row)
gmeow:Thread	skos:closeMatch	sioc:Thread	semapv:ManualMappingCuration	0.8	
gmeow:bcc	skos:closeMatch	nmo:bcc	semapv:ManualMappingCuration	0.95	
gmeow:bcc	skos:closeMatch	schema:bccRecipient	semapv:ManualMappingCuration	0.95	
gmeow:calendarUid	skos:closeMatch	ical:uid	semapv:ManualMappingCuration	0.9	iCalendar UID — the persistent identifier of a calendar component
gmeow:cc	skos:closeMatch	nmo:cc	semapv:ManualMappingCuration	0.95	
gmeow:cc	skos:closeMatch	schema:ccRecipient	semapv:ManualMappingCuration	0.95	
gmeow:describesEvent	skos:relatedMatch	schema:about	semapv:ManualMappingCuration	0.6	schema:about is extremely broad; describesEvent is scoped to Event-bearing emails
gmeow:displayName	skos:closeMatch	schema:name	semapv:ManualMappingCuration	0.85	GMEOW scopes displayName to the MessageParticipant occurrence; schema:name is broader (Thing/ContactPoint/Person)
gmeow:from	skos:closeMatch	nmo:from	semapv:ManualMappingCuration	0.9	
gmeow:from	skos:closeMatch	schema:sender	semapv:ManualMappingCuration	0.9	
gmeow:hasAttachment	skos:closeMatch	nmo:hasAttachment	semapv:ManualMappingCuration	0.9	
gmeow:hasAttachment	skos:closeMatch	schema:messageAttachment	semapv:ManualMappingCuration	0.9	
gmeow:hasCalendarMethod	skos:closeMatch	ical:method	semapv:ManualMappingCuration	0.85	iCalendar METHOD property on the calendar component
gmeow:inReplyTo	skos:closeMatch	nmo:inReplyTo	semapv:ManualMappingCuration	0.95	
gmeow:messageKindCalendarInvitation	skos:relatedMatch	ical:Vevent	semapv:ManualMappingCuration	0.5	the message carries an iCalendar VEVENT component
gmeow:receivedAt	skos:closeMatch	nmo:receivedDate	semapv:ManualMappingCuration	0.95	
gmeow:receivedAt	skos:closeMatch	schema:dateReceived	semapv:ManualMappingCuration	0.95	
gmeow:references	skos:closeMatch	nmo:references	semapv:ManualMappingCuration	0.95	
gmeow:replyTo	skos:closeMatch	nmo:replyTo	semapv:ManualMappingCuration	0.9	
gmeow:rfcMessageId	skos:closeMatch	nmo:messageId	semapv:ManualMappingCuration	0.95	
gmeow:sentAt	skos:closeMatch	nmo:sentDate	semapv:ManualMappingCuration	0.95	
gmeow:sentAt	skos:closeMatch	schema:dateSent	semapv:ManualMappingCuration	0.95	
gmeow:sentBySoftware	skos:closeMatch	schema:agent	semapv:ManualMappingCuration	0.7	
gmeow:subject	skos:closeMatch	nmo:messageSubject	semapv:ManualMappingCuration	0.95	
gmeow:to	skos:closeMatch	nmo:to	semapv:ManualMappingCuration	0.95	
gmeow:to	skos:closeMatch	schema:toRecipient	semapv:ManualMappingCuration	0.95	
