# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/narrative
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Narrative reference frame and creative-work alignments to schema.org and Wikidata. OntoMedia/GOLEM/TEI/LTO projections deferred to follow-up issues."
# curie_map:
#   bibo: http://purl.org/ontology/bibo/
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   schema: https://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   wd: http://www.wikidata.org/entity/
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:ContentSegment	skos:narrowMatch	schema:Chapter	semapv:ManualMappingCuration	0.7	Lossy: schema:Chapter is WebPageElement-scoped and narrower than gmeow:ContentSegment.
gmeow:Contribution	skos:closeMatch	schema:Role	semapv:ManualMappingCuration	0.7	Lossy: schema:Role is a class, not a relator; GMEOW Contribution is a reified node.
gmeow:LiteraryWork	skos:closeMatch	bibo:Book	semapv:ManualMappingCuration	0.8	bibo:Book is scholarly-publication-scoped; gmeow:LiteraryWork is universal.
gmeow:LiteraryWork	skos:closeMatch	schema:Book	semapv:ManualMappingCuration	0.75	Lossy: schema.org collapses WEMI; schema:Book may denote abstract work or concrete edition.
gmeow:Myth	skos:closeMatch	wd:Q12827256	semapv:ManualMappingCuration	0.85	Wikidata 'myth' (type of traditional narrative) — close match to gmeow:Myth.
gmeow:Myth	skos:closeMatch	wd:Q159535	semapv:ManualMappingCuration	0.75	Wikidata 'conspiracy theory' — close match to gmeow:Myth as a socially-sustained narrative whose currency is independent of truth-value.
gmeow:Myth	skos:closeMatch	wd:Q189349	semapv:ManualMappingCuration	0.8	Wikidata 'urban legend' (form of modern folklore) — close match to gmeow:Myth.
gmeow:SerialInstallment	skos:closeMatch	schema:Chapter	semapv:ManualMappingCuration	0.75	Lossy: schema:Chapter is WebPageElement-scoped; gmeow:SerialInstallment is broader.
gmeow:SerialWork	skos:closeMatch	schema:CreativeWorkSeries	semapv:ManualMappingCuration	0.85	schema:CreativeWorkSeries is broader (includes TV, film, game series).
gmeow:hasMythTelling	skos:relatedMatch	schema:CreativeWork	semapv:ManualMappingCuration	0.7	Lossy: schema:CreativeWork collapses the WEMI tiers; gmeow:hasMythTelling points to a concrete CreativeWork telling.
schema:Book	skos:closeMatch	gmeow:BookRelease	semapv:ManualMappingCuration	0.8	schema:Book is broader (may denote abstract work); gmeow:BookRelease is a concrete published edition.
schema:Episode	rdfs:subClassOf	gmeow:SerialInstallment	semapv:ManualMappingCuration	0.9	schema:Episode is TV/radio-specific; gmeow:SerialInstallment is broader (comics, magazines).
wd:Q15706943	skos:closeMatch	gmeow:NarrativeReferenceFrame	semapv:ManualMappingCuration	0.8	Wikidata 'fictional world' — close match to narrative frame.
wd:Q1774138	skos:closeMatch	gmeow:NarrativeReferenceFrame	semapv:ManualMappingCuration	0.8	Wikidata 'fictional universe' is broader than a single canon frame.
