# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/properties
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow compile-mappings
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: Canonical GMEOW property alignments. equivalentProperty for same-typed synonyms; skos:closeMatch for cross-type/fuzzy links.
# curie_map:
#   bfo: http://purl.obolibrary.org/obo/
#   bibo: http://purl.org/ontology/bibo/
#   crm: http://www.cidoc-crm.org/cidoc-crm/
#   dcterms: http://purl.org/dc/terms/
#   doap: http://usefulinc.com/ns/doap#
#   dpv: https://w3id.org/dpv#
#   foaf: http://xmlns.com/foaf/0.1/
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   gufo: http://purl.org/nemo/gufo#
#   org: http://www.w3.org/ns/org#
#   owl: http://www.w3.org/2002/07/owl#
#   prov: http://www.w3.org/ns/prov#
#   rel: http://purl.org/vocab/relationship/
#   schema: https://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   vcard: http://www.w3.org/2006/vcard/ns#
subject_id	predicate_id	object_id	object_label	mapping_justification	confidence	comment
gmeow:accountName	owl:equivalentProperty	foaf:accountName		semapv:ManualMappingCuration	1.0	
gmeow:coarsenTo	skos:closeMatch	dpv:Generalisation		semapv:ManualMappingCuration	0.8	DPV Generalisation (reduce granularity/precision by grouping or rounding) — the privacy-technique counterpart of the gmeow:coarsenTo projection-time directive; the seam to PRIV-GEN (#73)
gmeow:coarserThan	skos:closeMatch	skos:broader		semapv:ManualMappingCuration	0.8	SKOS broader — the generic hierarchical-order counterpart of the granularity-level ordering gmeow:coarserThan
gmeow:containedInPlace	owl:equivalentProperty	schema:containedInPlace		semapv:ManualMappingCuration	1.0	
gmeow:datePublished	owl:equivalentProperty	schema:datePublished		semapv:ManualMappingCuration	1.0	
gmeow:description	owl:equivalentProperty	schema:description		semapv:ManualMappingCuration	1.0	
gmeow:description	skos:closeMatch	dcterms:description		semapv:ManualMappingCuration	0.9	
gmeow:description	skos:closeMatch	vcard:note		semapv:ManualMappingCuration	0.8	
gmeow:email	owl:equivalentProperty	schema:email		semapv:ManualMappingCuration	1.0	
gmeow:email	skos:closeMatch	foaf:mbox		semapv:ManualMappingCuration	0.9	foaf:mbox is an IRI; close not equivalent
