# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/music
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Music extension alignments to external music ontologies, symbolic encoding standards, and Wikidata. All bridges are by reference (Principle 5)."
# curie_map:
#   afo: https://w3id.org/afo/onto/1.1#
#   chord: http://purl.org/ontology/chord/
#   discogs: https://www.discogs.com/
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   mbz: https://musicbrainz.org/
#   mimo: http://www.mimo-db.eu/InstrumentsKeywords/
#   mo: http://purl.org/ontology/mo/
#   prov: http://www.w3.org/ns/prov#
#   schema: https://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   wd: http://www.wikidata.org/entity/
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:DegreeOfFreedom	skos:closeMatch	wd:Q623715	semapv:ManualMappingCuration	0.8	Wikidata 'aleatoric music' (Q623715) — the GMEOW relator declares the same indeterminacy structurally.
gmeow:Genre	skos:relatedMatch	discogs:style	semapv:ManualMappingCuration	0.9	Discogs style pages use /style/{name}.
gmeow:Genre	skos:relatedMatch	mbz:genre	semapv:ManualMappingCuration	0.9	MusicBrainz genre pages use /genre/{mbid}.
gmeow:InstrumentType	skos:closeMatch	wd:Q26836418	semapv:ManualMappingCuration	0.85	Wikidata 'MIMO's classification of musical instruments' (Q26836418) — per-seed MIMO exactMatches are carried directly on InstrumentType individuals.
gmeow:InstrumentType	skos:closeMatch	wd:Q34379	semapv:ManualMappingCuration	0.9	Wikidata 'musical instrument' (Q34379) — the GMEOW sense is a value-vocabulary entry, not the physical object.
gmeow:MetricStructure	skos:closeMatch	wd:Q155234	semapv:ManualMappingCuration	0.85	Wikidata 'time signature' (Q155234) — a CMN projection of the underlying MetricStructure.
gmeow:MusicalWork	skos:relatedMatch	wd:P434	semapv:ManualMappingCuration	0.8	MusicBrainz work MBID is referenced via Wikidata P434; no schema absorption.
gmeow:PerformanceParticipation	skos:closeMatch	prov:Association	semapv:ManualMappingCuration	0.8	PROV-O Association is the generic qualified participation idiom.
gmeow:PitchCollection	skos:closeMatch	chord:Chord	semapv:ManualMappingCuration	0.7	OMRAS2 chord symbols are 12-TET only; JI/EDO≠12 chords are unrepresentable.
gmeow:PitchCollection	skos:closeMatch	wd:Q179651	semapv:ManualMappingCuration	0.9	Wikidata 'scale' (Q179651) — broader than the GMEOW collection view.
