# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/tags
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Tag alignments \u2014 SKOS, schema.org, Dublin Core, FOAF, W3C Web Annotation, MOAT and the Tag Ontology. The reified gmeow:Tagging relator (with provenance, confidence, temporal scope and suppression) is canonical; flat projections are lossy downcasts."
# curie_map:
#   dcterms: http://purl.org/dc/terms/
#   foaf: http://xmlns.com/foaf/0.1/
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   moat: http://moat-project.org/ns#
#   oa: http://www.w3.org/ns/oa#
#   schema: https://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   tags: http://www.holygoat.co.uk/owl/redwood/0.1/tags/
#   wd: http://www.wikidata.org/entity/
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:Tag	skos:closeMatch	moat:Tag	semapv:ManualMappingCuration	0.8	MOAT distinguishes tag string from meaning URI; GMEOW's Tag IRI IS the meaning, with labels for synonyms
gmeow:Tag	skos:closeMatch	schema:DefinedTerm	semapv:ManualMappingCuration	0.9	
gmeow:Tag	skos:closeMatch	wd:Q658349	semapv:ManualMappingCuration	0.8	Wikidata 'tag' (metadata used for classification) — Wikidata's item leans toward the tag-as-string reading; GMEOW's Tag is an information-object individual whose IRI is the meaning and whose strings are labels, so closeMatch, not exactMatch; curl-validated 2026-07-03
gmeow:Tag	skos:exactMatch	skos:Concept	semapv:ManualMappingCuration	0.95	A GMEOW Tag IS a skos:Concept — an information-object value identified by its IRI, surfaced by a label. The Tagging RELATOR (provenance/confidence/scope) is the close-but-distinct construct, not the Tag itself; so the Tag class reverses as an asserted fact, not a refutable claim.
gmeow:TagScheme	skos:closeMatch	schema:DefinedTermSet	semapv:ManualMappingCuration	0.9	
gmeow:TagScheme	skos:exactMatch	skos:ConceptScheme	semapv:ManualMappingCuration	0.95	A GMEOW TagScheme IS a skos:ConceptScheme — the namespace bucket for tags/concepts; class identity, parallels eqTags001.
gmeow:TagScheme	skos:relatedMatch	wd:Q494291	semapv:ManualMappingCuration	0.6	Wikidata 'folksonomy' (classification based on users' tags) — a folksonomy is the emergent practice; a TagScheme is the namespace bucket the practice populates. Related, not equivalent: relatedMatch with the vagueness of the relationship stated rather than laundered into a low-confidence closeMatch; curl-validated 2026-07-03
gmeow:Tagging	skos:closeMatch	oa:Annotation	semapv:ManualMappingCuration	0.85	GMEOW Tagging is a relator with provenance/confidence/temporal scope; oa:Annotation is a flatter annotation body — closeMatch, not exactMatch
gmeow:Tagging	skos:closeMatch	tags:Tagging	semapv:ManualMappingCuration	0.85	Newman's Tag Ontology — GMEOW Tagging carries the same tripartite structure (tagger, resource, tag) with added provenance/confidence/temporal scope
gmeow:Tagging	skos:closeMatch	wd:Q11836775	semapv:ManualMappingCuration	0.8	Wikidata 'tagging' (the act of labelling data/content with a short string) — the same act, but GMEOW reifies it as a relator with tagger, scheme, confidence, interval, and suppression; closeMatch on the act, with the relator structure as GMEOW's surplus; curl-validated 2026-07-03
gmeow:broaderTag	skos:closeMatch	skos:broader	semapv:ManualMappingCuration	0.95	GMEOW broaderTag is transitive; skos:broader is the direct link (skos:broaderTransitive is transitive) — closeMatch, not exactMatch
gmeow:hasTag	skos:closeMatch	schema:keywords	semapv:ManualMappingCuration	0.8	lossy — schema:keywords is a text or URL value; GMEOW hasTag points to a structured Tag individual
gmeow:isAbout	skos:closeMatch	dcterms:subject	semapv:ManualMappingCuration	0.9	
gmeow:isAbout	skos:closeMatch	foaf:topic	semapv:ManualMappingCuration	0.85	
gmeow:isAbout	skos:closeMatch	schema:about	semapv:ManualMappingCuration	0.9	
gmeow:relatedTag	skos:closeMatch	skos:related	semapv:ManualMappingCuration	0.95	
gmeow:tagInScheme	skos:exactMatch	skos:inScheme	semapv:ManualMappingCuration	0.95	Scheme membership IS skos:inScheme — a tag/concept belongs to a scheme; no transitivity caveat (unlike broaderTag), so this reverses as an asserted fact.
gmeow:taggingTag	skos:closeMatch	oa:hasBody	semapv:ManualMappingCuration	0.85	The tag is the body of the annotation; lossy — oa:hasBody may also be a textual body, a SpecificResource, etc.
gmeow:taggingTagged	skos:closeMatch	oa:hasTarget	semapv:ManualMappingCuration	0.9	
