edge_id:string,:START_ID(PurRDF),:END_ID(PurRDF),:TYPE,rdf_json:string
edge_21b36379ff059704a498b7ace4c4d40c02e0606e0a3099635d45a27af315076b,node_819be48b136a895bb7dda7da5b2f4ee6a7857772fdc6a40622109cda2ae7059e,node_e7485c5e87e232e9f39141f42b1197cc0679f1b35b7c9ea43911508f97f01059,RdfEdge_c1c3ed916a915df17bb67b37c9bd75a5e1726813f73520b5208496c0bbb374ae,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-lie-projected-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/claimModality"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/unequivocal""},""graph"":{""kind"":""default""}}"
edge_2df9adfc56b1187b260961bd1a1b2b7e3593524514e7f229896c1e05e19b833d,node_31465bbbfce827574fce27ecba1caf800ab17316535f242d793b4762a422c0c4,node_29475456a68c742a5dff30459f148ea2f161eb1c14719270212ef70b4fb153a5,RdfEdge_c1c3ed916a915df17bb67b37c9bd75a5e1726813f73520b5208496c0bbb374ae,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-bullshit-held-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/claimModality"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/bullshit""},""graph"":{""kind"":""default""}}"
edge_329d0da738995528827dd4cb94bd13e841916f8db7466649644e740e13b1ccf6,node_cf866d1b1df66f992bef7cf968e54273e83b3450c1159cbb8f2f169881da553b,node_92e04731f8b9424b4cd4df64b558e4ab5c9db2be0e2c9f70328ae5b8919d25ce,RdfEdge_c1c3ed916a915df17bb67b37c9bd75a5e1726813f73520b5208496c0bbb374ae,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-self-deception-held-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/claimModality"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/refuted""},""graph"":{""kind"":""default""}}"
edge_37dcfb696e265bed11cf99d505198b14a9b3b722b8eccbf8e18d56457b269799,node_9132582e5f8200cdb0a973165c2296b14e5107a117fd7e7f01bc45ec4e34097a,node_92e04731f8b9424b4cd4df64b558e4ab5c9db2be0e2c9f70328ae5b8919d25ce,RdfEdge_c1c3ed916a915df17bb67b37c9bd75a5e1726813f73520b5208496c0bbb374ae,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-paltering-held-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/claimModality"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/refuted""},""graph"":{""kind"":""default""}}"
edge_37f3f235d4e29ec2362fedd522b5a89ae789bb957179c0da54efab0b75c5abf0,node_f9b354a365b99376b15db14fdf8f4c56072990fcc0353cc0875dfc8915dc9876,node_92e04731f8b9424b4cd4df64b558e4ab5c9db2be0e2c9f70328ae5b8919d25ce,RdfEdge_c1c3ed916a915df17bb67b37c9bd75a5e1726813f73520b5208496c0bbb374ae,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-lie-held-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/claimModality"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/refuted""},""graph"":{""kind"":""default""}}"
edge_53793cbd0027d2d9427eab02949097c835270fa283a7395f3b1372d2af58f29d,node_acf3cbd00117679780e3cad73130ed7481fd4854abc845f761d6e31c04fa6003,node_92e04731f8b9424b4cd4df64b558e4ab5c9db2be0e2c9f70328ae5b8919d25ce,RdfEdge_c1c3ed916a915df17bb67b37c9bd75a5e1726813f73520b5208496c0bbb374ae,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-disinformation-origin-held-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/claimModality"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/refuted""},""graph"":{""kind"":""default""}}"
edge_57027e5da0860f9883481f3d8982d17312bfc8dc102f3c6faed2d350e50f568a,node_b3d1be430d57a3d221603e8d7faa1c02cf8946ad72dc90f0109f2136eebd14af,node_e7485c5e87e232e9f39141f42b1197cc0679f1b35b7c9ea43911508f97f01059,RdfEdge_c1c3ed916a915df17bb67b37c9bd75a5e1726813f73520b5208496c0bbb374ae,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-fabrication-projected-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/claimModality"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/unequivocal""},""graph"":{""kind"":""default""}}"
edge_73a6f8e0b707648d58ab0e48409dce0900d7ff5bb33f391c21a267b4b14a0a64,node_887939614ab7696496833ace44c890941f6f01b688db2e2b9c5ddcfbafb43d20,node_e7485c5e87e232e9f39141f42b1197cc0679f1b35b7c9ea43911508f97f01059,RdfEdge_c1c3ed916a915df17bb67b37c9bd75a5e1726813f73520b5208496c0bbb374ae,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-distortion-projected-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/claimModality"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/unequivocal""},""graph"":{""kind"":""default""}}"
edge_74aed150cce54eb21fbdd8251fd15664d77f492fc1ab0b389dc4104e11edbe8d,node_09ba9e7a40217b379729f5467bcc5dcdade92617427b4660413ab73701732c0f,node_e7485c5e87e232e9f39141f42b1197cc0679f1b35b7c9ea43911508f97f01059,RdfEdge_c1c3ed916a915df17bb67b37c9bd75a5e1726813f73520b5208496c0bbb374ae,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-forgery-projected-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/claimModality"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/unequivocal""},""graph"":{""kind"":""default""}}"
edge_796206f1d79179d877bb0f936cb8763cc6a3c2a90cee87afe3dde2e7fd77a578,node_8c22028a86ea3f2b5ba15956a14b1c0714cd6d1b2a0abc8b8428a8bd6e4543c7,node_e7485c5e87e232e9f39141f42b1197cc0679f1b35b7c9ea43911508f97f01059,RdfEdge_c1c3ed916a915df17bb67b37c9bd75a5e1726813f73520b5208496c0bbb374ae,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-omission-held-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/claimModality"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/unequivocal""},""graph"":{""kind"":""default""}}"
edge_7c1a8855bc2e1baa4a53d79bf9f7b3c9414eedd3271a5cf2d8dfabd69938683d,node_59861414bdf0270bf2e02b28cee34423dec47ab2d2815129b330088eadfc51bb,node_92e04731f8b9424b4cd4df64b558e4ab5c9db2be0e2c9f70328ae5b8919d25ce,RdfEdge_c1c3ed916a915df17bb67b37c9bd75a5e1726813f73520b5208496c0bbb374ae,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-forgery-held-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/claimModality"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/refuted""},""graph"":{""kind"":""default""}}"
edge_8280b93504eda79a0eac61287dba84c498b3ec50bd378baf55bbf89b9c420308,node_cbda4aa7e23588379b47f003e238cedf4e0393c7dd241895c97b3968ff2f039e,node_e7485c5e87e232e9f39141f42b1197cc0679f1b35b7c9ea43911508f97f01059,RdfEdge_c1c3ed916a915df17bb67b37c9bd75a5e1726813f73520b5208496c0bbb374ae,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-bullshit-projected-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/claimModality"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/unequivocal""},""graph"":{""kind"":""default""}}"
edge_88e6b8c0c21f80b591951454aa441cb996d4ce08ceb2f23e6e67be35806cfb7f,node_06ac21cbd24ae8577ec7ac3e6b4a42506675278cd730efdd793ec09c86014333,node_e7485c5e87e232e9f39141f42b1197cc0679f1b35b7c9ea43911508f97f01059,RdfEdge_c1c3ed916a915df17bb67b37c9bd75a5e1726813f73520b5208496c0bbb374ae,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-self-deception-projected-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/claimModality"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/unequivocal""},""graph"":{""kind"":""default""}}"
edge_9da224915f88cf20dc00d38fd310ce211ed59913f5a54bc2056de10e541437b2,node_ef7847b1e1ad4e469e8b0b59de6134d827b6ad4b80f6a0bb739c821f17c8b53f,node_e7485c5e87e232e9f39141f42b1197cc0679f1b35b7c9ea43911508f97f01059,RdfEdge_c1c3ed916a915df17bb67b37c9bd75a5e1726813f73520b5208496c0bbb374ae,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-impersonation-projected-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/claimModality"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/unequivocal""},""graph"":{""kind"":""default""}}"
edge_b225625533d129f24981848b9de6ca42b06d69a849d27d31f8f20d376e235e0f,node_2c59d80e8d2e0d016d2d44f8f72000b04112fef4fbde22c540705252bc777d71,node_e7485c5e87e232e9f39141f42b1197cc0679f1b35b7c9ea43911508f97f01059,RdfEdge_c1c3ed916a915df17bb67b37c9bd75a5e1726813f73520b5208496c0bbb374ae,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-dupe-belief-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/claimModality"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/unequivocal""},""graph"":{""kind"":""default""}}"
edge_b888432d2e7fd30b177316ec90f7fbf800596193bd64a5ac93c485ebc391df65,node_b01ebe0cdaa0c2f31e7af00e3297c968214e59b45a40ff63b5a1fe0c10bbd74e,node_e7485c5e87e232e9f39141f42b1197cc0679f1b35b7c9ea43911508f97f01059,RdfEdge_c1c3ed916a915df17bb67b37c9bd75a5e1726813f73520b5208496c0bbb374ae,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-disinformation-origin-projected-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/claimModality"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/unequivocal""},""graph"":{""kind"":""default""}}"
