# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/genealogy
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Genealogy alignments \u2014 kinship relationships and convenience properties to BIO / GEDCOM X / Wikidata / REL; legacy W3C gedcom predicates for coverage. Life-EVENT alignments (event types, dates, places, participant roles) live in the events mapset (gmeow-events.sssom.tsv), since life events are now the universal events module's concern. Supersedes the unmaintained SWAP gedcom as the canonical model."
# curie_map:
#   bio: http://purl.org/vocab/bio/0.1/
#   gedcom: http://www.w3.org/2000/10/swap/pim/gedcom#
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   gn: http://www.geonames.org/ontology#
#   gx: http://gedcomx.org/
#   gxv: http://gedcomx.org/v1/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   wdt: http://www.wikidata.org/prop/direct/
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:AdoptiveParentChild	skos:closeMatch	gx:AdoptiveParent	semapv:ManualMappingCuration	0.9	
gmeow:BiologicalParentChild	skos:closeMatch	gx:BiologicalParent	semapv:ManualMappingCuration	0.9	
gmeow:CoupleRelationship	skos:closeMatch	gx:Couple	semapv:ManualMappingCuration	0.95	
gmeow:CreativeWork	skos:closeMatch	gxv:SourceDescription	semapv:ManualMappingCuration	0.85	Source-hood is anti-rigid; the described thing is a CreativeWork (WEMI) bearing SourceRole.
gmeow:FosterParentChild	skos:closeMatch	gx:FosterParent	semapv:ManualMappingCuration	0.9	
gmeow:ParentChildRelationship	skos:closeMatch	gx:ParentChild	semapv:ManualMappingCuration	0.95	
gmeow:Person	skos:closeMatch	gxv:Person	semapv:ManualMappingCuration	0.9	
gmeow:PersonName	skos:closeMatch	gxv:Name	semapv:ManualMappingCuration	0.9	
gmeow:Place	skos:closeMatch	gn:Feature	semapv:ManualMappingCuration	0.7	GeoNames feature
gmeow:Selector	skos:closeMatch	gxv:SourceReference	semapv:ManualMappingCuration	0.85	The retired gmeow:Citation locator is replaced by gmeow:Selector.
gmeow:StepParentChild	skos:closeMatch	gx:StepParent	semapv:ManualMappingCuration	0.9	
gmeow:hasChild	skos:closeMatch	bio:child	semapv:ManualMappingCuration	0.9	
gmeow:hasChild	skos:closeMatch	gedcom:child	semapv:ManualMappingCuration	0.8	legacy W3C gedcom
gmeow:hasChild	skos:closeMatch	wdt:P40	semapv:ManualMappingCuration	0.95	child
gmeow:hasFather	skos:closeMatch	bio:father	semapv:ManualMappingCuration	0.9	
gmeow:hasFather	skos:closeMatch	wdt:P22	semapv:ManualMappingCuration	0.95	father
gmeow:hasMother	skos:closeMatch	bio:mother	semapv:ManualMappingCuration	0.9	
gmeow:hasMother	skos:closeMatch	wdt:P25	semapv:ManualMappingCuration	0.95	mother
gmeow:hasParent	skos:closeMatch	wdt:P8810	semapv:ManualMappingCuration	0.9	parent (gender-neutral)
gmeow:hasPartner	skos:closeMatch	gedcom:husband	semapv:ManualMappingCuration	0.7	legacy W3C gedcom couple role
gmeow:hasPartner	skos:closeMatch	gedcom:wife	semapv:ManualMappingCuration	0.7	legacy W3C gedcom couple role
gmeow:hasSibling	skos:closeMatch	wdt:P3373	semapv:ManualMappingCuration	0.95	sibling
gmeow:hasSpouse	skos:closeMatch	wdt:P26	semapv:ManualMappingCuration	0.95	spouse
