# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/rights
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Rights / IP / trademark / licensing alignments (rights facility). MACHINE-READABLE RIGHTS: gmeow:RightsStatement is the canonical superset of an ODRL Policy / Set (W3C ODRL 2.2); gmeow:Permission / gmeow:Prohibition / gmeow:Duty are the odrl:Permission / odrl:Prohibition / odrl:Duty rule trio, and gmeow:ruleAction values (reproduce / distribute / derive / commercialize / attribute / share-alike / \u2026) are the odrl:action vocabulary, exactMatch the CC REL permission/requirement/prohibition classes (cc:Reproduction, cc:DerivativeWorks, cc:Attribution, cc:ShareAlike, cc:CommercialUse). The full ODRL policy and CC REL licence are GENERATED projections (queries/projections/odrl.rq, cc.rq). LICENCE-IS-AGREEMENT: gmeow:License (\u2291 gmeow:Agreement) closeMatch cc:License / odrl:Offer / dcterms:LicenseDocument; gmeow:hasLicense exactMatch dcterms:license, closeMatch schema:license / cc:license. ATTRIBUTION REUSE: gmeow:copyrightHolder / gmeow:trademarkHolder (\u2291 gmeow:wasAttributedTo) closeMatch dcterms:rightsHolder / schema:copyrightHolder; gmeow:attributionText closeMatch schema:creditText / cc:attributionName. COPYRIGHT STATUS: gmeow:CopyrightStatus values closeMatch the RightsStatements.org standardized statements (InC / NKC / CNE) and the CC public-domain mark; the facility relates to PREMIS 3 rights (premis:RightsStatement). DISTINCT FROM the ontology-alignment LinkPolicy (the native LinkPolicy in `crates/license`): that governs whether an external vocabulary's AXIOMS may be copied INTO GMEOW; this facility governs the rights of the INSTANCES GMEOW describes. The gmeow:LicenseFamily value vocabulary is the ontology-side reflection of that classification, not a copy of it."
# curie_map:
#   cc: http://creativecommons.org/ns#
#   ccpd: https://creativecommons.org/publicdomain/
#   dc: http://purl.org/dc/elements/1.1/
#   dcterms: http://purl.org/dc/terms/
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   ma: http://www.w3.org/ns/ma-ont#
#   odrl: http://www.w3.org/ns/odrl/2/
#   premis: http://www.loc.gov/premis/rdf/v3/
#   rstmt: https://rightsstatements.org/vocab/
#   schema: https://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   spdx: http://spdx.org/rdf/terms#
# # REFUSED: no preferred / primary right (Principle 9) — coexisting rights statements are co-equal; GMEOW has no winner-selecting rights projection.
# # WIPO trademark concepts are linked via Wikidata (gmeow-wikidata.sssom.tsv: wd:Q167270 trademark, wd:P1716 brand) rather than a fabricated wipo: namespace IRI.
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:Constraint	skos:closeMatch	odrl:Constraint	semapv:ManualMappingCuration	0.85	an ODRL constraint
gmeow:Constraint	skos:relatedMatch	premis:restriction	semapv:ManualMappingCuration	0.5	a PREMIS rights restriction
gmeow:Copyright	skos:closeMatch	premis:Copyright	semapv:ManualMappingCuration	0.7	PREMIS 3 copyright basis
gmeow:CreativeWork	skos:relatedMatch	cc:Work	semapv:ManualMappingCuration	0.6	a CC REL Work
gmeow:Duty	skos:closeMatch	odrl:Duty	semapv:ManualMappingCuration	0.85	duty rule class
gmeow:License	skos:closeMatch	cc:License	semapv:ManualMappingCuration	0.8	
gmeow:License	skos:closeMatch	dcterms:LicenseDocument	semapv:ManualMappingCuration	0.8	a licence document
gmeow:License	skos:closeMatch	odrl:Offer	semapv:ManualMappingCuration	0.6	a licence offered to recipients is an ODRL Offer
gmeow:License	skos:closeMatch	premis:License	semapv:ManualMappingCuration	0.7	PREMIS 3 licence basis
gmeow:License	skos:closeMatch	spdx:License	semapv:ManualMappingCuration	0.8	
gmeow:License	skos:closeMatch	spdx:ListedLicense	semapv:ManualMappingCuration	0.7	an SPDX listed licence
gmeow:LogicalConstraint	skos:closeMatch	odrl:LogicalConstraint	semapv:ManualMappingCuration	0.85	an ODRL logical constraint
gmeow:Mark	skos:closeMatch	schema:Brand	semapv:ManualMappingCuration	0.8	
gmeow:Permission	skos:closeMatch	odrl:Permission	semapv:ManualMappingCuration	0.85	permission rule class
gmeow:Permission	skos:relatedMatch	premis:allows	semapv:ManualMappingCuration	0.55	PREMIS rights-granted (allows)
gmeow:Permission	skos:relatedMatch	schema:DigitalDocumentPermission	semapv:ManualMappingCuration	0.5	a schema.org digital-document permission
gmeow:Prohibition	skos:closeMatch	odrl:Prohibition	semapv:ManualMappingCuration	0.85	prohibition rule class
gmeow:Prohibition	skos:relatedMatch	premis:restriction	semapv:ManualMappingCuration	0.55	a PREMIS restriction
gmeow:RightsStatement	skos:closeMatch	odrl:Policy	semapv:ManualMappingCuration	0.9	
gmeow:RightsStatement	skos:relatedMatch	dcterms:RightsStatement	semapv:ManualMappingCuration	0.6	the dcterms rights-statement class (a human-readable rights string in practice)
gmeow:RightsStatement	skos:relatedMatch	odrl:Asset	semapv:ManualMappingCuration	0.3	the governed asset is an odrl:Asset (the statement targets it)
gmeow:RightsStatement	skos:relatedMatch	odrl:Set	semapv:ManualMappingCuration	0.7	projected as an odrl:Set (the concrete, rule-bearing policy subclass)
gmeow:Rule	skos:closeMatch	odrl:Rule	semapv:ManualMappingCuration	0.8	the abstract deontic rule
gmeow:Trademark	skos:relatedMatch	schema:Brand	semapv:ManualMappingCuration	0.5	the trademark RIGHT relates to (is not) the brand it protects
