id,source,target,edge_type,rdf_json
edge_049a4135b36fb83f9d8141ee46fbc1defe1423f51de2927291b1db93b01086f0,node_c6f2a865be4dbc13290ea139b70a16ebafb9f542f16211e07429ff614ca1442c,node_0e9cf57fb66084902e469f226de33b8f611c6feec53c9a9355935a80b12984dd,https://blackcatinformatics.ca/gmeow/hasParticipant,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-disinformation-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/hasParticipant"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/agent-deceiver-001""},""graph"":{""kind"":""default""}}"
edge_0828089f995d4291e805ae2236edac3248af0a937ebafd9ff09863896eb6f8a9,node_51d0726b9e9cdbef9d67eee8f74bb4ad6c0cc283ddd917b10b589f6fb3d82d93,node_9e316fbc5d96e229646bdfa98bb4b78e3b9950db875e4333673835aed52a1bc1,https://blackcatinformatics.ca/gmeow/projectedStandpoint,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-deception-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/projectedStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-projected-001""},""graph"":{""kind"":""default""}}"
edge_09198db33e09d675cb26440c2315ccde8bfc4404b0dd51de540d2ae4925508ba,node_fa3f65c2249f9840ccb58a65514cfc57b2a945d8258ed051e4601494c95da79b,node_e02c275ecf867057027a367f2774550fa745f491d03d9b9310969195e08855b9,https://blackcatinformatics.ca/gmeow/analysisResult,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/music/spectral-key-claim""},""predicate"":""https://blackcatinformatics.ca/gmeow/analysisResult"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/pitchValue12EDOE4""},""graph"":{""kind"":""default""}}"
edge_096f912a573fa38818f426e3f0b13623ce05af967a619efc1b73cf38793e9efd,node_c6f2a865be4dbc13290ea139b70a16ebafb9f542f16211e07429ff614ca1442c,node_c890b646ad52c52cd8c6ce861d2e8cd41f4d509e1383b1c9506d89cba7fa496a,https://blackcatinformatics.ca/gmeow/deceptiveIntentClaim,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-disinformation-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/deceptiveIntentClaim"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-disinformation-origin-intent-001""},""graph"":{""kind"":""default""}}"
edge_0a52727681e751104bdc12f431037ec4a91af9fcaad97142359d283f4a99f96f,node_f226a963c0802c9c2580a1c5b80022ecae52fb6f4633541772409c8af2a0acbd,node_ed1d31d40eb05819df570d89fddde1e8b07b4327f46b2f59db8de9ef1a461a28,https://blackcatinformatics.ca/gmeow/hasVerificationStatus,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/verificationresult-fabrication-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/hasVerificationStatus"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/verificationStatusFailed""},""graph"":{""kind"":""default""}}"
edge_0d7fbf2415c83ac859fb4606a89f321e937ab14eef128678c579e723bf0881f4,node_7b46620c98ffe749e0d44479496a062a1fa0597aade32e4060f9b74e2e256d4c,node_72357ba0fc973cbed5ad6049c459a8ae7ead28241143daf0dfdc1301278008de,https://blackcatinformatics.ca/gmeow/eventType,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-distortion-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/eventType"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/eventTypeDistortion""},""graph"":{""kind"":""default""}}"
edge_0e1b692efebad32db07db8a400d4336159a0fc6390bf075c9dc00e6319180306,node_59e48db8480b8823a561ba2ce992cb930980390c9f84d8dd24ab462b6a89e166,node_dc38be3dc24d504c0813ba02a1c7f9a29811c254a6fd1c1b8639ee3dcee1d0fb,https://blackcatinformatics.ca/gmeow/attestationType,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/attestation-factcheck-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/attestationType"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/attestationTypeFactCheck""},""graph"":{""kind"":""default""}}"
edge_0e6f87e8e724bf97d3938e9836a50bcb348c27d684381636fb05f76ae394457e,node_1c0a0e0d1302621356f2391e5ccbe36512ce18236008f4dc2d0a41dc2bc80dfa,node_8c22028a86ea3f2b5ba15956a14b1c0714cd6d1b2a0abc8b8428a8bd6e4543c7,https://blackcatinformatics.ca/gmeow/heldStandpoint,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-omission-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/heldStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-omission-held-001""},""graph"":{""kind"":""default""}}"
edge_0eeed7be3e1583a4184f61edf1471f487aaff70add5bc78e7a615cff920ddd32,node_702542c15877456e49c06caaeeaeecc9c067f4d1aa7bbd157fba43af8c5d3a30,node_819ad695063d389c564a10b0775fadc27c4f904b92c9c1569730b0df3d2083b3,https://blackcatinformatics.ca/gmeow/hasGenre,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/fixtureMathRockWork""},""predicate"":""https://blackcatinformatics.ca/gmeow/hasGenre"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/genreMathRock""},""graph"":{""kind"":""default""}}"
edge_1348b27a9d9a8831350a277d25cf90011612f5d47b088d3d174101bfa2ee02b4,node_5d630954975622558b56f63dc946784d2546aefcfea9e60e612e1123070b8e89,node_09ba9e7a40217b379729f5467bcc5dcdade92617427b4660413ab73701732c0f,https://blackcatinformatics.ca/gmeow/projectedStandpoint,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-forgery-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/projectedStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-forgery-projected-001""},""graph"":{""kind"":""default""}}"
