# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/languages
# license: https://creativecommons.org/licenses/by/4.0/
# comment: Language alignments — schema.org + Wikidata. gmeow:Language is registry-INDEPENDENT (a self-minted IRI); these are see-also links, and coreference of language INSTANCES to Lexvo (http://lexvo.org/id/iso639-3/…), Glottolog and Wikidata items is asserted in data with skos:exactMatch + gmeow:authorityLink, not here. Proficiency scales (CEFR/ILR/ACTFL), writing-system roles, version lineage, origin/modality/status value vocabularies and the WritingSystemUsage relator are largely CANONICAL — no maintained external RDF vocabulary covers them faithfully. The reified gmeow:LanguageProficiency flattens to schema:knowsLanguage / wdt:P1412 only via the EDOAL+FnO projection layer, not by a 1:1 SSSOM claim.
subject_id	predicate_id	object_id	mapping_justification	confidence
gmeow:Language	skos:closeMatch	schema:Language	semapv:ManualMappingCuration	0.9
gmeow:Language	skos:closeMatch	wd:Q34770	semapv:ManualMappingCuration	0.9
gmeow:FormalLanguage	skos:closeMatch	wd:Q205892	semapv:ManualMappingCuration	0.7
gmeow:ProgrammingLanguage	skos:closeMatch	schema:ComputerLanguage	semapv:ManualMappingCuration	0.8
gmeow:ProgrammingLanguage	skos:closeMatch	wd:Q9143	semapv:ManualMappingCuration	0.85
gmeow:WritingSystem	skos:closeMatch	wd:Q8192	semapv:ManualMappingCuration	0.85
gmeow:usesWritingSystem	skos:closeMatch	wdt:P282	semapv:ManualMappingCuration	0.8
gmeow:knowsLanguage	skos:closeMatch	schema:knowsLanguage	semapv:ManualMappingCuration	0.9
gmeow:knowsLanguage	skos:closeMatch	wdt:P1412	semapv:ManualMappingCuration	0.7
gmeow:nativeLanguage	skos:closeMatch	wdt:P103	semapv:ManualMappingCuration	0.8
gmeow:languageCode	skos:closeMatch	schema:iso6391Code	semapv:ManualMappingCuration	0.6
gmeow:originNatural	skos:closeMatch	wd:Q33742	semapv:ManualMappingCuration	0.7
gmeow:originConstructedEngineered	skos:closeMatch	wd:Q33215	semapv:ManualMappingCuration	0.6
gmeow:modalitySigned	skos:closeMatch	wd:Q34228	semapv:ManualMappingCuration	0.6
