# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/classes
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Canonical GMEOW class alignments to the surface vocabularies in the slice (the superset layer). schema.org is reference-only (linked, never imported)."
# curie_map:
#   bibframe: http://id.loc.gov/ontologies/bibframe/
#   bibo: http://purl.org/ontology/bibo/
#   ceterms: https://purl.org/ctdl/terms/
#   doap: http://usefulinc.com/ns/doap#
#   esco: http://data.europa.eu/esco/model#
#   foaf: http://xmlns.com/foaf/0.1/
#   gedcom: http://www.w3.org/2000/10/swap/pim/gedcom#
#   geo: http://www.opengis.net/ont/geosparql#
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   org: http://www.w3.org/ns/org#
#   owl: http://www.w3.org/2002/07/owl#
#   prof: http://www.w3.org/ns/dx/prof/
#   prov: http://www.w3.org/ns/prov#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   schema: https://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   sioc: http://rdfs.org/sioc/ns#
#   skos: http://www.w3.org/2004/02/skos/core#
#   vcard: http://www.w3.org/2006/vcard/ns#
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
bibframe:Work	skos:closeMatch	gmeow:CreativeWork	semapv:ManualMappingCuration	0.8	
bibo:AcademicArticle	rdfs:subClassOf	gmeow:Article	semapv:ManualMappingCuration	1.0	
doap:GitRepository	rdfs:subClassOf	gmeow:Repository	semapv:ManualMappingCuration	1.0	
geo:Feature	skos:closeMatch	gmeow:Place	semapv:ManualMappingCuration	0.7	
geo:Geometry	skos:closeMatch	gmeow:Geometry	semapv:ManualMappingCuration	0.9	
gmeow:Activity	skos:exactMatch	prov:Activity	semapv:ManualMappingCuration	0.95	the general provenance-activity class, co-extensive with prov:Activity; the narrower activity kinds (Event, ObservationalActivity, ImportActivity, ...) map in by closeMatch/relatedMatch
gmeow:Agent	owl:equivalentClass	foaf:Agent	semapv:ManualMappingCuration	1.0	
gmeow:Agent	owl:equivalentClass	prov:Agent	semapv:ManualMappingCuration	0.95	
gmeow:Article	owl:equivalentClass	schema:Article	semapv:ManualMappingCuration	1.0	
gmeow:ContactPoint	owl:equivalentClass	schema:ContactPoint	semapv:ManualMappingCuration	1.0	
gmeow:CreativeWork	skos:exactMatch	schema:CreativeWork	semapv:ManualMappingCuration	0.9	co-extensive at the top creative-work class; schema.org flattening the WEMI sub-structure is a preservation loss, not an extension difference — the WEMI tiers (gmeow:Work etc.) map separately by closeMatch
gmeow:Credential	owl:equivalentClass	ceterms:Credential	semapv:ManualMappingCuration	0.9	Credential Engine CTDL Credential — superset by reference
gmeow:Credential	owl:equivalentClass	schema:EducationalOccupationalCredential	semapv:ManualMappingCuration	1.0	
gmeow:DataFeed	skos:closeMatch	schema:DataFeed	semapv:ManualMappingCuration	0.85	a published ordered item stream IS schema:DataFeed
gmeow:Dataset	owl:equivalentClass	schema:Dataset	semapv:ManualMappingCuration	1.0	
gmeow:Document	owl:equivalentClass	schema:DigitalDocument	semapv:ManualMappingCuration	0.9	
gmeow:Family	owl:equivalentClass	gedcom:Family	semapv:ManualMappingCuration	1.0	
gmeow:GeoCoordinates	owl:equivalentClass	schema:GeoCoordinates	semapv:ManualMappingCuration	1.0	
gmeow:Group	owl:equivalentClass	foaf:Group	semapv:ManualMappingCuration	0.95	
gmeow:Identifier	skos:closeMatch	schema:PropertyValue	semapv:ManualMappingCuration	0.85	the reified external-identifier record IS schema's PropertyValue bundle (propertyID/value/url/name); closeMatch — schema's PropertyValue is broader (any keyed value), the projection narrows to identifier records
gmeow:MediaObject	skos:exactMatch	schema:MediaObject	semapv:ManualMappingCuration	0.9	direct 1:1 correspondence; schema:ImageObject/AudioObject map in as narrower subclasses
gmeow:Membership	owl:equivalentClass	org:Membership	semapv:ManualMappingCuration	1.0	
