# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/creative-works
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "WEMI spine alignments to FRBRcore, FaBiO, LRMoo, CIDOC-CRM, BIBFRAME, schema.org, and Wikidata. GMEOW rebuilds the distinction natively and bridges by reference (Principle 5)."
# curie_map:
#   bibframe: http://id.loc.gov/ontologies/bibframe/
#   credit: https://credit.niso.org/contributor-roles/
#   crm: http://www.cidoc-crm.org/cidoc-crm/
#   fabio: http://purl.org/spar/fabio/
#   foaf: http://xmlns.com/foaf/0.1/
#   frbr: http://purl.org/vocab/frbr/core#
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   lrmoo: http://iflastandards.info/ns/lrm/lrmoo/
#   owl: http://www.w3.org/2002/07/owl#
#   pav: http://purl.org/pav/
#   schema: https://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   wd: http://www.wikidata.org/entity/
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:BookRelease	skos:broadMatch	schema:Book	semapv:ManualMappingCuration	0.85	schema:Book is broader (may denote abstract work); BookRelease is concrete.
gmeow:CreativeWork	skos:exactMatch	schema:CreativeWork	semapv:ManualMappingCuration	0.9	co-extensive at the top creative-work class; schema.org flattening the WEMI sub-structure is a preservation loss, not an extension difference — the WEMI tiers (gmeow:Work etc.) map separately by closeMatch
gmeow:Document	skos:closeMatch	wd:Q571	semapv:ManualMappingCuration	0.85	Wikidata 'book' (Q571) — close match to Document/Work.
gmeow:Expression	owl:equivalentClass	frbr:Expression	semapv:ManualMappingCuration	1.0	FRBR Expression — realization in language/notation.
gmeow:Expression	owl:equivalentClass	lrmoo:F2_Expression	semapv:ManualMappingCuration	0.95	LRMoo F2 Expression.
gmeow:Expression	skos:closeMatch	fabio:Expression	semapv:ManualMappingCuration	0.95	FaBiO Expression is scholarly-scoped.
gmeow:Genre	skos:closeMatch	wd:Q188451	semapv:ManualMappingCuration	0.9	Wikidata 'music genre' (Q188451) — GMEOW Genre is a broader, cross-domain information object.
gmeow:Item	owl:equivalentClass	frbr:Item	semapv:ManualMappingCuration	1.0	FRBR Item — single exemplar.
gmeow:Item	owl:equivalentClass	lrmoo:F5_Item	semapv:ManualMappingCuration	0.95	LRMoo F5 Item.
gmeow:Item	skos:closeMatch	bibframe:Item	semapv:ManualMappingCuration	0.9	BIBFRAME Item ≈ FRBR Item.
