# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/calendar
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Calendar and scheduling alignments (calendar and scheduling design) \u2014 gmeow:Calendar, gmeow:EventSchedule, gmeow:EventInvitation, gmeow:Availability, gmeow:Reminder, gmeow:Task, gmeow:TimeZone and their value vocabularies, aligned to iCalendar (RFC 5545/5546), schema.org Schedule/EventSeries, and Wikidata by reference. VALUE VOCABULARIES: InvitationStatus, RsvpStatus, AvailabilityStatus, ReminderAction, TaskStatus, ExceptionType are gufo:QualityValue individuals, aligned to external classes/enums with skos:closeMatch (Principle 9 \u2014 no overtyping). SCHEDULE \u2260 OCCURRENCE: an EventSchedule generates Event occurrences; it is not the occurrence itself."
# curie_map:
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   ical: http://www.w3.org/2002/12/cal/icaltzd#
#   schema: https://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   wd: http://www.wikidata.org/entity/
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:Availability	skos:closeMatch	ical:Vfreebusy	semapv:ManualMappingCuration	0.75	iCalendar VFREEBUSY — free/busy time slots
gmeow:Calendar	skos:relatedMatch	ical:Vcalendar	semapv:ManualMappingCuration	0.7	iCalendar VCALENDAR is a projection target, not a peer model
gmeow:EventInvitation	skos:relatedMatch	schema:RsvpAction	semapv:ManualMappingCuration	0.55	schema.org RsvpAction — the invitation/RSVP social act
gmeow:EventSchedule	skos:closeMatch	schema:Schedule	semapv:ManualMappingCuration	0.85	schema.org Schedule — a repeating schedule with exceptions
gmeow:EventSchedule	skos:relatedMatch	ical:Vevent	semapv:ManualMappingCuration	0.5	iCalendar VEVENT is the projection of a generated occurrence, not the schedule itself
gmeow:Reminder	skos:closeMatch	ical:Valarm	semapv:ManualMappingCuration	0.85	iCalendar VALARM — trigger + action
gmeow:Task	skos:closeMatch	ical:Vtodo	semapv:ManualMappingCuration	0.8	iCalendar VTODO — a task is an event subtype with due date and status
gmeow:TimeZone	skos:closeMatch	ical:Vtimezone	semapv:ManualMappingCuration	0.85	iCalendar VTIMEZONE — IANA tzid
gmeow:availabilityStatus	skos:closeMatch	ical:fbtype	semapv:ManualMappingCuration	0.8	iCalendar FBTYPE — FREE, BUSY, BUSY-TENTATIVE, BUSY-UNAVAILABLE
gmeow:invitationStatus	skos:closeMatch	ical:partstat	semapv:ManualMappingCuration	0.8	iCalendar PARTSTAT — NEEDS-ACTION, ACCEPTED, DECLINED, TENTATIVE
gmeow:invitationStatusAccepted	skos:closeMatch	wd:Q2498022	semapv:ManualMappingCuration	0.8	Wikidata 'acceptance' (Q2498022)
gmeow:reminderAction	skos:closeMatch	ical:action	semapv:ManualMappingCuration	0.85	iCalendar ACTION — display, email, audio
gmeow:reminderActionDisplay	skos:closeMatch	wd:Q548665	semapv:ManualMappingCuration	0.6	Wikidata 'display device' (Q548665) — rough alignment
gmeow:reminderTrigger	skos:closeMatch	ical:trigger	semapv:ManualMappingCuration	0.85	
gmeow:scheduleOccurrence	skos:closeMatch	schema:subEvent	semapv:ManualMappingCuration	0.7	a generated occurrence is a sub-event of the schedule's series
gmeow:scheduleRecurrenceRule	skos:closeMatch	ical:rrule	semapv:ManualMappingCuration	0.9	the recurrence rule text projects directly to RRULE
gmeow:scheduleRecurrenceRule	skos:closeMatch	schema:repeatFrequency	semapv:ManualMappingCuration	0.75	schema.org repeatFrequency — a textual recurrence rule
gmeow:taskDueDate	skos:closeMatch	ical:due	semapv:ManualMappingCuration	0.85	
gmeow:taskPriority	skos:closeMatch	ical:priority	semapv:ManualMappingCuration	0.85	
gmeow:taskStatus	skos:closeMatch	ical:status	semapv:ManualMappingCuration	0.8	iCalendar STATUS for VTODO — COMPLETED, CANCELLED, etc.
gmeow:taskStatusCompleted	skos:closeMatch	wd:Q1198487	semapv:ManualMappingCuration	0.8	Wikidata 'completion' (Q1198487)
gmeow:timeZoneIanaId	skos:closeMatch	ical:tzid	semapv:ManualMappingCuration	0.9	
