# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# curie_map:
#   math: https://blackcatinformatics.ca/math/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
subject_id	predicate_id	object_id	object_label	mapping_justification	confidence	comment
math:Addition	skos:closeMatch	http://www.openmath.org/cd/arith1#plus	OpenMath arith1 plus	semapv:ManualMappingCuration	0.9	math:Addition is the binary addition operator (+); OpenMath arith1#plus is its verified canonical content-dictionary symbol IRI. closeMatch because the GMEOW operator also carries an explicit mathematical signature.
math:Division	skos:closeMatch	http://www.openmath.org/cd/arith1#divide	OpenMath arith1 divide	semapv:ManualMappingCuration	0.9	math:Division is the binary division operator (÷); OpenMath arith1#divide is its verified canonical content-dictionary symbol IRI. closeMatch because the GMEOW operator also carries an explicit mathematical signature.
math:Exponentiation	skos:closeMatch	http://www.openmath.org/cd/arith1#power	OpenMath arith1 power	semapv:ManualMappingCuration	0.9	math:Exponentiation is the exponentiation operator (a^b); OpenMath arith1#power is its verified canonical content-dictionary symbol IRI. closeMatch because the GMEOW operator also carries an explicit mathematical signature.
math:Interval	skos:relatedMatch	https://openmath.org/cd/interval1.xhtml	OpenMath interval1 (ordered intervals)	semapv:ManualMappingCuration	0.85	The OpenMath interval1 content-dictionary page collects several distinct symbols — interval, interval_cc, interval_oo, interval_oc, and interval_co — while math:Interval represents their shared ordered-interval family with explicit endpoint inclusion. No one symbol uniquely denotes the class, so the page is only a related resource.
math:Logarithm	skos:closeMatch	http://www.openmath.org/cd/transc1#log	OpenMath transc1 log	semapv:ManualMappingCuration	0.9	math:Logarithm is the logarithm operator (log_b of a); OpenMath transc1#log is its verified canonical content-dictionary symbol IRI. closeMatch because the GMEOW operator also carries an explicit mathematical signature.
math:Multiplication	skos:closeMatch	http://www.openmath.org/cd/arith1#times	OpenMath arith1 times	semapv:ManualMappingCuration	0.9	math:Multiplication is the binary multiplication operator (×); OpenMath arith1#times is its verified canonical content-dictionary symbol IRI. closeMatch because the GMEOW operator also carries an explicit mathematical signature.
math:Negation	skos:closeMatch	http://www.openmath.org/cd/arith1#unary_minus	OpenMath arith1 unary_minus	semapv:ManualMappingCuration	0.9	math:Negation is the unary additive-inverse operator (−x); OpenMath arith1#unary_minus is its verified canonical content-dictionary symbol IRI. closeMatch because the GMEOW operator also carries an explicit mathematical signature.
math:Root	skos:closeMatch	http://www.openmath.org/cd/arith1#root	OpenMath arith1 root	semapv:ManualMappingCuration	0.9	math:Root is the root operator (the b-th root of a); OpenMath arith1#root is its verified canonical content-dictionary symbol IRI. closeMatch because the GMEOW operator also carries an explicit mathematical signature.
math:SpecialFunction	skos:relatedMatch	https://openmath.org/cd/transc1.xhtml	OpenMath transc1 (transcendental functions)	semapv:ManualMappingCuration	0.8	The OpenMath transc1 page collects many distinct transcendental-function symbols, while math:SpecialFunction is a broad local superclass. No one symbol uniquely denotes that class, so the content-dictionary page is only a related resource.
math:Subtraction	skos:closeMatch	http://www.openmath.org/cd/arith1#minus	OpenMath arith1 minus	semapv:ManualMappingCuration	0.9	math:Subtraction is the binary subtraction operator (−); OpenMath arith1#minus is its verified canonical content-dictionary symbol IRI. closeMatch because the GMEOW operator also carries an explicit mathematical signature.
math:differentiationBinder	skos:closeMatch	http://www.openmath.org/cd/calculus1#diff	OpenMath calculus1#diff	semapv:ManualMappingCuration	0.85	math:differentiationBinder aligns to the verified OpenMath calculus1#diff symbol IRI. closeMatch because the local binder carries explicit AST binding and scope commitments beyond the bare content-dictionary symbol.
math:limitBinder	skos:closeMatch	http://www.openmath.org/cd/limit1#limit	OpenMath limit1#limit	semapv:ManualMappingCuration	0.85	math:limitBinder aligns to the verified OpenMath limit1#limit symbol IRI (the symbol is not in calculus1). closeMatch because the local binder carries explicit AST binding and scope commitments beyond the bare content-dictionary symbol.
math:partialDifferentiationBinder	skos:closeMatch	http://www.openmath.org/cd/calculus1#partialdiff	OpenMath calculus1#partialdiff	semapv:ManualMappingCuration	0.85	math:partialDifferentiationBinder aligns to the verified OpenMath calculus1#partialdiff symbol IRI. closeMatch because the local binder carries explicit AST binding and scope commitments beyond the bare content-dictionary symbol.
math:summationBinder	skos:closeMatch	http://www.openmath.org/cd/arith1#sum	OpenMath arith1#sum	semapv:ManualMappingCuration	0.85	math:summationBinder aligns to the verified OpenMath arith1#sum symbol IRI. closeMatch because the local binder carries explicit AST binding and scope commitments beyond the bare content-dictionary symbol.
