id:ID,:START_ID,:END_ID,:TYPE,accordingTo,assertedAt,confidence,importanceLevel,mappedFrom,selfAsserted,standpointModality,validFrom,validUntil
edge:160a894ac40b9129,gmeow:examples/event-distortion-001,gmeow:examples/standpointclaim-distortion-held-001,heldStandpoint,,2026-06-04T00:00:00Z,0.7,,,,,,
edge:17550f65b0460327,gmeow:examples/event-paltering-001,gmeow:examples/standpointclaim-paltering-held-001,heldStandpoint,,2026-06-02T00:00:00Z,0.78,,,,,,
edge:25b2f3b13ead73a8,gmeow:examples/event-self-deception-001,gmeow:examples/standpointclaim-self-deception-held-001,heldStandpoint,,2026-06-06T00:00:00Z,0.6,,,,,,
edge:2903cb883dd8e42c,gmeow:examples/event-forgery-001,gmeow:examples/standpointclaim-forgery-held-001,heldStandpoint,,2026-06-09T00:00:00Z,0.8,,,,,,
edge:5cbf4b5121b189cf,gmeow:examples/event-impersonation-001,gmeow:examples/standpointclaim-impersonation-held-001,heldStandpoint,,2026-06-10T00:00:00Z,0.78,,,,,,
edge:5f42c725bb572726,gmeow:examples/event-omission-001,gmeow:examples/standpointclaim-omission-held-001,heldStandpoint,,2026-06-03T00:00:00Z,0.85,,,,,,
edge:7fddc85497c76501,gmeow:examples/event-bullshit-001,gmeow:examples/standpointclaim-bullshit-held-001,heldStandpoint,,2026-06-05T00:00:00Z,0.65,,,,,,
edge:88f183255c7b637c,gmeow:examples/event-fabrication-001,gmeow:examples/standpointclaim-fabrication-held-001,heldStandpoint,,2026-06-08T00:00:00Z,0.75,,,,,,
edge:8bf508af96e7078d,gmeow:examples/event-lie-001,gmeow:examples/standpointclaim-lie-held-001,heldStandpoint,,2026-06-01T00:00:00Z,0.8,,,,,,
edge:a5d32e29dd830bf6,gmeow:examples/event-deception-001,gmeow:examples/standpointclaim-held-001,heldStandpoint,,2026-01-15T00:00:00Z,0.75,,,,,,
