# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/languages
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Language alignments \u2014 schema.org + Wikidata. gmeow:Language is registry-INDEPENDENT (a self-minted IRI); these are see-also links, and coreference of language INSTANCES to Lexvo (http://lexvo.org/id/iso639-3/\u2026), Glottolog and Wikidata items is asserted in data with skos:exactMatch + gmeow:authorityLink, not here. Proficiency scales (CEFR/ILR/ACTFL), version lineage, and origin/modality/status value vocabularies are largely CANONICAL \u2014 no maintained external RDF vocabulary covers them faithfully. Scripts and orthographies are grounded in the lang: layer (lang:Script / lang:Orthography), so their alignments live with the grounding vocabulary, not here. The reified gmeow:LanguageProficiency flattens to schema:knowsLanguage / wdt:P1412 only via the EDOAL+FnO projection layer, not by a 1:1 SSSOM claim."
# curie_map:
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   lvont: http://lexvo.org/ontology#
#   schema: https://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   wd: http://www.wikidata.org/entity/
#   wdt: http://www.wikidata.org/prop/direct/
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:Language	skos:closeMatch	schema:Language	semapv:ManualMappingCuration	0.9	
gmeow:Language	skos:closeMatch	wd:Q34770	semapv:ManualMappingCuration	0.9	
gmeow:ReferenceFrame	skos:closeMatch	lvont:Language	semapv:ManualMappingCuration	0.85	contextual — holds when the ReferenceFrame's frameRealm is gmeow:frameRealmLinguistic
gmeow:hasReferenceFrame	skos:closeMatch	lvont:language	semapv:ManualMappingCuration	0.75	links a named expression or lexical entity to its language frame
gmeow:knowsLanguage	skos:closeMatch	schema:knowsLanguage	semapv:ManualMappingCuration	0.9	
gmeow:knowsLanguage	skos:closeMatch	wdt:P1412	semapv:ManualMappingCuration	0.7	
gmeow:languageCode	skos:closeMatch	schema:iso6391Code	semapv:ManualMappingCuration	0.6	
gmeow:modalitySigned	skos:closeMatch	wd:Q34228	semapv:ManualMappingCuration	0.6	
gmeow:nativeLanguage	skos:closeMatch	wdt:P103	semapv:ManualMappingCuration	0.8	
gmeow:originConstructedEngineered	skos:closeMatch	wd:Q33215	semapv:ManualMappingCuration	0.6	
gmeow:originNatural	skos:closeMatch	wd:Q33742	semapv:ManualMappingCuration	0.7	
