id:ID,:LABEL,eventTime,spdxLicenseId,validUntil
gmeow:attestationTypeFactCheck,Resource,,,
gmeow:bullshit,Resource,,,
gmeow:conceivable,Resource,,,
gmeow:eventTypeBullshit,Resource,,,
gmeow:eventTypeDeception,Resource,,,
gmeow:eventTypeDisinformation,Resource,,,
gmeow:eventTypeDistortion,Resource,,,
gmeow:eventTypeFabrication,Resource,,,
gmeow:eventTypeForgery,Resource,,,
gmeow:eventTypeImpersonation,Resource,,,
gmeow:eventTypeLie,Resource,,,
gmeow:eventTypeOmission,Resource,,,
gmeow:eventTypePaltering,Resource,,,
gmeow:eventTypeSelfDeception,Resource,,,
gmeow:examples/agent-corpus-classifier,Resource,,,
gmeow:examples/agent-deceiver-001,Resource,,,
gmeow:examples/agent-dupe-001,Resource,,,
gmeow:examples/agent-self-001,Resource,,,
gmeow:examples/agent-victim-001,Resource,,,
gmeow:examples/ai/assistant,Resource,,,
gmeow:examples/ai/east-wing,Resource,,,2026-12-31T22:00:00+00:00
gmeow:examples/ai/invocation-19,Resource,,,
gmeow:examples/aiCommit,Resource,,,
gmeow:examples/alice,Resource,,,
gmeow:examples/attestation-factcheck-001,Resource,,,
gmeow:examples/birth-alice,Resource,1990-05-01T00:00:00+00:00,,
gmeow:examples/claim-hogwarts-exists,Resource,,,
gmeow:examples/claim-hogwarts-in-canon,Resource,,,
gmeow:examples/copilot,Resource,,,
gmeow:examples/creativework-forged-001,Resource,,,
gmeow:examples/creativework-genuine-001,Resource,,,
gmeow:examples/crimea,Resource,,,
gmeow:examples/cryptographicsignature-forgery-001,Resource,,,
gmeow:examples/event-bullshit-001,Resource,,,
gmeow:examples/event-deception-001,Resource,,,
gmeow:examples/event-disinformation-001,Resource,,,
gmeow:examples/event-distortion-001,Resource,,,
gmeow:examples/event-downstream-reshare-001,Resource,,,
gmeow:examples/event-dupe-reshare-001,Resource,,,
gmeow:examples/event-fabrication-001,Resource,,,
gmeow:examples/event-forgery-001,Resource,,,
gmeow:examples/event-impersonation-001,Resource,,,
gmeow:examples/event-lie-001,Resource,,,
gmeow:examples/event-omission-001,Resource,,,
gmeow:examples/event-paltering-001,Resource,,,
gmeow:examples/event-reformation-date,Resource,"[""1582-10-05T00:00:00+00:00"", ""1582-10-15T00:00:00+00:00""]",,
gmeow:examples/event-self-deception-001,Resource,,,
gmeow:examples/gi-alice,Resource,,,
gmeow:examples/identity-deceiver-001,Resource,,,
gmeow:examples/identity-sockpuppet-001,Resource,,,
