# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/cognition
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Cognition alignments \u2014 the knowledge spectrum and its reified tier. schema.org offers a single flat knowsAbout; GMEOW's four-level spectrum down-collapses to it (lossy), and a bare schema:knowsAbout lifts to the eponymous gmeow:knowsAbout level (its honest floor \u2014 depth is never inferred from a flat edge). The reified gmeow:KnowledgeProficiency reads its depth on a gmeow:ProficiencyScale: the native gmeow:scaleKnowledgeDepth (the four gmeow:KnowledgeLevel ordinals) is the default, while Bloom's revised taxonomy (gmeow:scaleBloomRevised), SOLO (gmeow:scaleSOLO), and Dreyfus (gmeow:scaleDreyfus, expertise) are reusable alternates \u2014 NO canonical framework is enforced (Principle 6). The cross-framework band correspondence is the documented alignment ledger in docs.md, never an OWL axiom (cognition \u22a5 expertise; the knows-axis and the can-do axis are never silently bridged, Principle 9). Additional relatedMatch anchors: FOAF interest/focus for motivational/attentional relations; Wikidata QIDs for knowledge, attention, curiosity and mastery; SUMO knows and OpenCyc knowsAbout for objectual knowing concepts; ESCO, CTDL/ASN and O*NET competency-framework namespaces for the knowledge-depth axis."
# curie_map:
#   ctdlasn: https://credreg.net/ctdlasn/terms/
#   cyc: http://sw.opencyc.org/2012/05/10/concept/en/
#   esco-base: http://data.europa.eu/esco/
#   foaf: http://xmlns.com/foaf/0.1/
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   onet: https://www.onetcenter.org/
#   schema: https://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sumo: https://www.ontologyportal.org/SUMO.owl#
#   wd: http://www.wikidata.org/entity/
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:attendsTo	skos:closeMatch	foaf:focus	semapv:ManualMappingCuration	0.7	foaf:focus maps a SKOS concept to its underlying focal entity; gmeow:attendsTo is an agent's momentary attention toward a subject. closeMatch is directional and lossy — attention is broader and agent-centred.
gmeow:attendsTo	skos:relatedMatch	wd:Q6501338	semapv:ManualMappingCuration	0.7	Wikidata Q6501338 'attention' — entity-page verified 2026-06-18. Issue-supplied Q327954 resolved to 'torch' and was rejected.
gmeow:curiousAbout	skos:relatedMatch	wd:Q366791	semapv:ManualMappingCuration	0.7	Wikidata Q366791 'curiosity' — entity-page verified 2026-06-18. Issue-supplied Q179637 resolved to 'prisoner of war' and was rejected.
gmeow:hasMastered	skos:relatedMatch	wd:Q12770764	semapv:ManualMappingCuration	0.7	Wikidata Q12770764 'mastery' — entity-page verified 2026-06-18. Issue-supplied Q1016098 resolved to 'Mautes' (French commune) and was rejected.
gmeow:interestedIn	skos:closeMatch	foaf:interest	semapv:ManualMappingCuration	0.8	foaf:interest is a page about a topic of interest to the agent; gmeow:interestedIn links the agent directly to the subject. CloseMatch only — the indirection through a page is lossy.
gmeow:isAwareOf	skos:relatedMatch	sumo:knows	semapv:ManualMappingCuration	0.6	SUMO knows is propositional (agent knows a formula); gmeow:isAwareOf is objectual (agent is aware of a subject). relatedMatch only. CYC objectual knows concepts are conceptually adjacent but have no stable resolvable RDF namespace and are referenced in prose.
gmeow:knowsAbout	skos:exactMatch	schema:knowsAbout	semapv:ManualMappingCuration	0.95	schema:knowsAbout — an agent's knowledge of a subject — is exactly the gmeow:knowsAbout level of the four-level knowledge spectrum; the finer levels (understands, hasMastered) are GMEOW enrichment that down-collapses to this flat target.
gmeow:knowsAbout	skos:relatedMatch	cyc:knowsAbout	semapv:ManualMappingCuration	0.6	OpenCyc knowsAbout (http://sw.opencyc.org/2012/05/10/concept/en/knowsAbout) — an IntelligentAgent knows something about a THING; objectual, not propositional. relatedMatch to gmeow:knowsAbout only. OpenCyc endpoint stability is a known caveat.
gmeow:knowsAbout	skos:relatedMatch	sumo:knows	semapv:ManualMappingCuration	0.6	SUMO knows is propositional; gmeow:knowsAbout is objectual familiarity with a subject. relatedMatch only. CYC objectual knows concepts are conceptually adjacent but have no stable resolvable RDF namespace and are referenced in prose.
gmeow:knowsAbout	skos:relatedMatch	wd:Q9081	semapv:ManualMappingCuration	0.7	Wikidata Q9081 'knowledge' — entity-page verified 2026-06-18. relatedMatch: Q9081 is the general concept, while gmeow:knowsAbout is a specific epistemic relation.
gmeow:scaleKnowledgeDepth	skos:relatedMatch	ctdlasn:	semapv:ManualMappingCuration	0.65	CTDL/ASN (Credential Transparency Description Language / Achievement Standards Network) namespace — band-level relatedMatch. The framework describes competency frameworks and statements; the correspondence to GMEOW's depth axis is loose.
gmeow:scaleKnowledgeDepth	skos:relatedMatch	esco-base:	semapv:ManualMappingCuration	0.65	ESCO (European Skills, Competences, Qualifications and Occupations) namespace — band-level relatedMatch. ESCO organises knowledge, skills and competences; no single term corresponds to the whole GMEOW depth axis.
gmeow:scaleKnowledgeDepth	skos:relatedMatch	https://en.wikipedia.org/wiki/Structure_of_observed_learning_outcome	semapv:ManualMappingCuration	0.65	SOLO taxonomy (Biggs & Collis) — band-level relatedMatch to the native knowledge-depth scale. No stable RDF vocabulary namespace exists, so the Wikipedia article is used as the canonical reference target.
gmeow:scaleKnowledgeDepth	skos:relatedMatch	onet:	semapv:ManualMappingCuration	0.65	O*NET (Occupational Information Network) namespace — band-level relatedMatch. O*NET's Knowledge content-model area is conceptually adjacent to the GMEOW knowledge-depth axis, but no single term gives a crisp alignment.
gmeow:scaleKnowledgeDepth	skos:relatedMatch	wd:Q1774565	semapv:ManualMappingCuration	0.65	Wikidata Q1774565 'Bloom Taxonomy' — band-level relatedMatch to the native knowledge-depth scale. Anderson & Krathwohl's revised Bloom's taxonomy is the intended framework; no crisp rung-to-rung equivalence is asserted.
gmeow:scaleKnowledgeDepth	skos:relatedMatch	wd:Q5307365	semapv:ManualMappingCuration	0.65	Wikidata Q5307365 'Dreyfus model of skill acquisition' — band-level relatedMatch to the native knowledge-depth scale. Dreyfus stages are about skill proficiency, not objectual knowledge, so the alignment is loose and by reference only.
