# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/names
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow compile-mappings
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: Name alignments for comprehensive, multi-culture interop — schema.org, vCard 4 (N components, nickname, fn), GEDCOM X (gx:) name parts, FOAF, and a few well-established Wikidata properties. Multi-cultural name-part KINDS (gmeow:NamePartType value individuals such as namePartGiven/namePartSurname) align closeMatch to the nearest external concept, following the places.ttl idiom; there are no flat given/family name properties — a 'First Last' rendering is produced by downcasting the structured gmeow:NamePart model in the projection layer (projections/*). The PronounSet CLASS and the hasPronounSet PROPERTY now align (closeMatch) to Wikidata's 'personal pronoun set' (Q65067284) and 'personal pronoun' (P6553) — verified live against the Wikidata API — whose Sept-2025 RfC calls for full-declension pronoun sets (each set's forms, not a single lexeme) — aligning with GMEOW's reified five-form English model; the per-set declensions, NameRegister, NameUsage and the inclusivity machinery (displayable, namePurposeChosen/Deadname) remain CANONICAL — no maintained external RDF vocabulary declines individual sets faithfully (the pronoun ANCHOR list is sourced from the pronouns.page structured database, cited in names.ttl + docs/identity-mapping.md). Co-equality of multilingual names is a structural stance, not an external mapping. Coreference of name INSTANCES is done in data, not here.
# curie_map:
#   foaf: http://xmlns.com/foaf/0.1/
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   gx: http://gedcomx.org/
#   schema: https://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   vcard: http://www.w3.org/2006/vcard/ns#
#   wd: http://www.wikidata.org/entity/
#   wdt: http://www.wikidata.org/prop/direct/
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:PersonName	skos:closeMatch	gx:Name	semapv:ManualMappingCuration	0.8	
gmeow:PronounSet	skos:broadMatch	wd:Q36224	semapv:ManualMappingCuration	0.5	Wikidata 'pronoun' — broader grammatical category; a hint, not an equivalence
gmeow:PronounSet	skos:closeMatch	wd:Q65067284	semapv:ManualMappingCuration	0.9	Wikidata 'personal pronoun set' — third-person pronouns an individual wants used; its Sept-2025 RfC favours full-declension pronoun sets (modelling each set's forms, not a single lexeme), aligning with GMEOW's reified five-form English model
gmeow:fullName	skos:closeMatch	foaf:name	semapv:ManualMappingCuration	0.8	
gmeow:fullName	skos:closeMatch	schema:name	semapv:ManualMappingCuration	0.8	
gmeow:fullName	skos:closeMatch	vcard:fn	semapv:ManualMappingCuration	0.9	
gmeow:fullName	skos:closeMatch	wdt:P1559	semapv:ManualMappingCuration	0.7	
gmeow:hasNamePart	skos:closeMatch	gx:nameForm	semapv:ManualMappingCuration	0.6	
gmeow:hasPronounSet	skos:closeMatch	wdt:P6553	semapv:ManualMappingCuration	0.85	Wikidata 'personal pronoun' property (P6553); lossy — its values are lexemes, GMEOW's range is the full five-form PronounSet
gmeow:honorific	skos:closeMatch	schema:honorificPrefix	semapv:ManualMappingCuration	0.7	
gmeow:honorific	skos:closeMatch	wdt:P511	semapv:ManualMappingCuration	0.8	
gmeow:namePartGiven	skos:closeMatch	foaf:givenName	semapv:ManualMappingCuration	0.8	
gmeow:namePartGiven	skos:closeMatch	gx:Given	semapv:ManualMappingCuration	0.8	
gmeow:namePartGiven	skos:closeMatch	schema:givenName	semapv:ManualMappingCuration	0.8	
gmeow:namePartGiven	skos:closeMatch	vcard:given-name	semapv:ManualMappingCuration	0.8	
gmeow:namePartGiven	skos:closeMatch	wdt:P735	semapv:ManualMappingCuration	0.7	
gmeow:namePartHonorificPrefix	skos:closeMatch	schema:honorificPrefix	semapv:ManualMappingCuration	0.9	
gmeow:namePartHonorificPrefix	skos:closeMatch	vcard:honorific-prefix	semapv:ManualMappingCuration	0.9	
gmeow:namePartHonorificSuffix	skos:closeMatch	schema:honorificSuffix	semapv:ManualMappingCuration	0.9	
gmeow:namePartHonorificSuffix	skos:closeMatch	vcard:honorific-suffix	semapv:ManualMappingCuration	0.9	
gmeow:namePartMiddle	skos:closeMatch	schema:additionalName	semapv:ManualMappingCuration	0.9	
gmeow:namePartMiddle	skos:closeMatch	vcard:additional-name	semapv:ManualMappingCuration	0.9	
gmeow:namePartNickname	skos:closeMatch	foaf:nick	semapv:ManualMappingCuration	0.9	
gmeow:namePartNickname	skos:closeMatch	vcard:nickname	semapv:ManualMappingCuration	0.9	
gmeow:namePartNickname	skos:closeMatch	wdt:P1449	semapv:ManualMappingCuration	0.8	
gmeow:namePartPatronymic	skos:closeMatch	gx:Patronymic	semapv:ManualMappingCuration	0.8	
gmeow:namePartSurname	skos:closeMatch	foaf:familyName	semapv:ManualMappingCuration	0.8	
gmeow:namePartSurname	skos:closeMatch	gx:Surname	semapv:ManualMappingCuration	0.8	
gmeow:namePartSurname	skos:closeMatch	schema:familyName	semapv:ManualMappingCuration	0.8	
gmeow:namePartSurname	skos:closeMatch	vcard:family-name	semapv:ManualMappingCuration	0.8	
gmeow:namePartSurname	skos:closeMatch	wdt:P734	semapv:ManualMappingCuration	0.7	
gmeow:namePurposeBirth	skos:closeMatch	wdt:P1477	semapv:ManualMappingCuration	0.8	
gmeow:namePurposePenStage	skos:closeMatch	wdt:P742	semapv:ManualMappingCuration	0.8	
