# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# curie_map:
#   bfo: http://purl.obolibrary.org/obo/
#   emo: https://www.w3.org/TR/emotion-voc/#
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   gmeow-goemotions: https://blackcatinformatics.ca/gmeow-registry/goemotions/
#   gmeow-hf: https://blackcatinformatics.ca/gmeow-registry/hf/
#   oa: http://www.w3.org/ns/oa#
#   oewn: https://en-word.net/id/oewn-
#   prov: http://www.w3.org/ns/prov#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   wd: http://www.wikidata.org/entity/
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow-goemotions:anger	skos:closeMatch	gmeow:emotionAnger	semapv:ManualMappingCuration	0.9	
gmeow-goemotions:desire	skos:closeMatch	gmeow:Desire	semapv:ManualMappingCuration	0.85	a conative label — GoEmotions 'desire' bridges to teleology's gmeow:Desire, not to any emotion type
gmeow-goemotions:disgust	skos:closeMatch	gmeow:emotionDisgust	semapv:ManualMappingCuration	0.9	
gmeow-goemotions:fear	skos:closeMatch	gmeow:emotionFear	semapv:ManualMappingCuration	0.9	
gmeow-goemotions:grief	skos:broadMatch	gmeow:emotionSadness	semapv:ManualMappingCuration	0.8	grief is an intense, bereavement-scoped sadness — a narrower reading, so the GoEmotions label broad-matches the canonical sadness type
gmeow-goemotions:joy	skos:closeMatch	gmeow:emotionJoy	semapv:ManualMappingCuration	0.9	
gmeow-goemotions:sadness	skos:closeMatch	gmeow:emotionSadness	semapv:ManualMappingCuration	0.9	
gmeow-goemotions:surprise	skos:closeMatch	gmeow:emotionSurprise	semapv:ManualMappingCuration	0.9	
gmeow-hf:cardiffNegative	skos:relatedMatch	gmeow:dimensionValence	semapv:ManualMappingCuration	0.75	
gmeow-hf:cardiffPositive	skos:relatedMatch	gmeow:dimensionValence	semapv:ManualMappingCuration	0.75	
gmeow-hf:ekmanAnger	skos:closeMatch	gmeow:emotionAnger	semapv:ManualMappingCuration	0.9	
gmeow-hf:ekmanDisgust	skos:closeMatch	gmeow:emotionDisgust	semapv:ManualMappingCuration	0.9	
gmeow-hf:ekmanFear	skos:closeMatch	gmeow:emotionFear	semapv:ManualMappingCuration	0.9	
gmeow-hf:ekmanJoy	skos:closeMatch	gmeow:emotionJoy	semapv:ManualMappingCuration	0.9	
gmeow-hf:ekmanSadness	skos:closeMatch	gmeow:emotionSadness	semapv:ManualMappingCuration	0.9	
gmeow-hf:ekmanSurprise	skos:closeMatch	gmeow:emotionSurprise	semapv:ManualMappingCuration	0.9	
gmeow-hf:sst2Negative	skos:relatedMatch	gmeow:dimensionValence	semapv:ManualMappingCuration	0.75	SST-2 NEGATIVE is a valence appraisal of the target text (below midpoint), never an emotion — relatedMatch to the valence axis
gmeow-hf:sst2Positive	skos:relatedMatch	gmeow:dimensionValence	semapv:ManualMappingCuration	0.75	SST-2 POSITIVE is a valence appraisal of the target text (above midpoint), never an emotion — relatedMatch to the valence axis
gmeow:AffectClassifierOutput	skos:closeMatch	prov:Entity	semapv:ManualMappingCuration	0.85	
gmeow:AffectiveExpression	skos:relatedMatch	oa:Annotation	semapv:ManualMappingCuration	0.7	an affective expression observed over a span is annotation-shaped; relatedMatch — an expression is evidence, not a bare annotation
gmeow:AppraisalDimension	skos:relatedMatch	emo:scherer-appraisals	semapv:ManualMappingCuration	0.6	the gmeow cognitive appraisal axes (novelty, goal-relevance, coping, norm-compatibility, …) relate to EmotionML's Scherer appraisal set — set-level, the appraisal-family analogue
gmeow:CoreAffectDimension	skos:relatedMatch	emo:pad-dimensions	semapv:ManualMappingCuration	0.7	the gmeow core-affect axes (valence / arousal / dominance / unpredictability) relate to EmotionML's PAD dimension set — set-level, closest of the EmotionML dimension vocabularies
gmeow:Emotion	skos:closeMatch	bfo:MFOEM_000001	semapv:ManualMappingCuration	0.85	MFOEM_000001 'emotion process'; closeMatch — GMEOW's Emotion is the endurant mode, MFOEM's is the occurrent process, so not exact
gmeow:Emotion	skos:closeMatch	wd:Q9415	semapv:ManualMappingCuration	0.85	wd:Q9415 'emotion'
gmeow:EmotionType	skos:relatedMatch	emo:everyday-categories	semapv:ManualMappingCuration	0.6	the gmeow emotion-category vocabulary relates to EmotionML's 'everyday' category set — a set-level association, not a per-term equivalence
gmeow:ModelInferenceRun	skos:closeMatch	prov:Activity	semapv:ManualMappingCuration	0.9	a model run is a prov:Activity; closeMatch, since GMEOW pins richer model provenance than PROV requires
gmeow:classifiedTarget	skos:relatedMatch	oa:hasTarget	semapv:ManualMappingCuration	0.7	
gmeow:emotionAnger	skos:closeMatch	bfo:MFOEM_000009	semapv:ManualMappingCuration	0.9	
gmeow:emotionAnger	skos:closeMatch	oewn:07531593-n	semapv:ManualMappingCuration	0.85	OEWN noun.feeling synset 'a strong emotion; a feeling oriented toward some real or supposed grievance'
gmeow:emotionAnger	skos:closeMatch	wd:Q260704	semapv:ManualMappingCuration	0.85	wd:Q260704 'anger'
gmeow:emotionDisgust	skos:closeMatch	bfo:MFOEM_000019	semapv:ManualMappingCuration	0.9	
gmeow:emotionDisgust	skos:closeMatch	oewn:07518499-n	semapv:ManualMappingCuration	0.85	OEWN noun.feeling synset 'strong feelings of dislike'
gmeow:emotionDisgust	skos:closeMatch	wd:Q208351	semapv:ManualMappingCuration	0.85	wd:Q208351 'disgust'
gmeow:emotionFear	skos:closeMatch	bfo:MFOEM_000026	semapv:ManualMappingCuration	0.9	
gmeow:emotionFear	skos:closeMatch	oewn:07534492-n	semapv:ManualMappingCuration	0.85	OEWN noun.feeling synset 'an emotion experienced in anticipation of some specific pain or danger'
gmeow:emotionJoy	skos:closeMatch	bfo:MFOEM_000034	semapv:ManualMappingCuration	0.9	
gmeow:emotionJoy	skos:closeMatch	oewn:07542591-n	semapv:ManualMappingCuration	0.85	OEWN noun.feeling synset 'the emotion of great happiness'
