kind,id,payload_json
reifier,reifier_02ce02afd6f1e8a5e5a8a0df660f5b80ca4037dfe73a259d10d18e44bf53021d,"{""id"":""reifier_02ce02afd6f1e8a5e5a8a0df660f5b80ca4037dfe73a259d10d18e44bf53021d"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-date-gregorian-1582""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-reformation-date""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/eventTime""},""object"":{""kind"":""literal"",""lexical"":""1582-10-15T00:00:00Z"",""datatype"":""http://www.w3.org/2001/XMLSchema#dateTime"",""language"":null,""direction"":null}},""graph"":{""kind"":""default""}}"
reifier,reifier_03c00c80e647c873136e90bd234cd6a35b3f0a57bf8b21205668e8f85c4c7acc,"{""id"":""reifier_03c00c80e647c873136e90bd234cd6a35b3f0a57bf8b21205668e8f85c4c7acc"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-impersonation-facet-subject-001""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/identityfacet-impersonation-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/facetSubject""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/agent-victim-001""}},""graph"":{""kind"":""default""}}"
reifier,reifier_04bbd5cbe4f443b08b59e8d47e8a16c58186280a30a89ee64e5a63b6db2c7e96,"{""id"":""reifier_04bbd5cbe4f443b08b59e8d47e8a16c58186280a30a89ee64e5a63b6db2c7e96"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-self-deception-projected-modality-001""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-self-deception-projected-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/claimModality""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/unequivocal""}},""graph"":{""kind"":""default""}}"
reifier,reifier_05b579aa253c9834b1aa9bcde87c42f473e42dffa8022e5c1786c63401c1fef0,"{""id"":""reifier_05b579aa253c9834b1aa9bcde87c42f473e42dffa8022e5c1786c63401c1fef0"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-impersonation-observedfeature-001""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/identityfacet-impersonation-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/observedFeature""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-impersonation-001""}},""graph"":{""kind"":""default""}}"
reifier,reifier_05d1e52e0e293166962c392bfa40b0a5d69c600df66392e92d1c2d2b8ad27643,"{""id"":""reifier_05d1e52e0e293166962c392bfa40b0a5d69c600df66392e92d1c2d2b8ad27643"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-fabrication-projected-modality-001""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-fabrication-projected-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/claimModality""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/unequivocal""}},""graph"":{""kind"":""default""}}"
reifier,reifier_07871bd7081e08ea5ee145960e7f4b27e66be15fa4a193462cd5fe860e7b7b4c,"{""id"":""reifier_07871bd7081e08ea5ee145960e7f4b27e66be15fa4a193462cd5fe860e7b7b4c"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/ai/claim-east-wing-close""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/ai/east-wing""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/validUntil""},""object"":{""kind"":""literal"",""lexical"":""2026-12-31T22:00:00Z"",""datatype"":""http://www.w3.org/2001/XMLSchema#dateTime"",""language"":null,""direction"":null}},""graph"":{""kind"":""default""}}"
reifier,reifier_0990f4d5d6501c863b30de4f6f192ed90b0c5dfc88152d7501835cb5aa672214,"{""id"":""reifier_0990f4d5d6501c863b30de4f6f192ed90b0c5dfc88152d7501835cb5aa672214"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-disinformation-origin-projected-modality-001""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-disinformation-origin-projected-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/claimModality""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/unequivocal""}},""graph"":{""kind"":""default""}}"
reifier,reifier_0b375cbb1c820e2fdb846f583213d6b7e2716a2328a24099a7bf964419d71610,"{""id"":""reifier_0b375cbb1c820e2fdb846f583213d6b7e2716a2328a24099a7bf964419d71610"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-paltering-held-modality-001""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-paltering-held-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/claimModality""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/refuted""}},""graph"":{""kind"":""default""}}"
reifier,reifier_0f31a21ba32cf68f19cfe9518cd9a036139410eaaee0cb3aa79277de04bbb86f,"{""id"":""reifier_0f31a21ba32cf68f19cfe9518cd9a036139410eaaee0cb3aa79277de04bbb86f"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-disinformation-origin-deceiver-role-001""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/participation-disinformation-origin-deceiver-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/participationRole""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/roleDeceiver""}},""graph"":{""kind"":""default""}}"
reifier,reifier_1215101192c2f4acef441a7d2dbdea1717b3b6a4ec8073f5a3d870a8a0d010ab,"{""id"":""reifier_1215101192c2f4acef441a7d2dbdea1717b3b6a4ec8073f5a3d870a8a0d010ab"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-factcheck-001""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/attestation-factcheck-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/attestationType""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/attestationTypeFactCheck""}},""graph"":{""kind"":""default""}}"
reifier,reifier_12bd69e1f8779a3617b6360c211b1c07b0702f1b06cdd68979d69be020708a5a,"{""id"":""reifier_12bd69e1f8779a3617b6360c211b1c07b0702f1b06cdd68979d69be020708a5a"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-impersonation-held-001""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-impersonation-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/heldStandpoint""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-impersonation-held-001""}},""graph"":{""kind"":""default""}}"
reifier,reifier_198badf866d3106a0170d53770ce257b3d7338514310a9d5791c1ac5e3293e31,"{""id"":""reifier_198badf866d3106a0170d53770ce257b3d7338514310a9d5791c1ac5e3293e31"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-alice-gender-001""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/gi-alice""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/genderValue""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/genderWoman""}},""graph"":{""kind"":""default""}}"
reifier,reifier_1e7cdb7157b0521cce584383dd1acfbc0efb70ee7405b68fcfda39080ff40a29,"{""id"":""reifier_1e7cdb7157b0521cce584383dd1acfbc0efb70ee7405b68fcfda39080ff40a29"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-alice-birthdate""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/birth-alice""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/eventTime""},""object"":{""kind"":""literal"",""lexical"":""1990-05-01T00:00:00Z"",""datatype"":""http://www.w3.org/2001/XMLSchema#dateTime"",""language"":null,""direction"":null}},""graph"":{""kind"":""default""}}"
reifier,reifier_2153cda966834ac0a13eae42f8cc8bcdaf86cbc4f6ac842cdd8745b63fc5e628,"{""id"":""reifier_2153cda966834ac0a13eae42f8cc8bcdaf86cbc4f6ac842cdd8745b63fc5e628"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-fiction-veridicality-001""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-hogwarts-in-canon""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/claimVeridicality""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/veridicalityLicensedFalsehood""}},""graph"":{""kind"":""default""}}"
reifier,reifier_2489c6dd20d5d7ae0a6aebc82eb17c9e4a180c31dab005707da63824d1cd732f,"{""id"":""reifier_2489c6dd20d5d7ae0a6aebc82eb17c9e4a180c31dab005707da63824d1cd732f"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-disinformation-downstream-projected-001""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-downstream-reshare-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/projectedStandpoint""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-downstream-belief-001""}},""graph"":{""kind"":""default""}}"
