edge_id:string,:START_ID(PurRDF),:END_ID(PurRDF),:TYPE,rdf_json:string
edge_0828089f995d4291e805ae2236edac3248af0a937ebafd9ff09863896eb6f8a9,node_51d0726b9e9cdbef9d67eee8f74bb4ad6c0cc283ddd917b10b589f6fb3d82d93,node_9e316fbc5d96e229646bdfa98bb4b78e3b9950db875e4333673835aed52a1bc1,RdfEdge_9ae42b2e3d05598fb49943f8c092e773da21793179b02980012baa3432685ebe,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-deception-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/projectedStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-projected-001""},""graph"":{""kind"":""default""}}"
edge_1348b27a9d9a8831350a277d25cf90011612f5d47b088d3d174101bfa2ee02b4,node_5d630954975622558b56f63dc946784d2546aefcfea9e60e612e1123070b8e89,node_09ba9e7a40217b379729f5467bcc5dcdade92617427b4660413ab73701732c0f,RdfEdge_9ae42b2e3d05598fb49943f8c092e773da21793179b02980012baa3432685ebe,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-forgery-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/projectedStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-forgery-projected-001""},""graph"":{""kind"":""default""}}"
edge_14201ad745150210038c6d6eb23a9c34cd602c03d22f03a083f06a4832361f5e,node_c6f2a865be4dbc13290ea139b70a16ebafb9f542f16211e07429ff614ca1442c,node_b01ebe0cdaa0c2f31e7af00e3297c968214e59b45a40ff63b5a1fe0c10bbd74e,RdfEdge_9ae42b2e3d05598fb49943f8c092e773da21793179b02980012baa3432685ebe,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-disinformation-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/projectedStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-disinformation-origin-projected-001""},""graph"":{""kind"":""default""}}"
edge_15d078dd38161d5345a1d04d6d06dfd9809d3a10e54a2e8f4e5e80671164b2c5,node_0e6b6eb8e321530099bab678a050cfdd5b9eb02d67750c59805ec2ca82485ed8,node_2c59d80e8d2e0d016d2d44f8f72000b04112fef4fbde22c540705252bc777d71,RdfEdge_9ae42b2e3d05598fb49943f8c092e773da21793179b02980012baa3432685ebe,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-dupe-reshare-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/projectedStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-dupe-belief-001""},""graph"":{""kind"":""default""}}"
edge_56f06aa30f9c894409022d0b318b662cb080e62934d6847019ccd06bc944d87d,node_cedadacb35ecfbe68f4bbcba2e8a2081e21c8eaf4f48be9d5bf2a43a9316e7fc,node_cbda4aa7e23588379b47f003e238cedf4e0393c7dd241895c97b3968ff2f039e,RdfEdge_9ae42b2e3d05598fb49943f8c092e773da21793179b02980012baa3432685ebe,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-bullshit-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/projectedStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-bullshit-projected-001""},""graph"":{""kind"":""default""}}"
edge_86049809d10f12c3f0ab9750992f3e31160cd0dd21b3a7829b83c75de7ef908f,node_3c15898454e3c34ebbce265bfb815d9e89884322625c217e1b0dedccb24e2baa,node_cdff2acd46f6089afb87a8825d5e1c7a23f871dd12b335b5ebeade629ac167c2,RdfEdge_9ae42b2e3d05598fb49943f8c092e773da21793179b02980012baa3432685ebe,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-paltering-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/projectedStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-paltering-projected-001""},""graph"":{""kind"":""default""}}"
edge_8dfb35f3540bc5c73f605e7d9af5872e0eff0e4377198d91d6431fb6db1d86e8,node_d8a7918ccf645799435d1073289c07aed3ba5b7b56ffc8602ca73cc97c73895c,node_b3d1be430d57a3d221603e8d7faa1c02cf8946ad72dc90f0109f2136eebd14af,RdfEdge_9ae42b2e3d05598fb49943f8c092e773da21793179b02980012baa3432685ebe,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-fabrication-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/projectedStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-fabrication-projected-001""},""graph"":{""kind"":""default""}}"
edge_a02cc7f6636e3f69388ce97c753aabf4dd1a8931c0180abb5d745a56f907e6c2,node_7b46620c98ffe749e0d44479496a062a1fa0597aade32e4060f9b74e2e256d4c,node_887939614ab7696496833ace44c890941f6f01b688db2e2b9c5ddcfbafb43d20,RdfEdge_9ae42b2e3d05598fb49943f8c092e773da21793179b02980012baa3432685ebe,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-distortion-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/projectedStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-distortion-projected-001""},""graph"":{""kind"":""default""}}"
edge_b4e49089ea37697602c8c758bbab96556fc1e16afe477df37d2f9522e75b2dc7,node_2418de956458a7db208bcec96621ed6ddae07a45d5041b4d5efc36377d65f434,node_ef7847b1e1ad4e469e8b0b59de6134d827b6ad4b80f6a0bb739c821f17c8b53f,RdfEdge_9ae42b2e3d05598fb49943f8c092e773da21793179b02980012baa3432685ebe,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-impersonation-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/projectedStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-impersonation-projected-001""},""graph"":{""kind"":""default""}}"
edge_e2f654cbb5f7d9194d641966d49468992906e775457b35906deb41e99c4dd63d,node_30aaaa4f97ec205909a48461308bcec5ff0f75b0fdd24074f86fc58c595f6fdf,node_819be48b136a895bb7dda7da5b2f4ee6a7857772fdc6a40622109cda2ae7059e,RdfEdge_9ae42b2e3d05598fb49943f8c092e773da21793179b02980012baa3432685ebe,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-lie-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/projectedStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-lie-projected-001""},""graph"":{""kind"":""default""}}"
