id,identity_json,labels_json,properties_json
node_004909c462492eb74996992f549929d34f491f8ca645ff2098c558c9ca3cff43,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-impersonation-held-modality-001""}",[],[]
node_007d7ab8951b3511b54be21cc361d4c27e4830ac3d8cd0f1a3742c2b7ebdbc31,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-impersonation-projected-modality-001""}",[],[]
node_028205e2d95a9016ee371fc2a19a57819062b4d207f2a58f5b2041fa3cffe14e,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-distortion-projected-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/claimModality""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/unequivocal""}}",[],[]
node_034e1b0bed244d178d64c74ec9fe27e0d8295093d3dffe7d0b21454814a6da49,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-paltering-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/heldStandpoint""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-paltering-held-001""}}",[],[]
node_03b33ea2ca69621a0f245af99e0247a85bd40231a90d2ed93b484a8f0311a5dd,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-disinformation-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/hasParticipant""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/agent-deceiver-001""}}",[],[]
node_0414cba26f75ae046c932683dd6c6e713dc8a29e11dad67d84450ab145a0b8e2,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpoint-bullshitter""}",[],[]
node_0475b08c4a4a15968fcdcccc16fe4d6498cf848fc57f74cb2b903962fa84238d,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-held-001""}",[],[]
node_049737ff2978e6731baae8fa83e5aa5b976dc2124b0e8e7a89ed349121687c99,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/aiCommit""}",[],[]
node_049779f31dafc610abc56b27c4531ccf8bbc50390067700c57b339dca6129888,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpoint-analyst""}",[],[]
node_04c58e7590b42c969aeb6f99b4129ab689a30a973e183c68841faae5b73fd15f,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-distortion-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/heldStandpoint""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-distortion-held-001""}}",[],[]
