edge_id:string,:START_ID(PurRDF),:END_ID(PurRDF),:TYPE,rdf_json:string
edge_0e6f87e8e724bf97d3938e9836a50bcb348c27d684381636fb05f76ae394457e,node_1c0a0e0d1302621356f2391e5ccbe36512ce18236008f4dc2d0a41dc2bc80dfa,node_8c22028a86ea3f2b5ba15956a14b1c0714cd6d1b2a0abc8b8428a8bd6e4543c7,RdfEdge_9abbd6b9e032a3184214b536b42ae48755ab8a8db4be107fe2050be080e8608d,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-omission-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/heldStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-omission-held-001""},""graph"":{""kind"":""default""}}"
edge_15d2b13d609f1c2396c21ec4e4cdaa90bdd53d57c9467e34e33d1dbf1a414146,node_d8a7918ccf645799435d1073289c07aed3ba5b7b56ffc8602ca73cc97c73895c,node_91b6ea02e28fadf5984dbe8d820fcb9a7a8d7284324c819cda0e8074e310692c,RdfEdge_9abbd6b9e032a3184214b536b42ae48755ab8a8db4be107fe2050be080e8608d,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-fabrication-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/heldStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-fabrication-held-001""},""graph"":{""kind"":""default""}}"
edge_1b3931216df2e2e1575a324b2ba4eedfcf4eb359c5ab867ffc1edfd5b80cddf4,node_51d0726b9e9cdbef9d67eee8f74bb4ad6c0cc283ddd917b10b589f6fb3d82d93,node_0475b08c4a4a15968fcdcccc16fe4d6498cf848fc57f74cb2b903962fa84238d,RdfEdge_9abbd6b9e032a3184214b536b42ae48755ab8a8db4be107fe2050be080e8608d,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-deception-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/heldStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-held-001""},""graph"":{""kind"":""default""}}"
edge_3f3ee5feaf8bb5c0774203a509750df9dc1752a28598d5a4205dcf26139a26fd,node_7b46620c98ffe749e0d44479496a062a1fa0597aade32e4060f9b74e2e256d4c,node_18a8df3feb1bbceb9d59545b58afad302eee6b25a4460e20c1e3b9aec8e7873e,RdfEdge_9abbd6b9e032a3184214b536b42ae48755ab8a8db4be107fe2050be080e8608d,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-distortion-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/heldStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-distortion-held-001""},""graph"":{""kind"":""default""}}"
edge_500697329edaf8c14c07d959de7f23a8448a342dad08496fd38449bb2414abad,node_5d630954975622558b56f63dc946784d2546aefcfea9e60e612e1123070b8e89,node_59861414bdf0270bf2e02b28cee34423dec47ab2d2815129b330088eadfc51bb,RdfEdge_9abbd6b9e032a3184214b536b42ae48755ab8a8db4be107fe2050be080e8608d,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-forgery-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/heldStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-forgery-held-001""},""graph"":{""kind"":""default""}}"
edge_52fab05bf9f3d76c3aedd1e619aab6a0ed3d83d79777ceb45ee8ef2f1f71d624,node_0e6b6eb8e321530099bab678a050cfdd5b9eb02d67750c59805ec2ca82485ed8,node_2c59d80e8d2e0d016d2d44f8f72000b04112fef4fbde22c540705252bc777d71,RdfEdge_9abbd6b9e032a3184214b536b42ae48755ab8a8db4be107fe2050be080e8608d,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-dupe-reshare-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/heldStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-dupe-belief-001""},""graph"":{""kind"":""default""}}"
edge_709e6251cd1aaf43b2ebdd151637e8ceba69f189f9cfd07ad8dc5fdb86c606b1,node_cedadacb35ecfbe68f4bbcba2e8a2081e21c8eaf4f48be9d5bf2a43a9316e7fc,node_31465bbbfce827574fce27ecba1caf800ab17316535f242d793b4762a422c0c4,RdfEdge_9abbd6b9e032a3184214b536b42ae48755ab8a8db4be107fe2050be080e8608d,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-bullshit-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/heldStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-bullshit-held-001""},""graph"":{""kind"":""default""}}"
edge_8a489a144ba4f346f0653243983260c28f10fb6262ec5f094da8d48ec2e9b845,node_da5bc5be91e2a70713af306ebd48db80ab5b8182801e6bb732f206bf0141efb6,node_fbc8921ae8f75c0965384b8ef4520131499edabf0678b6250685eb59de42f761,RdfEdge_9abbd6b9e032a3184214b536b42ae48755ab8a8db4be107fe2050be080e8608d,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-downstream-reshare-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/heldStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-downstream-belief-001""},""graph"":{""kind"":""default""}}"
edge_a7734e3c4b72c59fb6405aaf34152453b92c7e3bf4bb24fca56edabd157b18f7,node_3c15898454e3c34ebbce265bfb815d9e89884322625c217e1b0dedccb24e2baa,node_9132582e5f8200cdb0a973165c2296b14e5107a117fd7e7f01bc45ec4e34097a,RdfEdge_9abbd6b9e032a3184214b536b42ae48755ab8a8db4be107fe2050be080e8608d,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-paltering-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/heldStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-paltering-held-001""},""graph"":{""kind"":""default""}}"
edge_c7f33890e80f9e4125907d6f3113f1ee04695ed9d28a9ed37984f815638a1a97,node_2418de956458a7db208bcec96621ed6ddae07a45d5041b4d5efc36377d65f434,node_2b6a2c6ca0fa20347f92442998eb26460b3346c56a793d708a86ae57ffbf0416,RdfEdge_9abbd6b9e032a3184214b536b42ae48755ab8a8db4be107fe2050be080e8608d,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-impersonation-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/heldStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-impersonation-held-001""},""graph"":{""kind"":""default""}}"
