# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/logic-gufo
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow regenerate (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Complete gUFO-class coverage from canonical logic: terms. The five temporary-situation reifiers are explicitly related to the logic:Fluent replacement pattern and marked Unsupported; no target class disappears silently."
# curie_map:
#   gufo: http://purl.org/nemo/gufo#
#   logic: https://blackcatinformatics.ca/logic/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
# # gUFO is a generated ValidationOnly projection. These links document its complete class surface; the vendored transition snapshot does not outrank logic: as canon.
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
logic:AbstractIndividual	skos:closeMatch	gufo:AbstractIndividual	semapv:ManualMappingCuration	0.95	
logic:AbstractIndividualType	skos:closeMatch	gufo:AbstractIndividualType	semapv:ManualMappingCuration	0.95	
logic:AntiRigidType	skos:closeMatch	gufo:AntiRigidType	semapv:ManualMappingCuration	0.95	
logic:Aspect	skos:closeMatch	gufo:Aspect	semapv:ManualMappingCuration	0.95	
logic:Aspect	skos:closeMatch	gufo:ExtrinsicAspect	semapv:ManualMappingCuration	0.85	logic:Aspect subsumes the gUFO intrinsic/extrinsic split; the narrower target class is retained without claiming identity.
logic:Aspect	skos:closeMatch	gufo:IntrinsicAspect	semapv:ManualMappingCuration	0.85	logic:Aspect subsumes the gUFO intrinsic/extrinsic split; the narrower target class is retained without claiming identity.
logic:Category	skos:closeMatch	gufo:Category	semapv:ManualMappingCuration	0.95	
logic:Collection	skos:closeMatch	gufo:Collection	semapv:ManualMappingCuration	0.95	
logic:ComparativeRelationshipType	skos:closeMatch	gufo:ComparativeRelationshipType	semapv:ManualMappingCuration	0.95	
logic:ConcreteIndividual	skos:closeMatch	gufo:ConcreteIndividual	semapv:ManualMappingCuration	0.95	
logic:ConcreteIndividualType	skos:closeMatch	gufo:ConcreteIndividualType	semapv:ManualMappingCuration	0.95	
logic:Disposition	skos:closeMatch	gufo:IntrinsicMode	semapv:ManualMappingCuration	0.75	gUFO models dispositions under IntrinsicMode; logic: carries Disposition first-class and does not flatten it in the generated gUFO view.
logic:Endurant	skos:closeMatch	gufo:Endurant	semapv:ManualMappingCuration	0.95	
logic:EndurantType	skos:closeMatch	gufo:EndurantType	semapv:ManualMappingCuration	0.95	
logic:Event	skos:closeMatch	gufo:Event	semapv:ManualMappingCuration	0.95	
logic:Event	skos:closeMatch	gufo:EventType	semapv:ManualMappingCuration	0.85	The canonical logic:Event sort is the compiler's type-level target for gUFO EventType; closeMatch records that projection convention without collapsing event individuals into their types.
logic:FixedCollection	skos:closeMatch	gufo:FixedCollection	semapv:ManualMappingCuration	0.95	
logic:Fluent	skos:relatedMatch	gufo:QualityValueAttributionSituation	semapv:ManualMappingCuration	0.8	Superseded by logic:Fluent plus RDF 1.2 statement metadata; the gUFO reifier is not re-emitted.
logic:Fluent	skos:relatedMatch	gufo:TemporaryConstitutionSituation	semapv:ManualMappingCuration	0.8	Superseded by logic:Fluent plus RDF 1.2 statement metadata; the gUFO reifier is not re-emitted.
logic:Fluent	skos:relatedMatch	gufo:TemporaryInstantiationSituation	semapv:ManualMappingCuration	0.8	Superseded by logic:Fluent plus RDF 1.2 statement metadata; the gUFO reifier is not re-emitted.
logic:Fluent	skos:relatedMatch	gufo:TemporaryParthoodSituation	semapv:ManualMappingCuration	0.8	Superseded by logic:Fluent plus RDF 1.2 statement metadata; the gUFO reifier is not re-emitted.
logic:Fluent	skos:relatedMatch	gufo:TemporaryRelationshipSituation	semapv:ManualMappingCuration	0.8	Superseded by logic:Fluent plus RDF 1.2 statement metadata; the gUFO reifier is not re-emitted.
logic:FunctionalComplex	skos:closeMatch	gufo:FunctionalComplex	semapv:ManualMappingCuration	0.95	
logic:Individual	skos:closeMatch	gufo:Individual	semapv:ManualMappingCuration	0.95	
logic:Kind	skos:closeMatch	gufo:Kind	semapv:ManualMappingCuration	0.95	
logic:MaterialRelationshipType	skos:closeMatch	gufo:MaterialRelationshipType	semapv:ManualMappingCuration	0.95	
logic:Mixin	skos:closeMatch	gufo:Mixin	semapv:ManualMappingCuration	0.95	
logic:Mode	skos:closeMatch	gufo:ExtrinsicMode	semapv:ManualMappingCuration	0.85	
logic:Mode	skos:closeMatch	gufo:IntrinsicMode	semapv:ManualMappingCuration	0.85	
logic:NonRigidType	skos:closeMatch	gufo:NonRigidType	semapv:ManualMappingCuration	0.95	
logic:NonSortal	skos:closeMatch	gufo:NonSortal	semapv:ManualMappingCuration	0.95	
logic:Object	skos:closeMatch	gufo:Object	semapv:ManualMappingCuration	0.95	
logic:Participation	skos:closeMatch	gufo:Participation	semapv:ManualMappingCuration	0.95	
logic:Phase	skos:closeMatch	gufo:Phase	semapv:ManualMappingCuration	0.95	
logic:PhaseMixin	skos:closeMatch	gufo:PhaseMixin	semapv:ManualMappingCuration	0.95	
logic:Quality	skos:closeMatch	gufo:Quality	semapv:ManualMappingCuration	0.95	
logic:QualityValue	skos:closeMatch	gufo:QualityValue	semapv:ManualMappingCuration	0.95	
logic:Quantity	skos:closeMatch	gufo:Quantity	semapv:ManualMappingCuration	0.95	
logic:RelationshipType	skos:closeMatch	gufo:RelationshipType	semapv:ManualMappingCuration	0.95	
