shapeID,shapeLabel,propertyID,propertyLabel,mandatory,repeatable,valueNodeType,valueDataType,valueConstraint,valueConstraintType,valueShape,note
https://blackcatinformatics.ca/gmeow/shapes/dc-work,Dublin Core Work,dcterms:title,Title,FALSE,TRUE,Literal,xsd:string,,,,
https://blackcatinformatics.ca/gmeow/shapes/dc-work,Dublin Core Work,dcterms:creator,Creator,FALSE,TRUE,IRI,,,,,
https://blackcatinformatics.ca/gmeow/shapes/dc-work,Dublin Core Work,dcterms:contributor,Contributor,FALSE,TRUE,IRI,,,,,
https://blackcatinformatics.ca/gmeow/shapes/dc-work,Dublin Core Work,dcterms:subject,Subject,FALSE,TRUE,IRI,,,,,
https://blackcatinformatics.ca/gmeow/shapes/dc-work,Dublin Core Work,dcterms:description,Description,FALSE,TRUE,Literal,xsd:string,,,,
https://blackcatinformatics.ca/gmeow/shapes/dc-work,Dublin Core Work,dcterms:publisher,Publisher,FALSE,TRUE,IRI,,,,,
https://blackcatinformatics.ca/gmeow/shapes/dc-work,Dublin Core Work,dcterms:date,Date,FALSE,TRUE,Literal,xsd:dateTime,,,,
https://blackcatinformatics.ca/gmeow/shapes/dc-work,Dublin Core Work,dcterms:type,Type,FALSE,TRUE,IRI,,dcmitype:,,,,
https://blackcatinformatics.ca/gmeow/shapes/dc-work,Dublin Core Work,dcterms:format,Format,FALSE,TRUE,Literal,xsd:string,,,,
https://blackcatinformatics.ca/gmeow/shapes/dc-work,Dublin Core Work,dcterms:identifier,Identifier,FALSE,TRUE,Literal,xsd:string,,,,
https://blackcatinformatics.ca/gmeow/shapes/dc-work,Dublin Core Work,dcterms:source,Source,FALSE,TRUE,IRI,,,,,
https://blackcatinformatics.ca/gmeow/shapes/dc-work,Dublin Core Work,dcterms:language,Language,FALSE,TRUE,IRI,,,,,
https://blackcatinformatics.ca/gmeow/shapes/dc-work,Dublin Core Work,dcterms:relation,Relation,FALSE,TRUE,IRI,,,,,
https://blackcatinformatics.ca/gmeow/shapes/dc-work,Dublin Core Work,dcterms:coverage,Coverage,FALSE,TRUE,IRI,,,,,
https://blackcatinformatics.ca/gmeow/shapes/dc-work,Dublin Core Work,dcterms:rights,Rights,FALSE,TRUE,Literal,xsd:string,,,,
https://blackcatinformatics.ca/gmeow/shapes/dc-work,Dublin Core Work,dcterms:created,Created,FALSE,TRUE,Literal,xsd:dateTime,,,,"Refinement of dcterms:date; projected from gmeow:dateCreated"
https://blackcatinformatics.ca/gmeow/shapes/dc-work,Dublin Core Work,dcterms:modified,Modified,FALSE,TRUE,Literal,xsd:dateTime,,,,"Refinement of dcterms:date; projected from gmeow:dateModified"
