# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/attestation
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow-dev sync --mode update --outputs generated (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: "Cross-cutting attestation alignments. PROV-O is the strongest RDF alignment (Activity, Entity, wasAttributedTo). W3C VC/DID is partially aligned where the RDF vocabulary is stable. Supply-chain formats (in-toto, SLSA, DSSE, Sigstore, SCITT, C2PA, RATS/EAT) and blockchain identifiers (CAIP, EIP) have no canonical RDF vocabularies; mappings are loose or refused and documented here."
# curie_map:
#   dqv: http://www.w3.org/ns/dqv#
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   prov: http://www.w3.org/ns/prov#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   vc: https://www.w3.org/2018/credentials#
#   wot: http://xmlns.com/wot/0.1/
# # Loose / refused mappings (no canonical RDF vocabulary available):
# # gmeow:AttestationArtifact	skos:relatedMatch	in-toto:Statement	semapv:ManualMappingCuration	0.5	no stable in-toto RDF vocabulary
# # gmeow:AttestationArtifact	skos:relatedMatch	slsa:Provenance	semapv:ManualMappingCuration	0.5	no stable SLSA RDF vocabulary
# # gmeow:AttestationArtifact	skos:relatedMatch	dsse:Envelope	semapv:ManualMappingCuration	0.5	no stable DSSE RDF vocabulary
# # gmeow:TransparencyLogEntry	skos:relatedMatch	rekor:Entry	semapv:ManualMappingCuration	0.5	no stable Rekor RDF vocabulary
# # gmeow:Attestation	skos:relatedMatch	scitt:SignedStatement	semapv:ManualMappingCuration	0.5	no public SCITT RDF vocabulary at time of writing
# # gmeow:AttestationArtifact	skos:relatedMatch	c2pa:Manifest	semapv:ManualMappingCuration	0.5	no C2PA RDF vocabulary
# # gmeow:AttestationArtifact	skos:relatedMatch	rats:Evidence	semapv:ManualMappingCuration	0.5	no RATS/EAT RDF vocabulary
# # gmeow:AttestationArtifact	skos:relatedMatch	nanopub:Nanopublication	semapv:ManualMappingCuration	0.5	loose — nanopub RDF exists but the signed-graph pattern is implementation-specific
# # gmeow:BlockchainAccount	skos:closeMatch	did:pkh	semapv:ManualMappingCuration	0.7	CAIP-10 / did:pkh alignment — identifier scheme, not RDF class
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:Attestation	skos:closeMatch	prov:Entity	semapv:ManualMappingCuration	0.8	An attestation is a kind of provenance entity — information object that participates in an activity and may be attributed to an agent
gmeow:Attestation	skos:closeMatch	vc:VerifiableCredential	semapv:ManualMappingCuration	0.7	A VC is credential-like; Attestation is broader (includes non-credential envelopes such as SLSA, DSSE, transparency logs)
gmeow:Attestation	skos:relatedMatch	wot:Endorsement	semapv:ManualMappingCuration	0.6	WoT Endorsement is a key-certification edge; Attestation is the broader envelope pattern. Certification (trust.ttl) is the closer match.
gmeow:AttestationArtifact	skos:closeMatch	prov:Entity	semapv:ManualMappingCuration	0.8	An attestation artifact is a provenance entity
gmeow:VerificationActivity	skos:closeMatch	prov:Activity	semapv:ManualMappingCuration	0.9	
gmeow:VerificationActivity	skos:relatedMatch	dqv:QualityAssessment	semapv:ManualMappingCuration	0.5	Verification and quality assessment are distinct but related; quality may consume verification results as evidence
gmeow:VerificationResult	skos:closeMatch	vc:VerifiablePresentation	semapv:ManualMappingCuration	0.5	A verification result is the outcome of checking a VC, not the presentation itself; loose mapping
gmeow:attestedSubject	skos:closeMatch	vc:credentialSubject	semapv:ManualMappingCuration	0.75	
gmeow:attester	skos:closeMatch	prov:wasAttributedTo	semapv:ManualMappingCuration	0.7	The attester is the agent to whom the attestation is attributed; directionality differs (attester is a direct property, wasAttributedTo is an annotation/derivation)
gmeow:attester	skos:closeMatch	vc:issuer	semapv:ManualMappingCuration	0.8	
gmeow:issuedAt	skos:closeMatch	vc:issuanceDate	semapv:ManualMappingCuration	0.85	
gmeow:wasAttributedTo	skos:exactMatch	prov:wasAttributedTo	semapv:ManualMappingCuration	0.95	
gmeow:wasDerivedFrom	skos:exactMatch	prov:wasDerivedFrom	semapv:ManualMappingCuration	0.95	
gmeow:wasGeneratedBy	skos:exactMatch	prov:wasGeneratedBy	semapv:ManualMappingCuration	0.95	
