# mapping_tool: gmeow regenerate (mappings)
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# curie_map:
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   lang: https://blackcatinformatics.ca/lang/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
subject_id	predicate_id	object_id	object_label	mapping_justification	confidence	comment
gmeow:FormalLanguage	skos:relatedMatch	lang:formalLanguageKind	formal language	semapv:ManualMappingCuration	0.85	SECTION-RETRACTION: the removed gmeow:FormalLanguage class is recovered as the lang:SignSystemKind individual lang:formalLanguageKind — the natural/formal/programming distinction moves from a subclass ladder to kind individuals, and a sign system points at this kind through lang:signSystemKind. relatedMatch, not equivalent: a class is retracted onto a kind INDIVIDUAL, a cross-category move.
gmeow:Language	skos:broadMatch	lang:SignSystem	Sign System	semapv:ManualMappingCuration	0.95	DEEPEN / EMBEDDING (isomorphism rung): gmeow:Language is grafted as a specialization of lang:SignSystem (rdfs:subClassOf lang:SignSystem in module.ttl), embedding the language kind into the sign-system reference layer with no loss — a language IS a sign system, distinguished by lang:SignSystemKind rather than a local class ladder. broadMatch: lang:SignSystem is the broader grounding class.
gmeow:ProgrammingLanguage	skos:relatedMatch	lang:programmingLanguageKind	programming language	semapv:ManualMappingCuration	0.85	SECTION-RETRACTION: the removed gmeow:ProgrammingLanguage class is recovered as the lang:SignSystemKind individual lang:programmingLanguageKind, which REFINES lang:formalLanguageKind through skos:broader so the ProgrammingLanguage subClassOf FormalLanguage subsumption survives as a kind-individual broader edge. relatedMatch, not equivalent: class retracted onto a kind individual.
gmeow:WritingSystem	skos:relatedMatch	lang:Orthography	Orthography	semapv:ManualMappingCuration	0.8	LENS (leg 2 of 2): the removed gmeow:WritingSystem splits into lang:Script and lang:Orthography. This leg maps the writing-convention facet — how a sign system is bound to a script — onto lang:Orthography. relatedMatch: a lossy split, one term projected onto the second of two grounding terms.
gmeow:WritingSystem	skos:relatedMatch	lang:Script	Script	semapv:ManualMappingCuration	0.8	LENS (leg 1 of 2): the removed gmeow:WritingSystem splits into lang:Script (the character repertoire) and lang:Orthography (the sign-system-to-script convention). This leg maps the repertoire facet — a WritingSystem's script identity — onto lang:Script. relatedMatch: a lossy split, one term projected onto the first of two grounding terms.
gmeow:langEnglish	skos:exactMatch	lang:english	English	semapv:ManualMappingCuration	1.0	ISOMORPHISM (identity unification): the removed seed individual gmeow:langEnglish is unified with the lang: sign system lang:english — the same English language under one identity. The x-gmeow-english private-use tag now rides lang:carrierTag on the carrier variety lang:gmeowEnglish, and the lexvo/Wikidata alignments move onto lang:english.
gmeow:langFrench	skos:exactMatch	lang:french	French	semapv:ManualMappingCuration	1.0	ISOMORPHISM (identity unification): the removed seed individual gmeow:langFrench is unified with the lang: sign system lang:french. The x-gmeow-french private-use tag now rides lang:carrierTag on the carrier variety lang:gmeowFrench, and the lexvo/Wikidata alignments move onto lang:french.
gmeow:langMandarin	skos:exactMatch	lang:mandarin	Mandarin Chinese	semapv:ManualMappingCuration	1.0	ISOMORPHISM (identity unification): the removed seed individual gmeow:langMandarin is unified with the lang: sign system lang:mandarin. The x-gmeow-mandarin private-use tag now rides lang:carrierTag on the carrier variety lang:gmeowMandarin, and the lexvo/Wikidata alignments move onto lang:mandarin.
gmeow:languageTag	skos:relatedMatch	lang:carrierTag	carrier tag	semapv:ManualMappingCuration	0.6	SECTION-RETRACTION: the removed gmeow:languageTag (the internal x-gmeow-* private-use tag on every language individual) is retracted onto lang:carrierTag, which survives ONLY on the three framework-authoring carrier varieties (lang:gmeowEnglish/gmeowFrench/gmeowMandarin) that tag GMEOW's own source literals. relatedMatch: the property survives for the carriers, not as a per-language attribute.
gmeow:transliterationScheme	skos:relatedMatch	lang:transliterationScheme	transliteration scheme (map graft)	semapv:ManualMappingCuration	0.9	GRAFT (retention + regrounding): gmeow:TransliterationScheme is RETAINED as the named romanization/transcription value vocabulary (Hepburn, Pinyin, ISO 233, …). The lang: layer regrounds transliteration as a rendering-layer map: a lang:TransliterationMap grafts a retained gmeow:TransliterationScheme individual through lang:transliterationScheme and names its lang:transliterationSourceOrthography and lang:transliterationTargetOrthography over the language's lang:Script orthographies. The core-slice property gmeow:transliterationScheme (Appellation → scheme) and the grounding property lang:transliterationScheme (TransliterationMap → scheme) name the SAME scheme vocabulary from the two sides of the graft. relatedMatch: the scheme individual is shared; the map-side property is the lang: regrounding, not the core property. See slices/core/language/examples/multilingual-document.ttl for a worked ex:mapHepburn TransliterationMap whose crossing carries a logic:SoundUnderApproximation preservation judgment.
