id:ID,:START_ID,:END_ID,:TYPE,accordingTo,assertedAt,confidence,importanceLevel,mappedFrom,selfAsserted,standpointModality,validFrom,validUntil
edge:0aa974aa310ba1d0,gmeow:examples/event-disinformation-001,gmeow:examples/standpointclaim-disinformation-origin-held-001,heldStandpoint,,2026-06-11T00:00:00+00:00,0.85,,,,,,
edge:2d6ee50c3a899cfc,gmeow:examples/event-self-deception-001,gmeow:examples/standpointclaim-self-deception-held-001,heldStandpoint,,2026-06-06T00:00:00+00:00,0.6,,,,,,
edge:2fea61db03b04ad0,gmeow:examples/event-deception-001,gmeow:examples/standpointclaim-held-001,heldStandpoint,,2026-01-15T00:00:00+00:00,0.75,,,,,,
edge:3231aca781d0d879,gmeow:examples/event-bullshit-001,gmeow:examples/standpointclaim-bullshit-held-001,heldStandpoint,,2026-06-05T00:00:00+00:00,0.65,,,,,,
edge:4e551fbc41108473,gmeow:examples/event-impersonation-001,gmeow:examples/standpointclaim-impersonation-held-001,heldStandpoint,,2026-06-10T00:00:00+00:00,0.78,,,,,,
edge:6e1a168732df6ffa,gmeow:examples/event-distortion-001,gmeow:examples/standpointclaim-distortion-held-001,heldStandpoint,,2026-06-04T00:00:00+00:00,0.7,,,,,,
edge:87042231a63f420c,gmeow:examples/event-fabrication-001,gmeow:examples/standpointclaim-fabrication-held-001,heldStandpoint,,2026-06-08T00:00:00+00:00,0.75,,,,,,
edge:9b19ec1476a14d28,gmeow:examples/event-forgery-001,gmeow:examples/standpointclaim-forgery-held-001,heldStandpoint,,2026-06-09T00:00:00+00:00,0.8,,,,,,
edge:9ea3921b98b1eee3,gmeow:examples/event-lie-001,gmeow:examples/standpointclaim-lie-held-001,heldStandpoint,,2026-06-01T00:00:00+00:00,0.8,,,,,,
edge:d1980bf3e444c97f,gmeow:examples/event-omission-001,gmeow:examples/standpointclaim-omission-held-001,heldStandpoint,,2026-06-03T00:00:00+00:00,0.85,,,,,,
edge:f4a96b0e328f3133,gmeow:examples/event-dupe-reshare-001,gmeow:examples/standpointclaim-dupe-belief-001,heldStandpoint,,2026-06-11T00:00:00+00:00,0.7,,,,,,
edge:f84d198950fb828f,gmeow:examples/event-paltering-001,gmeow:examples/standpointclaim-paltering-held-001,heldStandpoint,,2026-06-02T00:00:00+00:00,0.78,,,,,,
edge:faeaf41484d692bd,gmeow:examples/event-downstream-reshare-001,gmeow:examples/standpointclaim-downstream-belief-001,heldStandpoint,,2026-06-11T00:00:00+00:00,0.6,,,,,,
